environment,timesteps,mean_episode_length,std_episode_length
Standard,0.0,9.4,4.363484845854286
Standard,2000.0,13.011904761904763,7.554736016644071
Standard,4000.0,16.925059708093762,4.507472371432961
Standard,6000.0,17.657839817839815,7.723692625488266
Standard,8000.0,45.1782568583709,20.68073021091016
Standard,10000.0,43.945563202431295,10.904583820456798
Standard,12000.0,42.20707711792851,19.184605642857854
Standard,14000.0,76.20420345601306,11.23769164275685
Standard,16000.0,94.18962870553841,29.566734325783894
Standard,18000.0,99.9272708070356,24.666501349678946
Standard,20000.0,139.7014789209085,44.610584278308686
Standard,22000.0,114.41711574632595,58.74322201904799
Standard,24000.0,238.33079143239382,82.58693307849367
Standard,26000.0,352.6929543187624,216.1016346711087
Standard,28000.0,562.1752341550269,370.9984945269079
Standard,30000.0,790.314662336019,277.3145825753999
Standard,32000.0,967.3618,65.27640000000001
Standard,34000.0,900.5058288676548,186.9126334545117
Standard,36000.0,1000.0,0.0
Standard,38000.0,1000.0,0.0
Standard,40000.0,1000.0,0.0
Standard,42000.0,956.8819875776396,86.23602484472049
Standard,44000.0,966.2987951807229,67.40240963855422
Standard,46000.0,987.7959999999999,24.40799999999999
Standard,48000.0,914.4232,171.1536
Standard,50000.0,974.0727999999999,51.85439999999999
Standard,52000.0,1000.0,0.0
Standard,54000.0,1000.0,0.0
Standard,56000.0,1000.0,0.0
Standard,58000.0,1000.0,0.0
Standard,60000.0,1000.0,0.0
Standard,62000.0,1000.0,0.0
Standard,64000.0,1000.0,0.0
Standard,66000.0,1000.0,0.0
Standard,68000.0,1000.0,0.0
Standard,70000.0,1000.0,0.0
Standard,72000.0,1000.0,0.0
Standard,74000.0,1000.0,0.0
Standard,76000.0,1000.0,0.0
Standard,78000.0,1000.0,0.0
Standard,80000.0,1000.0,0.0
Standard,82000.0,1000.0,0.0
Standard,84000.0,1000.0,0.0
Standard,86000.0,1000.0,0.0
Standard,88000.0,1000.0,0.0
Standard,90000.0,1000.0,0.0
Standard,92000.0,1000.0,0.0
Standard,94000.0,1000.0,0.0
Standard,96000.0,1000.0,0.0
Standard,98000.0,1000.0,0.0
Standard,100000.0,1000.0,0.0
Standard,102000.0,1000.0,0.0
Standard,104000.0,1000.0,0.0
Standard,106000.0,1000.0,0.0
Standard,108000.0,1000.0,0.0
Standard,110000.0,1000.0,0.0
Standard,112000.0,1000.0,0.0
Standard,114000.0,1000.0,0.0
Standard,116000.0,1000.0,0.0
Standard,118000.0,1000.0,0.0
Standard,120000.0,1000.0,0.0
Standard,122000.0,1000.0,0.0
Standard,124000.0,1000.0,0.0
Standard,126000.0,1000.0,0.0
Standard,128000.0,1000.0,0.0
Standard,130000.0,1000.0,0.0
Standard,132000.0,1000.0,0.0
Standard,134000.0,1000.0,0.0
Standard,136000.0,1000.0,0.0
Standard,138000.0,1000.0,0.0
Standard,140000.0,1000.0,0.0
Standard,142000.0,1000.0,0.0
Standard,144000.0,1000.0,0.0
Standard,146000.0,1000.0,0.0
Standard,148000.0,1000.0,0.0
Standard,150000.0,1000.0,0.0
Standard,152000.0,1000.0,0.0
Standard,154000.0,1000.0,0.0
Standard,156000.0,1000.0,0.0
Standard,158000.0,1000.0,0.0
Standard,160000.0,1000.0,0.0
Standard,162000.0,1000.0,0.0
Standard,164000.0,1000.0,0.0
Standard,166000.0,1000.0,0.0
Standard,168000.0,1000.0,0.0
Standard,170000.0,1000.0,0.0
Standard,172000.0,1000.0,0.0
Standard,174000.0,1000.0,0.0
Standard,176000.0,1000.0,0.0
Standard,178000.0,1000.0,0.0
Standard,180000.0,1000.0,0.0
Standard,182000.0,1000.0,0.0
Standard,184000.0,1000.0,0.0
Standard,186000.0,1000.0,0.0
Standard,188000.0,1000.0,0.0
Standard,190000.0,1000.0,0.0
Standard,192000.0,1000.0,0.0
Standard,194000.0,1000.0,0.0
Standard,196000.0,1000.0,0.0
Standard,198000.0,1000.0,0.0
Standard,200000.0,1000.0,0.0
Custom,0.0,9.4,4.363484845854286
Custom,2000.0,13.011904761904763,7.554736016644071
Custom,4000.0,10.846190476190475,2.9410657207373223
Custom,6000.0,8.157142857142857,3.251429129355268
Custom,8000.0,11.49512987012987,3.3030486360007076
Custom,10000.0,17.571879483500716,8.7685704893328
Custom,12000.0,11.74812030075188,3.3972034935643873
Custom,14000.0,11.619444444444444,3.1048249985474126
Custom,16000.0,14.03974358974359,1.9989905407772768
Custom,18000.0,16.01937441643324,6.375578410739553
Custom,20000.0,13.324563279857397,2.568750199998514
Custom,22000.0,17.54562937062937,6.248224169446182
Custom,24000.0,23.28625761665115,1.3789507723864318
Custom,26000.0,19.245880952380954,2.697036514667766
Custom,28000.0,18.130857142857145,3.041222981711436
Custom,30000.0,28.37732295142751,9.35207263290573
Custom,32000.0,17.766885663356256,4.086873929577335
Custom,34000.0,20.96475279106858,4.642312135879821
Custom,36000.0,23.28605997753003,4.5506154284912315
Custom,38000.0,20.858398169336386,3.166047957859293
Custom,40000.0,27.85530303030303,9.831798334690923
Custom,42000.0,22.48144927536232,2.644777585584594
Custom,44000.0,23.577807486631013,4.235961535215766
Custom,46000.0,23.687655279503105,4.022570746053562
Custom,48000.0,26.72874430054957,5.578575239734429
Custom,50000.0,24.420105263157893,5.063800486389521
Custom,52000.0,27.537418572418574,3.094878107279393
Custom,54000.0,22.832730320912482,3.02249844877466
Custom,56000.0,32.255235504782625,6.074488393901536
Custom,58000.0,24.685316552250193,4.595887619691476
Custom,60000.0,27.612354312354313,5.29296976479683
Custom,62000.0,28.898315450064786,4.69745431150887
Custom,64000.0,31.237952278921266,9.961251997989413
Custom,66000.0,33.747228027400446,4.666233307282915
Custom,68000.0,27.791949002217297,7.355851334344325
Custom,70000.0,29.267729468599033,3.700748674265229
Custom,72000.0,33.55624253222933,16.65359612941293
Custom,74000.0,30.896764020293432,4.44160212723817
Custom,76000.0,27.530673689053554,6.965672984963121
Custom,78000.0,25.102375402375404,3.6051661747201544
Custom,80000.0,28.501739130434782,2.2401717760523137
Custom,82000.0,25.67056878306878,4.759615633283469
Custom,84000.0,31.207045875662896,3.662222051653418
Custom,86000.0,29.505931677018634,6.5184318976089095
Custom,88000.0,24.557152611542882,4.328928859413906
Custom,90000.0,32.54503783969729,5.28328294292146
Custom,92000.0,32.894916344916346,5.622906625684938
Custom,94000.0,29.277141720594148,5.237166282636588
Custom,96000.0,32.53169129720854,6.139815402074916
Custom,98000.0,27.130276848276843,5.150718058950235
Custom,100000.0,25.466669164169165,3.594106373165043
Custom,102000.0,27.334878411910672,1.0387102220207958
Custom,104000.0,26.637322185061315,2.7291776376735957
Custom,106000.0,31.12705719812103,9.287311096880329
Custom,108000.0,26.22647435897436,4.090735529975003
Custom,110000.0,24.77812865497076,1.7919275153035377
Custom,112000.0,28.15885662431942,4.1458568042335955
Custom,114000.0,32.706296296296294,7.12613272588198
Custom,116000.0,29.512120043698992,3.9178927881648877
Custom,118000.0,25.256666666666668,2.8281238382440828
Custom,120000.0,29.06391612704286,4.815560723475964
Custom,122000.0,27.695,3.7677417344847006
Custom,124000.0,34.00062808852244,11.169348312066083
Custom,126000.0,24.961390609390612,5.071860736611518
Custom,128000.0,26.54205527805528,2.4252100973356217
Custom,130000.0,27.75225484660267,6.063520156614976
Custom,132000.0,31.053288901767605,6.725201812105268
Custom,134000.0,29.713468705207838,7.973122900200098
Custom,136000.0,25.43859976105137,3.341192370513021
Custom,138000.0,29.116071964017987,2.8477680483664716
Custom,140000.0,31.882577404991203,7.759918436092038
Custom,142000.0,27.758228121623706,2.1905501624772
Custom,144000.0,29.296329676071053,6.205715781001451
Custom,146000.0,30.005920424403183,7.025431947706439
Custom,148000.0,28.240985710618638,2.0135887186071906
Custom,150000.0,33.48506483022225,4.975847685186685
Custom,152000.0,28.306449603252673,5.293103674240419
Custom,154000.0,26.607195187165775,4.781225302780731
Custom,156000.0,29.87848020434227,2.475839086809292
Custom,158000.0,27.285322723253756,4.9158879694320765
Custom,160000.0,24.70838220918866,1.1438118606293541
Custom,162000.0,26.126023976023976,5.1505304323503545
Custom,164000.0,28.0261388536501,5.073773164877213
Custom,166000.0,30.788461538461537,3.1055400010666183
Custom,168000.0,27.367284427284424,4.0178329645727215
Custom,170000.0,31.956951224875752,7.983717389203981
Custom,172000.0,33.921069031413865,4.016220221641992
Custom,174000.0,28.973042273042275,4.1088593420014705
Custom,176000.0,26.39043513957307,2.2691845532541888
Custom,178000.0,30.596180836707152,5.2253972377945574
Custom,180000.0,28.137513440860214,3.0547403624152136
Custom,182000.0,30.77159948528483,4.1881298333430745
Custom,184000.0,24.15064693760346,0.50726686283129
Custom,186000.0,27.497274220032843,3.553914198305871
Custom,188000.0,27.87385560675883,2.590613398832134
Custom,190000.0,28.405234792997767,4.693273458617795
Custom,192000.0,27.339102564102564,3.3524846781786706
Custom,194000.0,31.45686415651532,6.7083218471442265
