environment,timesteps,mean_metric,std_metric
Standard,0.0,8.4,4.363484845854286
Standard,2000.0,8.8,3.54400902933387
Standard,4000.0,8.8,4.445222154178574
Standard,6000.0,6.0,1.0954451150103321
Standard,8000.0,9.2,3.709447398198282
Standard,10000.0,7.0,2.1908902300206643
Standard,12000.0,7.2,2.785677655436824
Standard,14000.0,14.2,5.912698199637793
Standard,16000.0,8.4,3.6110940170535577
Standard,18000.0,12.8,5.491812087098392
Standard,20000.0,11.8,3.370459909270543
Standard,22000.0,7.0,4.049691346263317
Standard,24000.0,10.6,6.151422599691879
Standard,26000.0,14.2,6.04648658313239
Standard,28000.0,10.4,3.0724582991474434
Standard,30000.0,13.4,6.2801273872430325
Standard,32000.0,20.0,8.221921916437786
Standard,34000.0,18.6,9.28654941299512
Standard,36000.0,33.0,11.189280584559492
Standard,38000.0,27.8,13.89100428334827
Standard,40000.0,29.0,14.099645385611653
Standard,42000.0,21.6,9.090654541890808
Standard,44000.0,30.0,8.148619514985345
Standard,46000.0,33.2,15.380507143784303
Standard,48000.0,47.2,16.17899873292535
Standard,50000.0,33.0,13.66747965061591
Standard,52000.0,37.6,11.842297074469968
Standard,54000.0,40.0,11.366617790706258
Standard,56000.0,43.2,29.08882947112173
Standard,58000.0,42.4,8.97997772825746
Standard,60000.0,43.2,3.6000000000000005
Standard,62000.0,42.6,10.091580649234292
Standard,64000.0,44.6,7.605261336732618
Standard,66000.0,53.4,31.283222340417556
Standard,68000.0,48.0,20.707486568871655
Standard,70000.0,51.8,6.241794613730893
Standard,72000.0,70.6,32.357997465850694
Standard,74000.0,66.2,10.571660229122008
Standard,76000.0,46.4,7.364781055808788
Standard,78000.0,52.2,10.979981785048643
Standard,80000.0,61.2,17.417232845661793
Standard,82000.0,89.6,31.759093186046734
Standard,84000.0,67.6,24.442585787923502
Standard,86000.0,65.8,29.130053209700804
Standard,88000.0,94.2,50.1772856978135
Standard,90000.0,92.4,38.46348918130023
Standard,92000.0,72.8,32.13347164562211
Standard,94000.0,70.2,17.33666634621547
Standard,96000.0,80.0,30.958036113422956
Standard,98000.0,82.0,13.2664991614216
Standard,100000.0,94.2,25.902895591033836
Standard,102000.0,83.6,36.20828634442674
Standard,104000.0,109.8,64.49620143853434
Standard,106000.0,94.2,44.12436968388331
Standard,108000.0,73.2,12.952219886953742
Standard,110000.0,84.4,12.175385004179539
Standard,112000.0,74.8,25.031180555459223
Standard,114000.0,88.2,45.10166294051695
Standard,116000.0,79.8,23.163764806265842
Standard,118000.0,87.8,28.533489096148056
Standard,120000.0,89.8,29.362561196189954
Standard,122000.0,86.2,30.51819129633996
Standard,124000.0,100.4,40.54429676292339
Standard,126000.0,88.4,16.74037036627326
Standard,128000.0,107.6,53.32391583520475
Standard,130000.0,103.2,47.33455397487125
Standard,132000.0,116.4,47.136397825883975
Standard,134000.0,117.8,34.00235285976546
Standard,136000.0,125.0,24.576411454889016
Standard,138000.0,123.6,36.42856022408792
Standard,140000.0,115.0,30.665942020423895
Standard,142000.0,106.8,24.798387044322055
Standard,144000.0,118.6,12.043255373859678
Standard,146000.0,127.8,32.152138342573735
Standard,148000.0,112.8,42.56947263004323
