environment,timesteps,mean_metric,std_metric
Standard,0.0,7.0,0.0
Standard,2000.0,6.0,0.0
Standard,4000.0,15.0,0.0
Standard,6000.0,4.0,0.0
Standard,8000.0,12.0,0.0
Standard,10000.0,8.0,0.0
Standard,12000.0,8.0,0.0
Standard,14000.0,24.0,0.0
Standard,16000.0,8.0,0.0
Standard,18000.0,12.0,0.0
Standard,20000.0,10.0,0.0
Standard,22000.0,3.0,0.0
Standard,24000.0,11.0,0.0
Standard,26000.0,12.0,0.0
Standard,28000.0,8.0,0.0
Standard,30000.0,20.0,0.0
Standard,32000.0,12.0,0.0
Standard,34000.0,10.0,0.0
Standard,36000.0,18.0,0.0
Standard,38000.0,6.0,0.0
Standard,40000.0,9.0,0.0
Standard,42000.0,37.0,0.0
Standard,44000.0,41.0,0.0
Standard,46000.0,18.0,0.0
Standard,48000.0,21.0,0.0
Standard,50000.0,17.0,0.0
Standard,52000.0,26.0,0.0
Standard,54000.0,24.0,0.0
Standard,56000.0,17.0,0.0
Standard,58000.0,46.0,0.0
Standard,60000.0,39.0,0.0
Standard,62000.0,48.0,0.0
Standard,64000.0,48.0,0.0
Standard,66000.0,111.0,0.0
Standard,68000.0,19.0,0.0
Standard,70000.0,51.0,0.0
Standard,72000.0,54.0,0.0
Standard,74000.0,83.0,0.0
Standard,76000.0,41.0,0.0
Standard,78000.0,40.0,0.0
Standard,80000.0,37.0,0.0
Standard,82000.0,78.0,0.0
Standard,84000.0,26.0,0.0
Standard,86000.0,25.0,0.0
Standard,88000.0,5.0,0.0
Standard,90000.0,34.0,0.0
Standard,92000.0,31.0,0.0
Standard,94000.0,48.0,0.0
Standard,96000.0,63.0,0.0
Standard,98000.0,75.0,0.0
Standard,100000.0,69.0,0.0
Standard,102000.0,35.0,0.0
Standard,104000.0,43.0,0.0
Standard,106000.0,51.0,0.0
Standard,108000.0,58.0,0.0
Standard,110000.0,61.0,0.0
Standard,112000.0,47.0,0.0
Standard,114000.0,36.0,0.0
Standard,116000.0,43.0,0.0
Standard,118000.0,60.0,0.0
Standard,120000.0,47.0,0.0
Standard,122000.0,36.0,0.0
Standard,124000.0,64.0,0.0
Standard,126000.0,67.0,0.0
Standard,128000.0,66.0,0.0
Standard,130000.0,48.0,0.0
Standard,132000.0,97.0,0.0
Standard,134000.0,75.0,0.0
Standard,136000.0,89.0,0.0
Standard,138000.0,82.0,0.0
Standard,140000.0,87.0,0.0
Standard,142000.0,94.0,0.0
Standard,144000.0,128.0,0.0
Standard,146000.0,70.0,0.0
Standard,148000.0,63.0,0.0
Standard,150000.0,73.0,0.0
Standard,152000.0,91.0,0.0
Standard,154000.0,85.0,0.0
Standard,156000.0,46.0,0.0
Standard,158000.0,132.0,0.0
Standard,160000.0,88.0,0.0
Standard,162000.0,94.0,0.0
Standard,164000.0,52.0,0.0
Standard,166000.0,116.0,0.0
Standard,168000.0,128.0,0.0
Standard,170000.0,132.0,0.0
Standard,172000.0,157.0,0.0
Standard,174000.0,146.0,0.0
Standard,176000.0,153.0,0.0
Standard,178000.0,200.0,0.0
Standard,180000.0,144.0,0.0
Standard,182000.0,157.0,0.0
Standard,184000.0,187.0,0.0
Standard,186000.0,159.0,0.0
Standard,188000.0,150.0,0.0
Standard,190000.0,116.0,0.0
Standard,192000.0,137.0,0.0
Standard,194000.0,168.0,0.0
Standard,196000.0,198.0,0.0
Standard,198000.0,256.0,0.0
Standard,200000.0,267.0,0.0
Standard,202000.0,375.0,0.0
