Complexity,Loss,Equation
1,0.07140161,"-0.22459434"
3,0.07114032,"-0.21952944 - x0"
4,0.0060213883,"0.12760946 - abs(x2)"
5,0.00075676583,"-0.028911026 - (x2 * x2)"
7,0.00047563767,"((-0.14020163 * x3) - x2) * x2"
8,0.000104733874,"(abs(x3) * -0.0975461) - (x2 * x2)"
9,8.304576e-5,"((x3 * x3) * -0.14278542) - (x2 * x2)"
10,6.9518464e-5,"(x3 * (sin(x3) * -0.16301647)) - (x2 * x2)"
11,1.01243695e-5,"(((x3 * x3) * -0.121760055) + -0.010269228) - (x2 * x2)"
13,7.1061504e-6,"((((x3 - x0) * x3) * -0.11591191) + -0.0103492085) - (x2 * x2)"
15,1.5383583e-6,"((x2 * x2) * -1.0020607) - (((x3 * (x3 - x1)) * 0.07312212) - -0.010234158)"
16,1.4828096e-6,"((x2 * x2) * -1.0020607) - (abs((x3 * (x3 - x1)) * 0.07325294) - -0.010234873)"
17,1.4144713e-6,"((x2 * x2) * -1.0028216) - (((x3 - (x1 * 1.2220888)) * (x3 * 0.06694168)) - -0.010136171)"
18,1.3299137e-6,"((x2 * x2) * -1.002778) - (abs((x3 * ((x1 * 1.2527308) - x3)) * 0.066364415) - -0.010177895)"
