Complexity,Loss,Equation
1,0.069742575,"-0.22559664"
4,0.0058355005,"0.12456628 - abs(x2)"
5,0.0007712992,"-0.029637134 - (x2 * x2)"
7,0.00054193474,"((x3 * -0.14042968) - x2) * x2"
8,0.00010451951,"(abs(x3) * -0.10008524) - (x2 * x2)"
9,9.2184884e-5,"((x3 * x3) * -0.14416546) - (x2 * x2)"
10,7.7499055e-5,"((x3 * -0.16367501) * sin(x3)) - (x2 * x2)"
11,1.5758174e-5,"(((x3 * x3) + 0.08724272) * -0.121978745) - (x2 * x2)"
13,5.1410584e-6,"((x3 * ((x3 - x1) * -0.073808216)) + -0.010648337) - (x2 * x2)"
14,4.5936163e-6,"-0.010796341 - (abs((x3 * 0.07341894) * (x3 - x1)) + (x2 * x2))"
16,3.5787373e-6,"((((x1 * sin(x1)) + 0.114346325) + (x3 * x3)) * -0.086036325) - (x2 * x2)"
17,2.672589e-6,"(((x3 * x3) + ((sin(x1) * sin(x1)) + 0.1103013)) * -0.08788507) - (x2 * x2)"
18,2.292813e-6,"((((x3 * x3) + (sin(sin(sin(x1))) * x1)) + 0.106365375) * -0.089352824) - (x2 * x2)"
