Complexity,Loss,Equation
1,0.004584264,"0.026822437"
2,0.00400653,"abs(x0)"
3,0.0040052193,"abs(sin(x0))"
4,0.0019083322,"abs(x2) * 0.1342158"
5,0.0008713995,"x2 * (x2 * 0.21150649)"
6,0.0007235008,"abs(x2 - sin(sin(x2)))"
7,0.0006078856,"(x2 * (x2 * 0.25354156)) + -0.020802956"
8,0.00058573653,"(sin(x1 + x2) * 0.31361866) * x2"
9,0.00015858738,"((x1 * x1) - (x2 * x2)) * -0.26883537"
10,0.00014350662,"((x1 * sin(x1)) - (x2 * x2)) * -0.26883537"
11,6.914639e-5,"(((x1 * x3) * -0.69889486) - (x2 * x2)) * -0.27769426"
12,6.030596e-6,"(cos(x3 * 0.4983813) + -1.0102981) - ((x2 * x2) * -0.30245358)"
13,5.915129e-6,"sin(cos(x3 * 0.49866417) + (-1.0104706 - (x2 * (-0.3040596 * x2))))"
15,4.9784435e-6,"((cos(x0) * cos(x3 * 0.49671066)) - ((x2 * -0.30384752) * x2)) + -1.0101274"
16,6.228436e-7,"cos((x1 * -0.15366347) - (x3 * -0.3947686)) + (-1.0099026 - ((x2 * -0.29822412) * x2))"
