Complexity,Loss,Equation
1,0.10381275,"-0.24279912"
4,0.012916304,"0.1361522 - abs(x2)"
5,7.0743554e-5,"-0.014896542 - (x2 * x2)"
7,7.073885e-5,"-0.014944628 - (x2 * (x2 * 0.99978966))"
8,5.838694e-5,"(abs(x0) * -0.07307096) - (x2 * x2)"
10,3.9247556e-5,"(-0.0073387823 - abs(x0 * 0.044940975)) - (x2 * x2)"
11,3.470544e-5,"(-0.010545969 - (x0 * (x0 * 0.09915532))) - (x2 * x2)"
13,2.7861513e-5,"((abs(x1) * -0.030470796) - (x2 * x2)) - abs(x0 * -0.050774362)"
15,2.4322992e-5,"((abs(x1 * x3) * -0.1724848) - (x2 * x2)) - abs(x0 * -0.056573026)"
17,2.432299e-5,"((abs((x1 * 1.5238676) * x3) * -0.113188714) - (x2 * x2)) - abs(x0 * -0.05657249)"
19,2.0466005e-5,"(((abs(x1 * (x3 * 0.32201296)) * -0.44510746) - (x2 * x2)) - abs(x0 * 0.045231298)) - 0.0036863931"
