Complexity,Loss,Equation
1,0.10381275,"-0.24279936"
4,0.012916304,"0.13615267 - abs(x2)"
5,7.0743554e-5,"-0.014896418 - (x2 * x2)"
7,7.073885e-5,"-0.014944628 - ((x2 * x2) * 0.99978966)"
8,7.072352e-5,"-0.0153347915 - abs(0.0004551489 - (x2 * x2))"
9,7.064082e-5,"(x0 * -0.0015292183) - ((x2 * x2) - -0.014894301)"
10,3.9247556e-5,"(-0.0073376 - (x2 * x2)) - abs(x0 * -0.04494588)"
11,3.470544e-5,"((x0 * x0) * -0.099164955) - ((x2 * x2) - -0.010545761)"
13,3.4701607e-5,"((x0 * -0.09916508) * x0) - (((x2 - 0.0001297362) * x2) - -0.010545744)"
15,2.748507e-5,"(-0.0044817817 - (x2 * x2)) - (((-0.5060147 * abs(x1)) - abs(x0)) * -0.04093737)"
16,2.209647e-5,"(-0.0055436916 - (x2 * x2)) - ((((x0 * x0) * -3.7220988) - abs(x1)) * -0.026353661)"
18,2.2090719e-5,"((-0.26595584 - (x2 * x2)) - ((((x0 * x0) * -4.115811) - abs(x1)) * -0.024459949)) - -0.26016256"
