Complexity,Loss,Equation
1,0.07059446,"-0.22032991"
4,0.005726008,"0.12133651 - abs(x2)"
5,0.00075979915,"-0.02957977 - (x2 * x2)"
7,0.0004909151,"((x3 * -0.14256866) - x2) * x2"
8,0.00010297591,"(abs(x3) * -0.098206595) - (x2 * x2)"
9,8.437624e-5,"((x3 * x3) * -0.14353055) - (x2 * x2)"
10,7.122538e-5,"((sin(x3) * -0.16273019) * x3) - (x2 * x2)"
11,1.2251202e-5,"(((x3 * x3) * -0.121616475) - (x2 * x2)) - 0.010347321"
13,2.1965047e-6,"(((x3 * -0.073811255) * (x3 - x1)) - (x2 * x2)) - 0.010502849"
14,2.131399e-6,"(abs(x3 * (x3 - x1)) * -0.073653325) + (-0.010487433 - (x2 * x2))"
15,1.9600063e-6,"(((x3 * (-0.0730942 * (x3 - x1))) - (x2 * x2)) * 1.002108) - 0.010218816"
16,1.9348797e-6,"(abs(x3 * (x3 - x1)) * -0.07353997) - (((x2 * x2) - -0.0101602385) * 1.002356)"
17,1.7671256e-6,"(((x3 - (x1 * 1.2926704)) * x3) * -0.06550103) - (((x2 * x2) - -0.010028076) * 1.0029919)"
18,1.6805377e-6,"(abs(x3 * ((x1 * 1.2926704) - x3)) * -0.06550103) - (((x2 * x2) - -0.010028076) * 1.0029919)"
