Complexity,Loss,Equation
1,0.10381275,"-0.24279971"
4,0.012916304,"0.1361522 - abs(x2)"
5,7.0743554e-5,"-0.014896385 - (x2 * x2)"
7,7.073885e-5,"-0.014944888 - (x2 * (x2 * 0.9997873))"
8,7.072399e-5,"-0.015354307 - abs((x2 * x2) - 0.00048268188)"
9,7.064081e-5,"-0.014894881 - ((x2 * x2) - (x0 * -0.0015246632))"
10,3.9247556e-5,"-0.0073388214 - ((x2 * x2) - (abs(x0) * -0.044940505))"
11,3.470544e-5,"(-0.010546272 - (x2 * x2)) - ((x0 * x0) * 0.09915024)"
13,3.469429e-5,"(-0.0105488105 - (x2 * x2)) - (0.09908709 * ((x0 - -0.0050658374) * x0))"
15,2.995716e-5,"(-0.005000886 - (x2 * x2)) - (abs(x1 * -0.012315963) - (abs(x0) * -0.04536405))"
16,2.5060117e-5,"(-0.0044095116 - (x2 * x2)) - ((((x1 * x1) * -1.1184919) - abs(x0)) * -0.045356873)"
17,2.0466003e-5,"(-0.0036865966 - (x2 * x2)) - (abs(x3 * (x1 * 0.14332865)) - (abs(x0) * -0.045231026))"
20,1.9035062e-5,"(-0.005000886 - (x2 * x2)) - (abs((x1 * (-0.23909864 * abs(x4))) * x3) - (abs(x0) * -0.04536405))"
