Complexity,Loss,Equation
1,0.10381275,"-0.24279948"
4,0.012916304,"0.1361522 - abs(x2)"
5,7.0743554e-5,"-0.014896297 - (x2 * x2)"
7,7.073885e-5,"-0.014945187 - (x2 * (x2 * 0.99978715))"
8,5.838694e-5,"(abs(x0) * -0.07307096) - (x2 * x2)"
10,3.9247556e-5,"(abs(x0) * -0.044941757) - ((x2 * x2) - -0.007338644)"
11,3.470544e-5,"((x0 * (x0 * -0.09915037)) - (x2 * x2)) - 0.010546322"
13,3.469429e-5,"(((x0 * (-0.005057963 - x0)) * 0.09907116) - (x2 * x2)) - 0.0105478335"
14,3.1513795e-5,"((abs(x1) * -0.041653447) - ((x0 * x0) * 0.11968014)) - (x2 * x2)"
16,2.2069647e-5,"(((abs(x1) * -0.025361994) - (x0 * (x0 * 0.09951068))) - (x2 * x2)) - 0.0056713945"
17,2.1873939e-5,"(((x3 * -0.100625746) * x3) - ((x0 * 0.09923) * x0)) - ((x2 * x2) - -0.0078826565)"
18,1.7487975e-5,"(((abs(x1 * x4) * -0.042141225) - ((x0 * x0) * 0.09920484)) - (x2 * x2)) - 0.0064596212"
19,1.7487973e-5,"((abs(abs(x1 * x4)) * -0.042141072) - ((x0 * 0.09919774) * x0)) - ((x2 * x2) - -0.0064596212)"
