Complexity,Loss,Equation
1,0.10081492,"-0.5826926"
4,0.015862076,"-0.20375304 - abs(x2)"
6,0.0158608,"-0.2022852 - abs(x2 * 1.003891)"
7,0.00030123375,"(-0.03559071 - abs(x0)) - abs(x2)"
9,0.0003011329,"(-0.035588358 - abs(x0)) - abs(x2 - 0.00031988395)"
11,0.0003010701,"((-0.036044706 - abs(x0)) - abs(x2 - 0.00032339728)) * 0.99922186"
12,0.000101640544,"(((abs(x1) * -0.10079728) - abs(x0)) - abs(x2)) - 0.016278662"
14,8.129073e-5,"(((abs(x1 * x3) * -0.49046373) - abs(x0)) - abs(x2)) - 0.02325992"
16,8.1290724e-5,"((-0.2646857 - abs(x0)) - abs(x2)) + ((abs(x1 * x3) * -0.4904634) - -0.24142577)"
18,8.129071e-5,"(((-0.6194654 - abs(x0)) - abs(x2)) + (abs(x1 * (0.105808534 * x3)) * -4.635797)) - -0.59620625"
19,4.031521e-5,"(((x3 * x3) * -0.25413457) - (abs(x0) - ((x1 * -0.17933029) * x1))) - (abs(x2) - -0.018768555)"
