Complexity,Loss,Equation
1,0.10478884,"-0.26148865"
4,0.013765274,"0.117455386 - abs(x2)"
5,0.0009884387,"-0.033602893 - (x2 * x2)"
7,0.000988291,"((-0.00080635125 - x2) * x2) - 0.033592556"
8,0.00019652529,"(abs(x0) * -0.2092154) - (x2 * x2)"
9,0.0001666126,"((x0 * x0) * -0.5906548) - (x2 * x2)"
10,0.00015890882,"((x0 * -0.61299086) * sin(x0)) - (x2 * x2)"
11,7.6660865e-5,"(-0.011712714 - ((x0 * x0) * 0.49871522)) - (x2 * x2)"
13,7.187862e-5,"((-0.016324809 - (x0 * x0)) * cos(cos(x1))) - (x2 * x2)"
14,6.3331776e-5,"((-0.017244894 - (sin(x0) * x0)) * cos(cos(x1))) - (x2 * x2)"
18,6.2577536e-5,"(-0.010729515 - ((abs(sin(sin(cos(cos(-1.3881693 * x1))))) * x0) * x0)) - (x2 * x2)"
19,5.989998e-5,"(-0.011839079 - ((x0 * x0) * sin(sin(cos(-0.044619843 - cos(x1 * 1.4082963)))))) - (x2 * x2)"
20,5.7887595e-5,"(-0.011742727 - ((x0 * x0) * sin(sin(cos(-0.065155566 - cos(sin(x1) * 1.7969401)))))) - (x2 * x2)"
