Complexity,Loss,Equation
1,0.10478884,"-0.26143235"
4,0.013765274,"0.11745541 - abs(x2)"
5,0.0009884387,"-0.03359324 - (x2 * x2)"
7,0.000988291,"-0.033592526 - (x2 * (x2 - -0.0008052656))"
8,7.7099205e-5,"(cos(x0) - 1.0118874) - (x2 * x2)"
10,7.678743e-5,"((cos(x0) * 1.018842) - 1.0303204) - (x2 * x2)"
13,2.759733e-5,"(-1.00227 - (x2 * x2)) - ((abs(x1) * 0.05019869) - cos(x0))"
14,2.1847898e-5,"(-1.0061905 - (x2 * x2)) - (((x1 * x1) * 0.10108358) - cos(x0))"
18,2.1847452e-5,"(-1.006191 - (x2 * x2)) - ((0.31803218 * sin((0.3178582 * x1) * x1)) - abs(cos(x0)))"
19,2.1846612e-5,"(-1.0061648 - (x2 * x2)) - (((x1 * 0.102161534) * (x1 * cos(x1 * 0.2794579))) - cos(x0))"
