Complexity,Loss,Equation
1,0.104763165,"-0.25866812"
4,0.013731999,"0.12027363 - abs(x2)"
5,0.00094868825,"-0.030774873 - (x2 * x2)"
7,0.0009485057,"((-0.0008955422 - x2) * x2) - 0.030774873"
9,0.00094726565,"(-0.030766284 - (x2 * x2)) - (x0 * 0.0056995936)"
10,0.00014809128,"(0.007328557 - (x2 * x2)) - abs(x0 * -0.22658302)"
11,3.5492445e-5,"(-0.008878033 - (x2 * x2)) - (x0 * (x0 * 0.4991017))"
13,3.5480207e-5,"-0.008879063 - ((x2 * x2) - ((x0 * (x0 - -0.0010497167)) * -0.49904728))"
15,3.5467485e-5,"(-0.00887741 - ((x2 * x2) - ((x0 * -0.49908626) * x0))) - (x3 * 0.0009706855)"
16,2.2827839e-5,"((-0.0039974772 - (x2 * x2)) - ((x0 * 0.49946475) * x0)) - (abs(x1) * 0.025391059)"
18,2.2827837e-5,"-0.009704859 - ((x2 * x2) - (((x0 * (x0 * -0.49945888)) - -0.0057071936) - (abs(x1) * 0.0253913)))"
