Complexity,Loss,Equation
1,0.10763512,"-0.28342637"
4,0.016434142,"0.09551841 - abs(x2)"
5,0.0037331805,"-0.055530284 - (x2 * x2)"
7,0.0037324377,"-0.055529658 - (x2 * (x2 - -0.0018039779))"
8,0.0037320664,"-0.05753416 - abs((x2 * x2) + -0.0021907766)"
9,7.8004705e-5,"-0.010499544 - ((x0 * x0) + (x2 * x2))"
11,7.666088e-5,"(-0.011714108 - (x2 * x2)) + (x0 * (x0 * -0.99869025))"
13,7.665255e-5,"(x0 * (x0 * -0.9987391)) + ((x2 * (0.00019137339 - x2)) + -0.011711639)"
14,6.048125e-5,"(((x0 * (cos(x1) - 1.971779)) * x0) - (x2 * x2)) + -0.011687591"
16,5.730875e-5,"((x0 * ((cos(x1 * 1.28568) + -1.9549285) * x0)) - (x2 * x2)) + -0.011659799"
18,5.7260742e-5,"((x0 * (((cos(x1 * 1.2896016) - 1.9541756) * x0) + -0.0009653025)) - (x2 * x2)) + -0.011674609"
