Complexity,Loss,Equation
1,0.109018765,"-0.31652233"
4,0.018008547,"0.062406592 - abs(x2)"
5,0.0053367894,"-0.08864097 - (x2 * x2)"
7,0.005336436,"((-0.0012453673 - x2) * x2) + -0.088641405"
8,0.0024214415,"(abs(x0) * -0.56892824) - (x2 * x2)"
9,0.00170505,"-0.04476795 - ((x0 * x0) + (x2 * x2))"
11,0.001704779,"(-0.045276478 - ((x0 * x0) + (x2 * x2))) * 0.99839747"
13,0.0017047442,"-0.04530519 - (((x2 * (x2 * 1.0032407)) + (x0 * x0)) * 0.9953145)"
14,0.00047435932,"(x0 * (x0 * -0.98754215)) + ((abs(x1) * -0.24141684) - (x2 * x2))"
16,0.00047136235,"((((x0 * -0.99888843) * x0) + (abs(x1) * -0.2505905)) - (x2 * x2)) - -0.0031935824"
