Complexity,Loss,Equation
1,0.10380853,"-0.23979786"
4,0.012903103,"0.13894789 - abs(x2)"
5,6.187954e-5,"-0.011904591 - (x2 * x2)"
7,6.187577e-5,"(x2 * (x2 * -0.9998082)) - 0.011948385"
8,3.702425e-5,"(abs(x0) * -0.06161765) - (x2 * x2)"
10,3.032961e-5,"((abs(x0) * -0.044981383) - (x2 * x2)) - 0.0043401043"
11,2.5850315e-5,"(((x0 * -0.099137306) * x0) - (x2 * x2)) - 0.007555038"
12,2.5850313e-5,"(abs(x0 * x0) * -0.09912553) - ((x2 * x2) - -0.007555419)"
13,2.5841753e-5,"(((x0 * x0) * -0.09915803) - ((x2 * x2) - -0.0076235444)) * 0.99971175"
15,2.5836935e-5,"((x0 * ((x0 * -0.09944183) - 0.00034675314)) - ((x2 * x2) - -0.0076072915)) * 0.9997177"
18,1.6977596e-5,"(((x0 * (x0 * -0.09957551)) - ((cos(x4) * -0.021374846) - 1.3572446e-6)) - (x2 * x2)) - 0.025478998"
