Complexity,Loss,Equation
1,0.10765841,"-0.28038347"
4,0.016547551,"0.087729625 - abs(x2)"
5,0.0037273746,"-0.052478075 - (x2 * x2)"
7,0.0037265918,"-0.05248833 - (x2 * (x2 - -0.0018529582))"
9,0.00011815473,"(x2 * (x2 * -1.012422)) - (x0 * x0)"
11,6.794391e-5,"(((x2 * -0.9997192) * x2) - (x0 * x0)) + -0.008679818"
13,6.7941066e-5,"(((x2 * -0.99972034) * x2) + -0.008718177) - ((x0 * 0.9991186) * x0)"
16,6.7939174e-5,"(((x2 * x2) + 0.008702184) * -0.9997196) - ((x0 * x0) * cos(x0 * -0.0847749))"
17,6.782809e-5,"(((x2 * x2) + 0.008702184) * -0.9997196) - (cos(0.085028626 * cos(x1)) * (x0 * x0))"
18,6.537178e-5,"(((x2 * x2) + 0.008699344) * -0.99971396) - (cos(cos(cos(x1) * 1.803533)) * (x0 * x0))"
19,5.0926064e-5,"((((x2 * x2) + 0.009589297) * -1.01844) - (x0 * x0)) * cos(cos(cos(abs(x1)) * 1.8018339))"
