Complexity,Loss,Equation
1,0.10082009,"-0.58436817"
4,0.015860014,"-0.20542744 - abs(x2)"
6,0.015858708,"-0.203932 - abs(x2 * 1.0039515)"
7,0.0003001893,"(-0.037260808 - abs(x0)) - abs(x2)"
9,0.0003000957,"(-0.037251722 - abs(x0 + 0.000296471)) - abs(x2)"
10,0.0002130914,"((abs(x1) * -0.16181313) - abs(x0)) - abs(x2)"
12,0.00010071099,"(-0.017954346 - (abs(x0) + abs(x1 * -0.100769356))) - abs(x2)"
14,8.0688e-5,"(-0.024943491 - (abs((x1 * x3) * -0.48996496) + abs(x0))) - abs(x2)"
16,8.0684404e-5,"(-0.024863498 - (abs(x1 * (x3 * -0.4900078)) + abs(x0))) - abs(x2 * 1.0002066)"
18,8.063381e-5,"(-0.024933508 - (abs(x0) + abs((x3 * ((x0 * -0.014072319) + x1)) * 0.49051464))) - abs(x2)"
20,8.052195e-5,"(-0.024903873 - (abs((x3 * -0.49026597) * (x1 + ((x2 * x4) * -0.01954093))) + abs(x0))) - abs(x2)"
