Complexity,Loss,Equation
1,0.10082009,"-0.58436817"
4,0.015860014,"-0.20542818 - abs(x2)"
6,0.015858708,"(-0.2031311 - abs(x2)) * 1.003947"
7,0.0003001893,"-0.03726088 - (abs(x0) + abs(x2))"
9,0.000300091,"(-0.037259243 - abs(x0)) - abs(x2 - 0.00032452002)"
10,0.00021309138,"(abs(x1) * -0.16181272) - (abs(x0) + abs(x2))"
12,0.00010071099,"(-0.017953482 - abs(x0)) - (abs(x2) + abs(x1 * 0.1007713))"
14,8.0688005e-5,"(-0.02494026 - abs(x0)) - (abs(x2) + abs((x1 * x3) * 0.49003607))"
15,8.0688e-5,"(-0.024942687 - abs(x0)) - (abs(x2) + abs(abs((x1 * x3) * 0.48997128)))"
16,8.065332e-5,"(-0.024907177 - abs(x0)) - (abs(x2 + -0.00017649491) + abs((x1 * -0.49012136) * x3))"
18,8.0652266e-5,"(-0.024942903 - abs(x0)) - (abs(x2 + -0.00019905393) + abs(abs(abs(x3 * x1) * -0.48993185)))"
20,8.062164e-5,"(-0.02494607 - abs(x0)) - (abs(x2) + abs((x1 * 0.49010587) * (x3 + (x3 * (x3 * -0.04289332)))))"
