Complexity,Loss,Equation
1,0.10082009,"-0.58437365"
4,0.015860014,"-0.20542823 - abs(x2)"
6,0.015858708,"(-0.20313518 - abs(x2)) * 1.0039375"
7,0.0003001893,"(-0.037260808 - abs(x2)) - abs(x0)"
8,0.00030018928,"(-0.037259042 - abs(x2)) - abs(abs(x0))"
9,0.0003000909,"(-0.037259035 - abs(x2 + -0.00031821395)) - abs(x0)"
11,0.00029973141,"(-0.037253805 - abs(x2)) - (abs(x0) + (x3 * 0.0041693514))"
12,0.00010071099,"(-0.017953372 - abs(x2)) - (abs(x0) + (abs(x1) * 0.10077808))"
14,8.0688e-5,"(-0.024943374 - abs(x2)) - (abs(x0) + abs((x1 * -0.4899557) * x3))"
16,8.065262e-5,"(-0.02495181 - abs(x2 - 0.0002076237)) - (abs(x1 * (x3 * -0.4895696)) + abs(x0))"
17,8.287774e-6,"(-0.005131083 - abs(x2)) - ((abs(x1 * 0.10010331) + (abs(x3) * 0.09921649)) + abs(x0))"
19,8.287771e-6,"((-0.19198571 - abs(x2)) - (abs(x1 * 0.10009995) + (abs(x0) + (abs(x3) * 0.09921536)))) + 0.18685384"
