Complexity,Loss,Equation
1,0.10082009,"-0.58436817"
4,0.015860014,"-0.20542766 - abs(x2)"
6,0.015858708,"(abs(x2) * -1.0039303) + -0.20394048"
7,0.0003001893,"-0.037259113 - (abs(x0) + abs(x2))"
9,0.0003000909,"(-0.037260503 - abs(x0)) - abs(0.00031854573 - x2)"
10,0.00021309139,"(abs(x1) * -0.16181321) - (abs(x0) + abs(x2))"
12,0.00010071099,"((abs(x1) * -0.10076903) - (abs(x0) + abs(x2))) - 0.017954357"
13,1.4038112e-5,"((abs(x3) + abs(x1)) * -0.11218126) - (abs(x0) + abs(x2))"
15,8.2927245e-6,"((abs(x1) + abs(x3)) * -0.09981387) - (abs(x2) + (abs(x0) - -0.0051085153))"
17,8.285284e-6,"((abs(x1) + abs(x3)) * -0.09980916) - ((abs(x2) + 0.0051089074) + abs(x0 + 8.1236336e-5))"
