Complexity,Loss,Equation
1,0.10082009,"-0.58436817"
4,0.015860014,"-0.20542833 - abs(x2)"
6,0.015858708,"-0.20393434 - abs(x2 * -1.0039454)"
7,0.0003001893,"(-0.037262782 - abs(x2)) - abs(x0)"
9,0.00030009093,"(-0.037262782 - abs(x0)) - abs(x2 - 0.00031812445)"
10,0.00021309523,"((abs(x1) * -0.1615525) - abs(x0)) - abs(x2)"
12,0.00010071101,"((abs(x1) * -0.10077186) - abs(x0)) - (abs(x2) + 0.017953902)"
14,0.000100703415,"(((abs(-0.0007839215 - x1) * -0.10076879) - abs(x0)) - abs(x2)) + -0.017956376"
16,0.000100671765,"((abs(x1 - (x2 * -0.004190243)) * -0.10077186) - abs(x0)) - (abs(x2) + 0.017953902)"
18,8.068788e-5,"-0.024956351 - ((abs(x2) + abs((x1 * -0.48997414) * x3)) - (abs(x0 * -1.470794) * -0.6798492))"
19,5.798148e-5,"((abs(x1 * -0.34772906) * -0.37902713) - abs(abs(x2) + (x3 * (x3 * 0.34772906)))) - abs(x0)"
20,5.6906716e-5,"((abs(x1 * -0.34842905) * -0.37965733) - (abs(x2) + abs(abs((x3 * x3) * -0.3226325)))) - abs(x0)"
