Complexity,Loss,Equation
1,0.10382436,"-0.23594853"
4,0.012901187,"0.1429491 - abs(x2)"
5,4.9894283e-5,"-0.008097542 - (x2 * x2)"
7,4.988398e-5,"-0.008098298 - (x2 * (x2 - -0.00021252217))"
8,1.7941378e-5,"(abs(x0) * -0.047150735) - (x2 * x2)"
10,1.7860719e-5,"(abs(x0) * -0.045324787) - ((x2 * x2) + 0.0004763935)"
12,9.387057e-6,"(-0.044030525 * ((x3 * x3) + abs(x0))) - (x2 * x2)"
14,6.5530367e-6,"(((x3 * (x3 * 2.3005335)) + abs(x0)) * -0.038181778) - (x2 * x2)"
15,6.5507634e-6,"((((x3 * -2.258544) * x3) - abs(abs(x0))) * 0.03837509) - (x2 * x2)"
17,6.3792804e-6,"((abs(x0) - (((x3 * -5.9193845) * x3) * abs(x3))) * -0.040927958) - (x2 * x2)"
