Complexity,Loss,Equation
1,0.104164615,"-0.84151083"
4,0.04814641,"-0.46256965 - abs(x2)"
5,0.04462885,"-0.4902965 - sin(abs(x2))"
7,0.028357994,"-0.27097598 - (abs(x2) + abs(x1))"
8,0.024965072,"-0.298703 - (abs(sin(x2)) + abs(x1))"
10,0.013607475,"(-0.1305327 - abs(x1)) - (abs(x0) + abs(x2))"
11,0.009389762,"(-0.1305327 - abs(x1)) - (abs(x0) + sin(abs(x2)))"
13,0.0041644345,"((0.0 - (abs(x2) + abs(x0))) - abs(x3)) - abs(x1)"
14,1.7527368e-15,"((2.9926092e-10 - abs(x3)) - abs(x1)) - (sin(abs(x2)) + abs(x0))"
16,1.6646129e-15,"(((0.28122425 - abs(x3)) - abs(x1)) - (sin(abs(x2)) + abs(x0))) + -0.28122425"
