Complexity,Loss,Equation
1,0.08864543,"-0.4856046"
4,0.00403561,"-0.10671706 - abs(x2)"
6,0.0040353183,"(-0.10581051 - abs(x2)) * 1.0018713"
7,0.0003275939,"(abs(x0) * -0.58658946) - abs(x2)"
9,0.00014432383,"(-0.022708777 - abs(x2)) + (abs(x0) * -0.49954703)"
11,0.00014430533,"-0.022884917 - ((abs(x2) * 0.9995285) + abs(x0 * 0.49956232))"
12,6.881373e-5,"(abs(x3) * -0.12940328) - (abs(x0 * 0.5218772) + abs(x2))"
14,4.910436e-5,"((abs(x3) * -0.10070168) - (abs(x2) + abs(x0 * 0.4996084))) - 0.009553711"
15,2.3188893e-5,"((abs(x1) + abs(x3)) * -0.076302715) - (abs(x0 * -0.50101364) + abs(x2))"
16,2.0760946e-5,"((abs(x3) + (x1 * x1)) * -0.1007014) - (abs(x2) + abs(x0 * -0.49960855))"
17,1.6291365e-8,"((abs(x3) + abs(x1 * -0.49960855)) * -0.1007014) - (abs(x2) + abs(x0 * -0.49960855))"
19,6.322288e-9,"((((abs(x3) * 2.0283973) + abs(x1)) * -0.049537633) - (abs(x2) + abs(x0 * -0.4999965))) - 2.6235582e-5"
20,4.7229687e-9,"((((abs(x3) * 2.0225685) + abs(x1)) * -0.049742095) - (abs(abs(x0 * -0.49999854)) + abs(x2))) - -3.012285e-5"
