environment,epoch,timesteps,mean_return,mean_episode_length
Standard,0,2048,7.790076335877862,7.790076335877862
Standard,1,4096,10.049019607843137,10.049019607843137
Standard,2,6144,15.074074074074074,15.074074074074074
Standard,3,8192,24.36904761904762,24.36904761904762
Standard,4,10240,36.26315789473684,36.26315789473684
Standard,5,12288,49.5,49.5
Standard,6,14336,59.51428571428571,59.51428571428571
Standard,7,16384,73.39285714285714,73.39285714285714
Standard,8,18432,100.0,100.0
Standard,9,20480,98.28571428571429,98.28571428571429
Standard,10,22528,128.6875,128.6875
Standard,11,24576,133.07142857142858,133.07142857142858
Standard,12,26624,225.1,225.1
Standard,13,28672,201.8,201.8
Standard,14,30720,354.2,354.2
Standard,15,32768,793.5,793.5
Standard,16,34816,631.0,631.0
Standard,17,36864,1000.0,1000.0
Standard,18,38912,1000.0,1000.0
Standard,19,40960,724.0,724.0
Standard,20,43008,1000.0,1000.0
Standard,21,45056,832.0,832.0
Standard,22,47104,1000.0,1000.0
Standard,23,49152,819.0,819.0
Standard,24,51200,883.0,883.0
Custom,0,2048,0.22487163740458013,7.790076335877862
Custom,1,4096,4.7499299101123595,11.51685393258427
Custom,2,6144,7.010656670967741,13.238709677419354
Custom,3,8192,15.636406209302322,23.813953488372093
Custom,4,10240,22.758123677419356,32.483870967741936
Custom,5,12288,46.28168045161291,67.19354838709677
Custom,6,14336,38.244635,53.37837837837838
Custom,7,16384,54.93951285185185,76.81481481481481
Custom,8,18432,65.67832652173912,90.95652173913044
Custom,9,20480,92.422590625,123.9375
Custom,10,22528,105.94425476923077,141.6153846153846
Custom,11,24576,169.86440344444443,219.44444444444446
Custom,12,26624,257.59613457142854,327.0
Custom,13,28672,797.071299,1000.0
Custom,14,30720,815.820048,1000.0
Custom,15,32768,855.3383405,1000.0
Custom,16,34816,879.946046,1000.0
Custom,17,36864,898.9677955,1000.0
Custom,18,38912,914.6617584999999,1000.0
Custom,19,40960,923.2685185,1000.0
Custom,20,43008,939.773689,1000.0
Custom,21,45056,948.444525,1000.0
Custom,22,47104,952.129195,1000.0
Custom,23,49152,960.9055825,1000.0
Custom,24,51200,961.937316,1000.0
