Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,OriginalAverageEpRet
0,28.621117,15.6364765,88.48374,8.823578,0.996966,4.1783805,58.790985,0.018140443,15.1673,262.4923,0.065623075,0.0020483718,0.10790474,0.4462824,-0.37547246,0.006329509,0.15190813,0.53081214,-0.5375195,-1.9073486e-08,-0.0157649,3.2663344e-08,0.014030588,480.3672,-37.5455,27.165546,-3.2864017,0,0,5.0,0.9189385,0.016552167,4000,4.490825176239014,0,15.1673
1,37.041454,20.782007,145.7451,9.211309,1.2876098,3.3468406,32.635067,0.04347143,19.870647,521.42,0.0651775,0.96318007,0.7292162,3.7205288,-2.078547,0.5931035,0.7341045,3.3408628,-2.1438322,2.682209e-08,-0.013530014,3.051758e-08,0.02209435,723.81354,-155.41559,12.009367,-1.1702728,0,0,8.0,0.91718435,0.014600851,8000,8.926353454589844,0,19.870647
2,45.911243,26.318966,177.13303,9.242871,2.4665697,6.076773,45.874645,0.027567802,25.196203,911.22363,0.075935304,4.991176,1.0192443,8.736843,0.38583958,1.4979671,0.8739065,5.3294263,-2.0494204,2.18153e-08,-0.018523281,9.536743e-09,0.054686274,861.06976,-228.98016,40.583324,-3.967533,0,0,10.0,0.9145842,0.015835252,12000,13.126436710357666,1,25.196203
3,60.812443,31.052805,237.84586,13.255083,6.5665355,18.974194,116.14717,0.051170446,34.12069,1686.4084,0.105400525,11.189494,0.16886555,11.444741,9.884717,3.3758993,0.7256995,5.537282,0.06949286,-3.9100648e-08,-0.014669057,1.1539459e-07,0.10606543,958.03094,-176.7392,272.999,-21.559082,0,0,14.0,0.9116523,0.013013562,16000,17.35438871383667,5,34.12069
4,64.34258,30.376062,184.26889,13.504382,9.492904,19.050158,104.95218,0.05463304,37.857143,2683.55,0.1341775,16.065792,0.674519,17.23346,10.731066,5.80246,3.4140823,14.07325,-5.537681,3.9935113e-08,-0.023216637,4.9591065e-08,0.06507086,751.7811,-85.95422,233.93243,-6.7433167,0,0,11.0,0.90860754,0.014635217,20000,21.712400436401367,5,37.857143
5,83.126625,33.00132,155.85934,25.593647,12.290281,18.6142,95.61954,0.06648709,49.06173,3679.2905,0.15330377,18.818027,1.4455007,20.60329,9.063268,7.951839,3.548945,15.149148,-6.5307093,-4.708767e-08,-0.019123798,-8.296966e-08,0.014822908,973.0552,-99.15082,222.18747,-27.574326,0,0,79.0,0.90585726,0.005320587,24000,26.424164533615112,4,49.06173
6,95.62381,44.152737,260.6319,38.214317,13.460531,20.52356,103.474144,0.22644705,55.541668,4648.4507,0.1660161,21.655073,1.4547307,22.93269,8.971791,8.769726,0.47098634,9.904798,6.8705826,-1.0967255e-08,-0.018197319,-4.5776368e-08,-0.090581864,1354.1617,-122.03003,221.5013,-2.1209564,0,0,79.0,0.89780885,0.0061222524,28000,31.2455952167511,5,55.541668
7,113.22004,46.627552,219.01686,48.22781,9.346876,13.942632,101.838066,0.23763515,64.435486,5227.9697,0.16337405,24.416367,1.9998155,25.550205,2.781517,8.501487,0.92341465,10.816538,4.2140517,1.4424324e-08,-0.018237175,-3.671646e-08,-0.027494615,1610.451,-124.32849,97.09819,-13.343269,0,0,79.0,0.8878128,0.006051821,32000,35.91874957084656,2,64.435486
8,164.44156,114.64238,650.74634,48.486465,10.57422,15.813688,106.31809,2.1590374,91.93023,5688.399,0.15801108,27.117079,2.2908294,27.977104,-13.381299,5.339731,0.4723342,6.7143655,2.8993015,-1.09434126e-07,-0.01480878,-1.5068055e-07,-0.084676206,4177.199,-301.24707,72.526375,-1.8770447,0,0,79.0,0.87730634,0.006554413,36000,40.330511808395386,1,91.93023
9,395.16345,204.20099,811.68304,134.06403,9.42342,5.5273724,23.178734,2.3292458,216.5,5859.8013,0.14649503,31.033903,0.30222663,31.313305,28.26726,4.6079364,0.24059361,5.2100573,2.5803,-2.7894973e-08,-0.010514455,1.3351441e-08,0.0019827452,9413.326,-647.9697,8.434588,-3.791339,0,0,7.0,0.8727858,0.011821804,40000,44.46865749359131,0,216.5
