Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	18.85849	9.051153	54.0	8.0	0.40288907	0.27961636	1.6033905	0.031061558	18.85849	85.52693	0.021381732	0.0034753846	0.18142919	0.43727586	-0.5178441	0.001003171	0.15105556	0.42295194	-0.3488487	8.916855e-08	-0.013409559	-1.2516975e-09	-0.0002041874	185.1134	-21.752472	0.12212967	-0.076227814	0.0	0.0	0.017406067	-0.07887297	-0.005149454	0.017699815	0.00029604894	0.00029836828	1.3304065	0.0	3.0	0.0	0.0	0.68526036	0.0045539197	4000	2.5096588134765625
1	22.531073	11.345642	72.0	9.0	0.41072187	0.3707939	2.30424	0.010483036	22.531073	158.49104	0.01981138	0.9925635	0.38919735	2.0518718	-0.20317589	0.24379171	0.01939535	0.30371535	0.12463708	-2.9802322e-08	-0.013951882	-1.3113022e-09	0.0009093997	232.23306	-77.94649	0.09326529	-0.0023646802	0.0	0.0	0.0154541135	-0.027693694	-0.0039624446	0.01920146	-0.001249369	0.00041654095	1.3856933	0.0	3.0	0.0	0.0	0.692035	0.004538274	8000	4.685207843780518
2	22.647728	11.082377	88.0	8.0	0.39153612	0.29663324	1.5007497	0.051992882	22.647728	227.52184	0.018960154	4.7633586	0.33230963	5.7174478	3.4691122	0.24789728	0.050221268	0.45181862	0.017458152	-2.8014183e-08	-0.015285345	-1.4156103e-09	0.0007635933	152.52707	-55.48999	0.05138018	-0.0026743785	0.0	0.0	0.012563735	-0.16765244	-0.0047891727	0.022950822	-0.0011580352	0.000129107	1.5149529	0.0	3.0	0.0	0.0	0.6906531	0.004490297	12000	6.822461366653442
3	34.189655	23.072939	145.0	8.0	1.1681368	2.4123182	14.930676	0.05938668	34.189655	363.12564	0.022695353	9.269898	0.4886658	10.725811	6.6552405	0.2118201	0.04253588	0.39698616	0.031955414	-2.6226044e-09	0.010608035	-8.5532665e-09	-0.009198602	366.48624	-98.74704	5.636856	-1.2935481	1.0483384	0.0	0.021501461	-0.031970575	0.019542076	0.03275496	-0.010119104	0.009099059	0.0	1.0483384	0.0	0.0	0.0	0.6812146	0.003479689	16000	8.974337339401245
4	26.832214	14.016482	86.0	8.0	0.45164326	0.46236208	4.0545797	0.014626062	26.832214	430.42075	0.021521037	14.97253	0.5970146	16.196833	11.062498	1.2254865	0.3380676	2.610891	-0.09846668	-1.0490417e-08	-0.011708242	-2.8371812e-08	0.0014895953	113.08478	-4.751793	1.2024851	-1.0376315	1.6563387	0.0	0.01246326	0.00905811	-0.0018021897	0.03022236	-0.00782548	0.003448268	1.1729974	1.6563387	2.0	0.0	1.0	0.6836202	0.0029261652	20000	11.102917432785034
5	29.48889	15.637972	93.0	9.0	0.45937374	0.48838708	3.3898375	0.01661245	29.48889	492.4747	0.02051978	15.093031	2.4356427	18.143646	-0.6263224	0.3304322	0.060296375	0.6381178	0.06683803	2.348423e-08	-0.017711263	-1.192093e-10	0.0012986423	133.51913	-5.9914093	0.17612849	-0.002517134	0.0	0.0	0.021601353	0.006349248	-0.0013776801	0.032904074	-0.00242409	0.0005198936	1.813948	0.0	2.0	0.0	0.0	0.67502785	0.004361475	24000	13.234269142150879
6	36.449543	18.209024	113.0	12.0	0.65964466	0.9649778	6.6984506	0.03903502	36.449543	564.969	0.020177465	15.940858	2.6468961	18.838848	-0.7171593	0.30661553	0.110395804	0.9302799	-0.28394118	-5.722046e-09	0.0092548095	2.6822091e-09	-0.0037139454	171.63123	-14.019699	0.66056687	-0.06977171	2.6790354	0.0	0.015904441	-0.0037684385	0.004379881	0.024258438	-0.0034116711	0.001393285	0.0	2.6790354	0.0	0.0	0.0	0.6613628	0.0033256947	28000	15.374624490737915
7	33.049587	17.675613	123.0	11.0	0.39609537	0.30903205	1.6736642	0.038470514	33.049587	612.9621	0.019155066	17.559149	3.4345453	20.437004	-3.9156606	0.4455788	0.097675204	0.7761932	0.04164134	2.026558e-09	-0.015716938	4.4107438e-09	0.0015111185	155.36029	-3.6380005	0.11960881	-0.07015067	0.0	0.0	0.009826721	-0.016137911	-0.0031439012	0.02539386	-0.002426263	0.00037815244	1.5935451	0.0	3.0	0.0	0.0	0.664854	0.004137373	32000	17.510928869247437
8	38.307693	21.009192	158.0	10.0	0.4741471	0.565233	4.82304	0.010487079	38.307693	662.3148	0.018397633	17.861372	3.9528382	20.915459	-8.485789	0.2090404	0.05369317	0.42281282	-0.059901416	1.3589859e-08	-0.014671878	1.1026859e-09	0.0005261855	196.66078	-10.363525	0.15465401	-0.0030521154	0.0	0.0	0.020914728	0.008647013	-0.0006748746	0.022735562	-0.0007829097	0.00033662992	1.5078316	0.0	2.0	0.0	0.0	0.6531843	0.004034008	36000	19.605276584625244
9	44.38889	19.471172	104.0	10.0	0.5313805	0.6103364	3.5665174	0.028957915	44.38889	710.1577	0.017753944	19.597567	4.5914116	22.188057	-14.012335	0.25419423	0.048870333	0.47012115	0.02943023	2.7120114e-08	-0.010226982	-1.5199184e-09	-0.00074440637	181.48781	-7.7079315	0.20572259	-0.005419314	3.444695	0.0	0.016720407	0.009564486	0.0007069443	0.024659008	-0.0030182588	0.0011475432	1.3221861	3.444695	1.0	0.0	0.0	0.6428099	0.0039480133	40000	21.730477571487427
