Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	14.691176	8.891929	55.0	5.0	1.4963831	8.957018	120.91554	0.045034897	14.691176	407.03207	0.10175802	-0.004016976	0.110143766	0.4253767	-0.35696846	0.005265894	0.15241851	0.5099491	-0.50372154	-2.102852e-07	0.008335919	1.0967255e-07	-0.06426799	150.39209	-20.195496	141.40765	-8.117706	0.16077879	0.0	0.048578303	-0.0018904163	0.06782187	0.05599346	-0.05355887	0.38684988	0.0	0.16077879	0.0	0.0	0.0	0.9189385	0.0043282574	4000	2.7867414951324463
1	14.059859	7.7704716	54.0	4.0	0.42745775	0.8787527	13.295236	0.0461388	14.059859	528.6419	0.066080235	1.0711294	0.26655167	2.630572	-0.56815106	0.67427635	0.47052857	3.113781	-1.9828832	-1.1134148e-07	-0.022071669	1.6689301e-09	0.0048877043	109.19437	-42.189636	1.2842083	-0.06835604	0.0	0.0	0.016582057	0.0023577632	-0.005159529	0.04607141	-0.010135203	0.0034833702	2.1464252	0.0	2.0	0.0	0.0	0.91992605	0.004480363	8000	5.122779607772827
2	16.6375	9.793166	70.0	4.0	0.727186	2.4425366	34.973747	0.032578833	16.6375	703.22986	0.05860249	4.471145	0.2614464	5.7309985	2.9531484	0.7323236	0.6027249	3.4221199	-2.7798007	-5.5789947e-08	-0.006491485	-2.002716e-08	-0.013191417	104.15112	-36.051918	6.7410216	-0.024431705	1.2655345	0.0	0.038803115	0.006737408	0.013655057	0.06618154	-0.039556365	0.057151064	2.3998654	1.2655345	1.0	0.0	0.0	0.9077718	0.0047410214	12000	7.562597036361694
3	17.064377	9.560297	84.0	4.0	0.5452317	1.0919708	11.460465	0.030757356	17.064377	830.5807	0.051911294	8.903371	0.4038444	9.998942	6.6536636	0.7303787	0.5496878	3.2958205	-1.8723433	6.7949295e-09	-0.014968125	-7.2717667e-09	-0.0030281362	71.23159	-5.5470886	1.8052555	-0.29862535	1.1759167	0.0	0.031117808	0.009592035	0.0026506505	0.045027323	-0.015477364	0.017221939	1.8011469	1.1759167	1.0	0.0	0.0	0.8918488	0.0045618196	16000	9.936193227767944
4	20.306122	11.841993	89.0	5.0	0.49965855	0.7863282	6.633213	0.035027083	20.306122	928.8307	0.046441533	10.400093	0.9637778	13.339155	4.1146274	0.58415234	0.33462292	2.1964948	-1.2880865	2.3424626e-08	-0.016259711	2.6822091e-09	-8.540717e-05	93.6425	-5.674019	0.61421144	-0.05220288	1.8282435	0.0	0.02655304	0.0099999625	-1.681489e-05	0.05200476	-0.013893932	0.00758461	1.6295134	1.8282435	2.0	0.0	0.0	0.8708704	0.0048435694	20000	12.25519347190857
5	20.703125	10.107258	69.0	6.0	0.40708217	0.8545262	8.883002	0.019797277	20.703125	1007.4505	0.041977104	12.433572	1.0992666	15.534586	5.9440923	0.4498492	0.24171743	1.7422868	-0.8640256	-6.198883e-09	-0.015438161	-4.768372e-10	0.0037551422	70.43098	-1.7169647	1.0323926	-0.08543277	0.18973956	0.0	0.025582863	0.007820499	-0.0044881064	0.03612571	-0.009871054	0.00924207	1.8086617	0.18973956	2.0	0.0	1.0	0.8529357	0.0029965795	24000	14.567659139633179
6	22.548023	10.073134	62.0	7.0	0.4192581	0.535723	3.8870518	0.03241656	22.548023	1081.6666	0.03863095	11.899235	2.2267118	16.162111	-2.1594343	0.41489574	0.14043786	1.1358355	-0.20032385	5.2452087e-09	-0.016199246	5.960465e-11	0.0029359094	66.91314	-3.16642	0.25625062	-0.020967871	1.2067432	0.0	0.016385755	0.0066235336	-0.0035808864	0.043862317	-0.010215051	0.0037976825	1.5728538	1.2067432	2.0	0.0	1.0	0.8399033	0.0029322407	28000	16.90395188331604
7	25.119497	10.3519	57.0	6.0	0.57799536	0.7972638	5.7468586	0.021579813	25.119497	1173.5743	0.036674198	12.873634	3.1802526	17.325678	-4.2162857	0.35862	0.11632411	0.82625884	-0.2706396	3.8146974e-09	-0.0063011167	3.9339065e-09	-0.0033407172	72.85011	-2.3155518	0.5314184	-0.022292256	2.1513724	0.0	0.0146052595	0.008632258	0.003104973	0.03216603	-0.011125704	0.0070487396	1.3007458	2.1513724	1.0	0.0	0.0	0.8223645	0.0040329276	32000	19.178409814834595
8	27.722221	10.281756	59.0	6.0	0.5027308	0.50047356	2.331122	0.028133454	27.722221	1246.078	0.034613278	13.657675	2.8945894	17.465134	-3.0437524	0.46535948	0.086371005	0.774053	0.122529164	-1.192093e-10	-0.010847113	-2.95043e-09	-5.002034e-05	74.29604	-2.934166	0.17721038	-0.011809126	2.0582423	0.0	0.0114336535	0.009997522	9.850534e-05	0.027595548	-0.007956226	0.0039167153	1.0694151	2.0582423	1.0	0.0	0.0	0.7992322	0.0042643775	36000	21.439974784851074
9	28.913044	10.329695	72.0	11.0	0.45302913	0.44376734	2.1239645	0.012947011	28.913044	1308.6168	0.03271542	14.481825	3.7304602	18.216026	-8.709822	0.38138977	0.06740297	0.60023046	0.084859505	3.015995e-08	-0.009207333	-3.1590461e-09	0.0013596134	76.17933	-2.0395355	0.13997447	-0.0049916804	0.9154958	0.0	0.008618012	0.009068712	-0.0016245565	0.014777926	-0.004178113	0.0028339077	0.9748342	0.9154958	2.0	0.0	1.0	0.77713263	0.0026461424	40000	23.025129079818726
