Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.022556	9.11948	67.0	5.0	0.856621	2.7585895	33.065334	0.015836015	15.022556	227.89491	0.05697373	-0.0037022727	0.10905967	0.43019375	-0.44364324	0.0028407667	0.15213212	0.49808562	-0.48250827	-4.768372e-10	0.009333865	-2.8610229e-08	-0.02288732	156.8292	-20.846344	11.897998	-1.5309076	0.42396706	0.0	0.035899658	-0.00012956001	0.023739038	0.044771865	-0.02221691	0.05563341	0.0	0.42396706	0.0	0.0	0.0	0.9189385	0.004431569	4000	2.906557321548462
1	13.742268	7.3226266	49.0	5.0	0.5386276	2.4125855	40.020664	0.033928186	13.742268	384.65536	0.04808192	1.1017815	0.21719086	2.2764616	-0.33899683	0.76150435	0.29866946	2.6034088	-1.5891225	5.4121017e-08	-0.0136036305	3.9339065e-09	-0.0031375568	98.315575	-39.270092	8.678115	-0.35526848	1.3284413	0.0	0.0294678	0.009588762	0.0028108624	0.05154527	-0.020595293	0.019212624	1.753043	1.3284413	1.0	0.0	0.0	0.9126543	0.004423849	8000	5.55748724937439
2	15.174905	8.167904	67.0	5.0	0.340766	0.36846352	2.9199007	0.024702188	15.174905	474.3777	0.039531473	4.410951	0.3279621	6.1976647	2.086956	0.7526792	0.5213286	3.8617327	-2.4999754	-2.360344e-08	-0.021763908	2.4080277e-08	0.004598553	77.66078	-24.531506	0.5904077	-0.40737247	0.0	0.0	0.031367276	-0.007360311	-0.010493245	0.047083706	-0.009984079	0.0063425237	2.169878	0.0	3.0	0.0	0.0	0.89863795	0.004662848	12000	8.14531397819519
3	16.732218	8.960364	63.0	4.0	0.56805146	2.176125	30.743742	0.008793946	16.732218	610.1457	0.038134106	8.13588	0.4255007	9.437251	4.422446	0.20723054	0.37180203	1.6473104	-2.810853	9.536744e-10	-0.013122831	4.7683715e-09	-0.004214932	62.33788	-6.2242126	7.399625	-1.424851	1.670097	0.0	0.03477656	0.008863596	0.0040670913	0.05292583	-0.016253509	0.014555767	1.9807895	1.670097	1.0	0.0	0.0	0.88094765	0.0046596564	16000	10.931942701339722
4	17.746666	8.336415	53.0	6.0	0.44428053	0.9187812	9.257406	0.030091556	17.746666	710.11633	0.035505816	10.11891	0.8924972	12.359403	5.926558	0.6941078	0.53127533	2.7785623	-1.3670946	-3.0994414e-08	-0.015322544	6.198883e-09	0.0025692566	50.99165	-1.2460938	1.2884104	-0.35885918	0.41661718	0.0	0.024552178	0.007876521	-0.0031397145	0.036595985	-0.007477357	0.004642292	1.765541	0.41661718	2.0	0.0	1.0	0.866996	0.0029386713	20000	13.429183721542358
5	19.985	9.135359	58.0	6.0	0.47270724	0.93428826	10.774894	0.015438091	19.985	804.66895	0.033527873	10.489456	0.43066204	12.150647	8.261936	0.4183756	0.14108758	1.1431617	-0.15066184	1.859665e-08	-0.01484931	-5.9604643e-10	0.0013239728	61.58725	-1.8611717	0.88085914	-0.013471663	1.1561139	0.0	0.015809774	0.009671632	-0.0013656621	0.027975332	-0.008312449	0.005679708	1.278536	1.1561139	2.0	0.0	0.0	0.85403454	0.0043026493	24000	15.769299507141113
6	22.548023	10.303266	65.0	6.0	0.39369658	0.59176004	4.5374184	0.03035502	22.548023	874.3611	0.03122718	11.409758	0.59361845	12.351947	7.3199067	0.4418841	0.075277776	0.7418466	0.014800569	-1.2874604e-08	-0.016255466	-4.5895576e-09	0.0039963503	73.01334	-3.6417007	0.3345116	-0.031462073	0.20170929	0.0	0.022142056	0.006190708	-0.004714534	0.03960095	-0.01009311	0.0058348984	1.8912059	0.20170929	2.0	0.0	1.0	0.8478063	0.0029197372	28000	18.294734239578247
7	26.104576	13.091516	91.0	8.0	0.7637461	1.0678701	6.6450315	0.01961626	26.104576	991.2692	0.030977163	12.811911	1.3595619	15.37987	4.5272174	0.32599157	0.057113484	0.48810345	0.15738414	-6.6757204e-09	0.008755271	1.3053417e-08	-0.009427493	112.88426	-9.186462	0.9697954	-0.15147144	1.0387658	0.0	0.014912979	-0.0010147467	0.010103443	0.023807153	-0.009078936	0.009267535	0.0	1.0387658	0.0	0.0	0.0	0.83645856	0.0046973675	32000	21.594295024871826
8	23.098837	10.075102	61.0	8.0	0.42163274	0.53514344	3.4990592	0.015818037	23.098837	1064.1179	0.029558832	14.674856	0.81442845	16.04824	8.590301	0.72155845	0.057212908	0.92405987	0.402311	-3.8146974e-09	-0.012977867	1.3291836e-08	0.0028128729	70.66719	-8.631752	0.36463028	-0.14108202	0.8853539	0.0	0.012992998	0.007776254	-0.0033926931	0.02853124	-0.008968151	0.0051761153	1.2926158	0.8853539	2.0	0.0	1.0	0.8304287	0.0026445547	36000	24.318318843841553
9	25.709677	9.865526	60.0	8.0	0.37945133	0.45268735	2.8114188	0.02203441	25.709677	1122.9421	0.028073553	12.827178	1.4778962	14.147631	5.7997894	0.35208076	0.084086604	0.634919	0.02131042	1.9073487e-09	-0.016792186	3.3974648e-09	0.0035866387	67.25647	-8.737377	0.15790811	-0.0083217025	0.0	0.0	0.011282788	-0.00066378154	-0.004688844	0.025829311	-0.0054763323	0.0020616758	1.6071501	0.0	3.0	0.0	0.0	0.80394703	0.004816803	40000	28.340994358062744
