Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	11.329545	5.79375	45.0	4.0	0.4312028	0.93508244	14.048882	0.022060525	11.329545	151.87639	0.037969097	0.0016414246	0.014059058	0.11379294	-0.11878871	-0.0033981574	0.029631762	0.15193808	-0.24652395	-2.6226044e-08	-0.020671645	-2.9981138e-08	0.0023267404	80.97471	-16.24231	1.6133399	-0.29453897	0.0	0.0	0.030030519	-0.009161351	-0.006072371	0.040917993	-0.004577294	0.0019243783	2.0228195	0.0	3.0	0.0	0.0	0.9189385	0.0045264177	4000	4.91827654838562
1	12.9126215	6.6766853	47.0	5.0	0.4091956	0.6889407	5.9803305	0.014083395	12.9126215	278.36688	0.03479586	1.1825418	0.35102606	3.3230686	-0.8976928	0.46266645	0.19917463	2.1281457	-0.8413144	1.525879e-08	-0.023849051	-4.768372e-10	0.0046706144	83.398575	-38.4902	0.61280555	-0.01073426	0.0	0.0	0.03604293	0.0018906891	-0.0070322203	0.054773696	-0.010687552	0.006098191	2.340378	0.0	2.0	0.0	0.0	0.89669794	0.004776828	8000	9.598697662353516
2	14.807407	8.899435	63.0	4.0	1.0362291	6.534705	99.60641	0.018718738	14.807407	558.16064	0.046513386	4.858743	0.6922476	7.6658216	0.25132143	0.3914142	0.28931803	2.0772357	-1.807218	1.1920929e-08	0.00076061726	1.0490417e-08	-0.02837984	81.44532	-24.719112	78.986496	-7.0137177	1.266149	0.0	0.04630702	0.002280841	0.036213573	0.06218382	-0.051935926	0.16989195	4.5058413	1.266149	1.0	0.0	0.0	0.8795015	0.0039132615	12000	14.131960391998291
3	14.691176	7.4414525	42.0	4.0	0.4916061	1.0563668	12.050218	0.029203005	14.691176	691.90515	0.04324407	8.937442	0.9014116	10.912611	4.4167666	1.8014599	0.88471097	5.3184104	-3.2604346	-1.9073487e-09	-0.01545871	-1.4424324e-08	0.0001565218	40.023983	-1.1138191	3.3554115	-2.0281506	1.2129284	0.0	0.02149936	0.009978612	-0.0005713575	0.046035	-0.019351766	0.015263137	1.4678365	1.2129284	2.0	0.0	0.0	0.8608624	0.004589861	16000	18.75525999069214
4	16.448559	8.2467375	47.0	5.0	0.36243024	0.46746427	4.1341724	0.024134204	16.448559	780.013	0.03900065	9.197365	0.77955174	11.379515	6.3144984	0.46198297	0.63200945	3.7262053	-2.6587598	1.9073487e-09	-0.020902839	4.4107438e-09	0.0008941602	48.912327	-2.241497	0.79053086	-0.40856785	0.0	0.0	0.040397305	-0.027193358	-0.008363636	0.041618142	-0.0015152735	0.0018807232	2.0400524	0.0	3.0	0.0	0.0	0.84353036	0.004674429	20000	20.981730222702026
5	19.417477	9.834084	64.0	5.0	0.5179379	0.82920253	6.346877	0.02136084	19.417477	886.7082	0.036946174	9.958406	0.60759073	11.180421	6.03991	0.260961	0.40074635	2.2035348	-1.941246	1.9073487e-09	-0.016343232	-6.4074994e-09	-0.0012877618	65.63156	-4.534981	1.0184107	-0.30823624	1.1229987	0.0	0.029108496	0.009928662	0.00092380174	0.040851843	-0.011852656	0.011962982	1.7122395	1.1229987	1.0	0.0	0.0	0.8360927	0.004777212	24000	25.662242889404297
6	20.561855	9.535543	49.0	4.0	0.46534586	0.6306545	4.115072	0.016402239	20.561855	977.2524	0.034901872	11.599977	0.93489033	13.541328	4.5713644	0.5371373	0.1270733	1.2295414	-0.11603396	7.1525574e-10	-0.01543335	1.758337e-09	0.0013896717	59.419662	-1.6854973	0.40834013	-0.03586477	0.92323065	0.0	0.029406432	0.009535882	-0.0016853606	0.041518964	-0.008609861	0.0061200834	1.7560656	0.92323065	2.0	0.0	1.0	0.81340355	0.0030219473	28000	30.377875804901123
7	23.063583	10.754297	67.0	6.0	0.47580397	0.7890995	6.4510136	0.0100621525	23.063583	1059.6216	0.033113174	11.835376	0.98341227	13.686666	5.6610565	0.39936915	0.09318554	0.8598128	-0.0470049	-2.7775764e-08	-0.013800098	4.068017e-09	0.0009771493	74.37716	-4.763756	0.5091704	-0.0023452044	0.77778614	0.0	0.025725113	0.009820637	-0.001049101	0.032548383	-0.00647064	0.0061362344	1.6184856	0.77778614	2.0	0.0	1.0	0.7976207	0.002903648	32000	35.02118229866028
8	25.273886	10.847883	64.0	6.0	0.502561	0.6117307	3.634536	0.020495782	25.273886	1138.9618	0.03163783	13.290254	1.8507793	16.813702	4.5702252	0.41042125	0.08107608	0.6915215	0.1285161	-4.768372e-10	-0.011519707	1.5199184e-09	-0.00012634986	79.04741	-4.53302	0.29560247	-0.008584052	1.6897578	0.0	0.0126744015	0.009998154	0.00010132883	0.028174663	-0.009285753	0.005562823	1.1259104	1.6897578	1.0	0.0	0.0	0.778634	0.0042554867	36000	39.70596694946289
9	28.985508	12.949168	78.0	5.0	0.5093306	0.61576205	3.628482	0.011814405	28.985508	1209.2494	0.030231236	14.072218	1.9750363	17.405895	2.823454	0.42951956	0.111671984	0.7406465	0.11527911	6.9141386e-09	-0.009840358	-3.9935113e-09	-0.00032673104	103.19504	-12.303268	0.27191365	-0.0069470108	1.5295066	0.0	0.009639533	0.0099730855	0.0003219047	0.01770432	-0.005572256	0.003850076	0.98313516	1.5295066	1.0	0.0	0.0	0.7587855	0.003914732	40000	44.34677696228027
10	31.164062	13.5841	124.0	10.0	0.50940037	0.5323	3.2108707	0.017003758	31.164062	1274.4769	0.028965386	15.573803	2.369074	18.93442	2.527098	0.38982368	0.10553062	0.6735967	0.10080954	5.9604646e-09	-0.009218631	3.144145e-09	-0.0002891073	108.3842	-16.497047	0.1976513	-0.011668354	1.8416625	0.0	0.009310467	0.0099740755	0.00030164127	0.020165544	-0.00617245	0.003509799	0.9661608	1.8416625	1.0	0.0	0.0	0.74742025	0.0043296395	44000	49.04315209388733
11	33.487396	9.274404	56.0	13.0	0.5086093	0.40099573	2.074618	0.038253736	33.487396	1335.0609	0.02781377	16.359535	3.6728067	20.280447	-0.42811435	0.38319692	0.035450164	0.5122582	0.24149805	-5.00679e-09	-0.0072335047	-2.8461218e-09	-0.00020885277	58.245617	-13.789486	0.10221247	-0.0011985675	1.9211669	0.0	0.005564186	0.009973025	0.0002570906	0.013885028	-0.0045153205	0.002450247	0.7469428	1.9211669	1.0	0.0	0.0	0.7092252	0.0036791288	48000	51.25480890274048
12	33.788136	10.395446	78.0	12.0	0.58588314	0.47485805	2.6847546	0.0088290265	33.788136	1404.3389	0.027006516	16.171404	4.970539	21.022469	-0.94786346	0.3551321	0.030527612	0.47117525	0.23315008	5.2452087e-09	-0.0064706225	-2.8461218e-09	-0.002489987	51.30621	-9.871403	0.14071234	-0.0050313324	1.9792368	0.0	0.011805449	0.008568712	0.0025418135	0.019650297	-0.005950759	0.004513986	1.1737713	1.9792368	1.0	0.0	0.0	0.6916129	0.0041031633	52000	55.857487201690674
13	36.172726	10.255693	74.0	21.0	0.54166573	0.3233083	1.4106408	0.050119676	36.172726	1464.0536	0.026143814	16.739508	5.955368	22.259647	-0.66778654	0.40623787	0.029118713	0.5094564	0.23310828	-3.385544e-08	-0.004889002	1.296401e-09	-0.0011720081	45.217186	-8.657333	0.06408963	-0.0030141585	2.6290517	0.0	0.0055434722	0.008978442	0.001151855	0.010392282	-0.0025094813	0.0012987716	0.78576094	2.6290517	1.0	0.0	0.0	0.647611	0.0040380093	56000	60.53274345397949
14	37.95238	12.811737	101.0	22.0	0.46568185	0.2545699	1.4652963	0.0720591	37.95238	1512.9608	0.025216013	17.508688	7.2124453	23.80593	-1.166239	0.36948502	0.020700656	0.44036946	0.30878276	2.2649764e-09	-0.006099431	1.8030405e-09	0.0007577258	54.72946	-7.3272667	0.043141343	-0.0026604608	2.1591377	0.0	0.0027279118	0.008927861	-0.00090424233	0.008769375	-0.0021464978	0.0007626385	0.55276614	2.1591377	2.0	0.0	1.0	0.61124873	0.002537544	60000	65.2424635887146
