Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.873015	9.158034	58.0	4.0	0.48570856	1.7429807	26.168007	0.008394787	15.873015	305.99643	0.030599643	-0.0014340541	0.11424637	0.40831572	-0.4200092	0.0056921737	0.15068617	0.46794242	-0.7059324	-5.493164e-08	-0.019387916	2.4414062e-08	0.00060262455	161.37257	-20.635605	4.605021	-0.58772707	1.2702036	0.0	0.033441454	0.009937183	-0.00090036046	0.058669865	-0.01804358	0.012904924	1.8344713	1.2702036	2.0	0.0	0.0	0.9189385	0.0046812124	10000	3.9754788875579834
1	17.025597	9.606118	68.0	5.0	0.42051956	1.2782233	16.951242	0.003851336	17.025597	552.6842	0.02763421	1.0337954	0.2555191	2.395823	-0.5618665	0.5658958	0.2876937	2.1166549	-1.324446	2.1362304e-08	-0.017905487	3.8146972e-10	0.003987692	157.02171	-57.384964	2.1642694	-0.101500034	0.8488525	0.0	0.028031383	0.00855672	-0.004668291	0.057984155	-0.021266753	0.015099597	1.8099585	0.8488525	2.0	0.0	1.0	0.89785707	0.002948067	20000	9.582833766937256
2	20.139112	11.456211	81.0	5.0	0.70399725	2.0640461	16.271603	0.007151899	20.139112	901.98804	0.030066269	4.6644096	0.22320805	5.283585	3.4078906	0.55955505	0.052301224	0.7106996	0.3423685	4.348755e-08	-0.0015370441	-5.340576e-09	-0.011327079	143.07817	-52.087723	5.045531	-0.20496178	1.6991233	0.0	0.023055442	0.0065288404	0.010129406	0.055965815	-0.031189838	0.029559253	1.8791814	1.6991233	1.0	0.0	0.0	0.8832596	0.0048159696	30000	15.152230262756348
3	21.002106	11.788754	83.0	4.0	0.42235285	1.0223053	11.337555	0.0063782237	21.002106	1102.6934	0.027567334	9.498581	0.2442262	10.061907	7.7841454	0.9681198	0.15056868	1.6480793	0.12102382	-7.629395e-09	-0.014150188	-4.577637e-09	0.003169931	98.520134	-11.1855545	1.3678781	-0.2951628	0.9587506	0.0	0.01690512	0.008895914	-0.0036971127	0.040155698	-0.016965952	0.012380059	1.3785224	0.9587506	2.0	0.0	1.0	0.87758136	0.0029238327	40000	20.741417407989502
4	21.956043	11.563596	89.0	5.0	0.39514637	0.84641546	8.84521	0.011845481	21.956043	1282.4974	0.025649948	11.928021	0.51178354	13.719329	8.72295	0.4816538	0.08177232	1.1306657	-0.0952103	1.926422e-08	-0.017131878	-4.577637e-09	0.0039325934	85.56247	-1.7641525	0.6872943	-0.0069995522	0.7469982	0.0	0.024829794	0.008114847	-0.004775616	0.04982905	-0.017390806	0.012097965	1.7492279	0.7469982	2.0	0.0	1.0	0.8628692	0.0028214667	50000	26.296971559524536
5	26.75067	13.41499	89.0	5.0	0.6173502	1.0990596	8.905903	0.0075199674	26.75067	1512.8163	0.025213605	12.787935	0.42967683	14.133781	9.330437	0.4177165	0.062212892	0.8389393	-0.035832264	1.5258789e-09	-0.008183238	8.392334e-09	-0.004765102	114.56761	-6.3455963	1.0081877	-0.049008965	1.5004902	0.0	0.018334458	0.008585349	0.0043868143	0.03274499	-0.014001177	0.013603451	1.4613528	1.5004902	1.0	0.0	0.0	0.84626174	0.004464149	60000	31.85755753517151
6	28.424501	13.364894	98.0	7.0	0.44526124	0.62656957	4.440626	0.006508802	28.424501	1669.1879	0.02384554	14.64125	0.62422645	15.875864	11.469404	0.6025546	0.07026641	0.8950395	0.2830037	-1.6784668e-08	-0.014189443	-7.629395e-09	0.0019240387	112.35781	-4.126938	0.3215765	-0.04813823	1.510002	0.0	0.011621321	0.009429588	-0.0019257597	0.033604953	-0.0119552165	0.0065015284	1.1101493	1.510002	2.0	0.0	0.0	0.8336077	0.0044238344	70000	35.5161075592041
7	33.82373	15.030459	154.0	6.0	0.53571796	0.5551471	4.3578515	0.0054073385	33.82373	1827.2823	0.022841029	15.3191185	1.9240357	17.976587	3.0413668	0.3844708	0.042841703	0.5804828	0.19644725	1.525879e-08	-0.0059401016	2.2888185e-09	-0.0011315324	141.16223	-11.71376	0.18995218	-0.0029687285	2.0108085	0.0	0.006352027	0.00966861	0.0010560032	0.01673365	-0.005910555	0.003365048	0.8105394	2.0108085	1.0	0.0	0.0	0.81285906	0.0042136796	80000	41.06931138038635
8	34.783974	12.592322	79.0	10.0	0.47550875	0.48128554	3.465379	0.014287817	34.783974	1963.772	0.021819688	17.108774	3.5500267	20.17571	-6.2659955	0.41401407	0.019272828	0.47040796	0.30662534	-7.629395e-09	-0.0067481953	0.0	0.00058845367	107.36153	-4.5535126	0.13958682	-0.0035492182	1.4222419	0.0	0.0053140842	0.009835473	-0.0007040958	0.0129702	-0.0048030666	0.0030132055	0.7350495	1.4222419	2.0	0.0	1.0	0.7871265	0.0026255639	90000	46.6799418926239
9	36.298183	11.642173	88.0	15.0	0.47297487	0.43055743	3.3468056	0.009441795	36.298183	2093.8655	0.020938655	17.51595	3.7657802	20.319328	-8.018659	0.35696962	0.010845351	0.38523054	0.24795234	-9.155274e-09	-0.007199845	1.335144e-09	0.0006374853	102.51439	-7.5519943	0.10897848	-0.0013963357	1.9817861	0.0	0.005306691	0.009759005	-0.0007445313	0.016647777	-0.005107484	0.002300167	0.7374102	1.9817861	2.0	0.0	1.0	0.76976436	0.0025877242	100000	52.302794218063354
10	37.02222	12.150272	105.0	15.0	0.4905932	0.33101502	1.6688423	0.0142983515	37.02222	2226.331	0.020239374	17.420237	4.097052	20.423923	-7.783325	0.346706	0.036505315	0.4351069	0.20427915	-1.2969971e-08	-0.006533056	-2.193451e-09	0.00021348124	97.88981	-9.267021	0.06581763	-0.00032384694	2.5351887	0.0	0.0034727687	0.009954659	-0.00025408537	0.013401119	-0.0037598773	0.0014238697	0.5906426	2.5351887	2.0	0.0	0.0	0.7454291	0.0037889709	110000	58.004680156707764
11	39.8247	11.984766	106.0	21.0	0.49723625	0.27832952	1.4050695	0.0537125	39.8247	2351.152	0.019592933	17.982288	4.1574326	21.08135	-6.715929	0.34526196	0.02036192	0.40547445	0.24738073	3.0517577e-09	-0.0030328124	-1.0490417e-09	6.526575e-05	96.05818	-10.197304	0.048228905	-0.0009074919	2.3519685	0.0	0.0012330227	0.009995404	-6.939784e-05	0.007144422	-0.0024887442	0.0010477803	0.35122496	2.3519685	2.0	0.0	1.0	0.73588574	0.0025524383	120000	61.60370111465454
12	42.67094	11.723244	99.0	19.0	0.5197551	0.278424	1.8513385	0.016486708	42.67094	2472.8267	0.019021744	18.78377	5.086164	22.0828	-9.240018	0.34594172	0.013416202	0.39038786	0.274445	2.4414062e-08	-0.004189358	1.5258789e-09	-0.0004826328	91.31387	-9.622536	0.047052883	-0.0004832372	2.1284304	0.0	0.0027572783	0.00976988	0.00046296438	0.005994829	-0.0017365166	0.0009314109	0.531246	2.1284304	1.0	0.0	0.0	0.73021984	0.0033673416	130000	67.20895075798035
13	43.056034	12.882136	106.0	21.0	0.4749846	0.20197156	1.3973017	0.07228433	43.056034	2583.0352	0.01845025	19.893503	4.9671254	23.20039	-5.9763355	0.35753155	0.012005471	0.38204074	0.2588316	1.9836426e-08	-0.0039022064	-5.722046e-10	0.00049799884	91.41705	-10.361946	0.028576767	-0.001318194	1.8938494	0.0	0.001350461	0.009250738	-0.0005809967	0.0039166124	-0.0010752215	0.0004505195	0.3820787	1.8938494	2.0	0.0	1.0	0.7049776	0.0025236541	140000	72.89037013053894
14	47.461906	14.190908	106.0	26.0	0.48365945	0.2024444	1.4170089	0.09180005	47.461906	2684.6409	0.017897606	20.252062	5.593063	24.204792	-4.7765317	0.32294607	0.0122929	0.35778835	0.23931462	6.1035155e-09	-0.0035559135	-7.6293943e-10	0.00030520605	98.03999	-14.774704	0.027140826	-7.946044e-05	1.7102516	0.0	0.0012855473	0.009628399	-0.00034428778	0.0026985526	-0.0006713598	0.00031898255	0.36539868	1.7102516	2.0	0.0	1.0	0.6730807	0.0022525997	150000	78.54093265533447
15	46.15278	11.07089	85.0	28.0	0.5002569	0.17625606	0.9698751	0.13042334	46.15278	2792.9675	0.017456047	21.314384	6.285798	26.132025	-3.2353952	0.31706217	0.008500004	0.33628908	0.23548731	3.242493e-08	-0.004116911	1.1444092e-09	-1.4491653e-05	64.57707	-9.107452	0.0227596	-0.00044140778	2.7073205	0.0	0.0016035035	0.009999884	5.566209e-06	0.0035617147	-0.0007254976	0.00026878956	0.40044	2.7073205	1.0	0.0	0.0	0.6562348	0.003738744	160000	84.15270233154297
16	48.241547	11.5494995	103.0	29.0	0.4772849	0.15301357	0.90516466	0.15011181	48.241547	2891.779	0.017010465	20.932783	7.0915422	26.62759	-1.7897038	0.33785975	0.009650555	0.3594381	0.23100837	1.1444092e-09	-0.00459268	-1.4305115e-10	0.0003896218	60.540264	-9.039219	0.017850092	-0.0004516933	3.8251748	0.0	0.0012748516	0.008806656	-0.0004708616	0.0055369935	-0.0008898658	0.00018578948	0.3804734	3.8251748	2.0	0.0	1.0	0.63387704	0.0022131675	170000	89.75916576385498
17	50.201004	11.634716	86.0	30.0	0.50463796	0.15428804	1.0495573	0.16199219	50.201004	2992.2212	0.01662345	21.769703	7.3069806	28.012926	-0.23413542	0.32012808	0.007530244	0.3374728	0.24235865	-1.2969971e-08	-0.0034512947	9.536743e-11	-0.000114383125	56.716957	-12.057732	0.018898116	-0.00024995208	3.7898862	0.0	0.0013707555	0.009961837	9.238772e-05	0.004329016	-0.00081341754	0.00022366119	0.37094566	3.7898862	1.0	0.0	0.0	0.61233974	0.0035034874	180000	93.48036599159241
18	50.258884	11.301542	89.0	32.0	0.4935155	0.13776748	0.9127295	0.18736698	50.258884	3089.6106	0.016261108	22.19475	7.915172	29.354553	0.9032954	0.33524254	0.0069634295	0.34635168	0.27882323	-4.577637e-09	-0.0045293593	1.192093e-10	0.0001165909	48.88965	-11.017216	0.015564212	-8.0510974e-05	5.07191	0.0	0.00139724	0.009890792	-0.00012902214	0.0058263005	-0.0008216606	0.000152431	0.3758547	5.07191	2.0	0.0	0.0	0.5811003	0.00386325	190000	99.10867285728455
19	52.72487	13.543911	119.0	32.0	0.48405635	0.15890391	1.0753291	0.17726153	52.72487	3181.1511	0.015905757	22.37993	9.276437	30.60733	1.8681018	0.32994527	0.007069432	0.34027812	0.2672775	-8.392334e-09	-0.0044071367	-9.536743e-11	0.00027422237	47.959743	-8.440083	0.018818876	-0.00038069114	4.1687946	0.0	0.00075040804	0.009526761	-0.00030239328	0.004853705	-0.00089042756	0.00019322541	0.28065714	4.1687946	2.0	0.0	0.0	0.55260485	0.0033990995	200000	104.70741081237793
20	54.037838	12.566523	103.0	34.0	0.49477398	0.1456695	1.0443294	0.23217915	54.037838	3272.6863	0.01558422	22.972023	10.243826	32.252377	1.4376857	0.314436	0.010968867	0.34523442	0.25148076	2.2888184e-08	-0.0037812178	-7.6293943e-10	5.3608706e-05	37.145645	-4.958538	0.016126096	-0.00012807362	3.988688	0.0	0.0011611588	0.009926262	-9.671031e-05	0.0034519862	-0.0005390465	0.00012684111	0.34202114	3.988688	2.0	0.0	0.0	0.54460216	0.0036671131	210000	110.44162321090698
21	56.106743	12.423468	111.0	35.0	0.4742629	0.14083418	1.0129068	0.15845786	56.106743	3357.1118	0.015259599	23.638296	10.719212	33.436245	1.4217968	0.32481188	0.009136917	0.34726503	0.26568604	7.629395e-09	-0.007015916	6.198883e-10	0.00044966256	34.456886	-4.273905	0.015222973	-0.00028041005	1.0678614	0.0	0.0028757202	0.007247106	-0.00045871682	0.004672496	-0.00037059272	7.6436336e-05	0.6299281	1.0678614	2.0	0.0	0.0	0.5194689	0.004737366	220000	116.1334547996521
22	57.6763	12.375594	107.0	38.0	0.50365627	0.13568409	0.84732753	0.21913734	57.6763	3444.313	0.014975274	24.032364	11.148534	34.598206	1.1006793	0.30878028	0.008345416	0.32686839	0.245487	2.2888185e-09	-0.0031904348	8.5830687e-10	-0.00016265412	32.525543	-3.5881405	0.015352789	-0.00043845363	5.6735005	0.0	0.001129771	0.00991104	6.33929e-05	0.0023517301	-0.00023494854	4.517403e-05	0.33762577	5.6735005	1.0	0.0	0.0	0.49755841	0.002440026	230000	121.79029536247253
23	57.612717	13.7267	129.0	36.0	0.4987161	0.12921289	0.91271305	0.1539688	57.612717	3530.6084	0.014710869	24.664703	11.425675	35.804585	1.1519555	0.32878307	0.013230021	0.3706814	0.2605485	-1.9836426e-08	-0.006136641	-1.9073486e-10	-4.0934565e-06	33.553463	-3.0775871	0.014494455	-0.00013052393	4.4743953	0.0	0.0033346508	0.0099916225	-2.228525e-05	0.004639894	-0.00027816553	5.928096e-05	0.5777064	4.4743953	2.0	0.0	0.0	0.50129485	0.0034701729	240000	125.48709225654602
24	59.628742	14.703248	139.0	40.0	0.4889107	0.13580029	1.0052036	0.17912997	59.628742	3612.2786	0.014449114	25.175093	11.784198	36.686993	0.9106972	0.32077843	0.007973261	0.3368487	0.22357751	-2.1362304e-08	-0.0071321838	-9.536743e-11	0.00016709758	36.094036	-3.6813812	0.014451106	-0.00011878181	1.6535898	0.0	0.0042498126	0.009637713	-0.00018597231	0.0050791157	-0.00028137086	9.546517e-05	0.6640456	1.6535898	2.0	0.0	0.0	0.47335654	0.0041828416	250000	131.09671902656555
25	60.156628	13.80543	108.0	40.0	0.5118832	0.13385278	0.913912	0.20113853	60.156628	3697.26	0.014220231	25.39185	12.114042	37.844807	0.6796279	0.31230512	0.00982957	0.33863693	0.2544417	-7.6293943e-10	-0.0064701107	5.9604643e-10	-0.0002584038	27.709581	-2.4821167	0.0150860045	-0.00019438472	4.9882526	0.0	0.004645953	0.009482045	0.00019753765	0.0053951577	-0.00023757691	7.5336946e-05	0.6999813	4.9882526	1.0	0.0	0.0	0.4484614	0.0034793303	260000	136.70661091804504
26	62.23125	13.022203	114.0	43.0	0.5054232	0.12976511	0.8983712	0.22191602	62.23125	3778.4744	0.013994349	25.96018	12.37154	38.670105	0.23723012	0.32531124	0.011476918	0.3606552	0.26022592	1.411438e-08	-0.007554246	-8.34465e-11	-0.00010088436	25.639957	-2.1994915	0.013508801	-0.00010319799	4.3036757	0.0	0.0055696247	0.009762003	8.714574e-05	0.0057300455	-7.154702e-05	3.1909654e-05	0.75534177	4.3036757	1.0	0.0	0.0	0.45799977	0.003959395	270000	142.34114980697632
27	64.129036	14.0159855	115.0	44.0	0.48678032	0.11833799	0.90407467	0.22904344	64.129036	3853.9685	0.013764173	26.674772	12.608269	39.570534	0.31420863	0.32145604	0.018386645	0.3862476	0.22323677	-1.525879e-08	-0.008829389	0.0	0.00012065315	27.312634	-2.5766277	0.012020869	-0.00038906094	0.0	0.0	0.0070786336	0.008939324	-0.00020614195	0.00730346	-9.490707e-05	4.0063627e-05	0.8546029	0.0	2.0	0.0	0.0	0.42712408	0.004439279	280000	147.96679210662842
28	64.681816	14.592163	130.0	42.0	0.4973356	0.11471212	0.80687195	0.21754459	64.681816	3930.584	0.013553738	26.955128	12.930154	40.54602	0.6818606	0.3062621	0.008901996	0.32689068	0.23997453	2.4414062e-08	-0.008399273	-3.8146972e-10	3.40641e-05	27.222412	-2.301094	0.011735416	-5.414337e-05	0.15449715	0.0	0.0067153387	0.009934052	-4.1192216e-05	0.0067710024	-3.7844376e-05	2.5729398e-05	0.82218724	0.15449715	2.0	0.0	0.0	0.41763103	0.0042029903	290000	153.56974983215332
29	71.11429	21.524101	196.0	45.0	0.48399973	0.13046141	0.8386863	0.16667402	71.11429	3998.3735	0.0133279115	28.23526	13.096238	41.47766	0.6740338	0.31206533	0.009794008	0.3394996	0.24838993	0.0	-0.008351292	0.0	0.00020997047	54.701042	-7.8477745	0.014748912	-0.00067491364	0.0	0.0	0.0059440453	0.0086550545	-0.00022499375	0.006628765	-0.00016053674	3.763883e-05	0.81417227	0.0	2.0	0.0	0.0	0.39727056	0.0043278076	300000	157.11707639694214
30	72.45652	17.182364	129.0	49.0	0.48897564	0.1252995	0.9317932	0.226361	72.45652	4065.853	0.013115655	29.49235	14.057881	43.745663	0.38903716	0.28654492	0.008530953	0.3076292	0.21758117	3.0517577e-09	-0.008177925	-5.722046e-10	0.00014058551	32.640312	-3.0431366	0.012268195	-0.0001653703	0.47426856	0.0	0.005424057	0.008752156	-0.00015215133	0.0063152486	-0.0001285823	1.8552024e-05	0.7872354	0.47426856	2.0	0.0	0.0	0.38462424	0.004269789	310000	162.8064353466034
31	76.184616	19.216894	157.0	48.0	0.47557768	0.12734948	0.7952329	0.17657119	76.184616	4127.784	0.012899325	30.310112	14.182484	44.648705	0.7355404	0.29419005	0.013326001	0.33602458	0.225912	2.1362304e-08	-0.008755737	2.861023e-10	8.524237e-05	38.285362	-4.268261	0.012527281	-0.00031812862	0.0	0.0	0.007042321	0.008172488	-0.00032056757	0.0071035284	-5.8666585e-05	5.6231394e-05	0.84282434	0.0	2.0	0.0	0.0	0.36751294	0.004490244	320000	168.43043541908264
32	75.80153	16.188026	133.0	52.0	0.48373637	0.11229611	0.7671534	0.24379426	75.80153	4191.257	0.012700778	30.545366	14.695928	46.2227	0.6762385	0.27694237	0.010687312	0.30161512	0.17927563	1.5258789e-09	-0.009402313	-3.8146972e-10	3.6592293e-05	25.230476	-2.1379223	0.01027662	-0.00014613941	0.0	0.0	0.007909635	0.006441017	-0.00021455549	0.007915697	-8.85483e-06	1.2934611e-05	0.889702	0.0	2.0	0.0	0.0	0.371791	0.0042263474	330000	174.05439829826355
33	80.314514	19.423285	138.0	48.0	0.47215036	0.124072574	0.853032	0.22108538	80.314514	4249.8574	0.012499581	31.355175	14.830475	46.944557	0.6013718	0.28733927	0.00981755	0.3078023	0.18282315	-1.525879e-08	-0.009789328	9.536744e-10	8.464699e-05	34.259792	-3.6684551	0.0115221115	-0.00023902301	0.0	0.0	0.008785234	0.0061326744	-0.0003467573	0.008952021	-7.2011295e-05	3.109142e-05	0.9461512	0.0	2.0	0.0	0.0	0.36746693	0.0041595763	340000	179.6582155227661
