Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.3950615	8.786113	56.0	4.0	3.4327066	15.021151	114.57866	0.046126887	15.3950615	2225.558	0.22255582	-0.00313947	0.11254487	0.4075088	-0.4886652	0.0019462637	0.1513949	0.54945564	-0.5147478	-2.5939942e-08	0.01247925	-1.953125e-07	-0.11932527	151.39177	-20.771072	379.00995	-12.096161	0.08544226	0.0	0.039740182	-0.016492313	0.19049658	0.056661416	-0.15224507	1.3697916	0.0	0.08544226	0.0	0.0	0.0	0.9189385	0.0045363237	10000	9.651412725448608
1	14.023843	7.2914286	61.0	4.0	0.9784829	1.7994431	23.593409	0.033142827	14.023843	2923.2437	0.14616218	1.0991904	0.11233931	1.6285772	0.2788939	0.7713241	0.5043916	3.3679197	-2.1874166	-3.0136107e-08	0.009251044	-1.2207031e-08	-0.02001191	99.72872	-40.026165	4.603054	-0.14559937	0.47692806	0.0	0.039339237	-0.016479189	0.034119245	0.04783385	-0.01932497	0.04396369	0.0	0.47692806	0.0	0.0	0.0	0.92039824	0.004257347	20000	18.716182470321655
2	13.470985	6.646524	52.0	4.0	0.64982206	0.54045177	6.671888	0.031741124	13.470985	3405.3208	0.11351069	4.4024096	0.14207308	5.0140967	3.2651393	0.9607607	0.34937918	3.0311468	-0.8278958	-1.9073486e-08	0.007914443	-1.5258789e-09	-0.0048546116	50.439957	-15.025799	0.638985	-0.18911517	1.8634998	0.0	0.030619409	-0.032954924	0.011121834	0.03720529	-0.0043548867	0.0028796506	0.0	1.8634998	0.0	0.0	0.0	0.9154276	0.004135771	30000	28.53809094429016
3	12.790012	5.789031	46.0	4.0	0.5814055	0.51395506	10.236004	0.023877	12.790012	3859.538	0.09648845	7.440688	0.2890504	8.206803	5.770286	0.77422404	0.22867598	1.8549331	-0.84504133	2.632141e-08	0.0037284368	9.155274e-09	-0.0048986664	28.173103	-1.0064354	0.56382304	-0.1137045	1.9520429	0.0	0.036484715	-0.0054364055	0.0063647726	0.03817308	-0.0021049548	0.002624337	0.0	1.9520429	0.0	0.0	0.0	0.89153105	0.0038222526	40000	38.644933223724365
4	12.463171	5.3577585	39.0	5.0	0.5449136	0.29355177	2.0805316	0.0137518635	12.463171	4296.141	0.08592282	7.755249	0.56693953	8.392262	4.0817604	0.60997754	0.16366725	1.6421912	-0.38919798	6.6757204e-09	-0.0066751293	4.4822692e-09	-0.0029159288	24.564693	-1.0197849	0.16852136	-0.055109397	3.486645	0.0	0.028348392	-0.0057877116	0.003603705	0.032177463	0.0017747468	0.0008225821	0.0	3.486645	0.0	0.0	0.0	0.8761155	0.0042773397	50000	48.94994902610779
5	13.155468	5.51267	38.0	5.0	0.5064213	0.30020595	2.7189858	0.015082025	13.155468	4680.6396	0.07801066	7.497692	0.4771557	8.0896635	4.1652994	0.50626945	0.12266459	1.0690649	-0.15267497	-9.536743e-11	-0.015840316	-1.2111664e-08	-0.0012842773	25.222704	-1.6068535	0.12818657	-0.030374363	0.0	0.0	0.019248808	0.009678062	0.00048811093	0.024732638	0.002014533	0.00074005616	1.5726614	0.0	1.0	0.0	0.0	0.8394055	0.0045970473	60000	59.38596487045288
6	14.190341	5.7946014	43.0	4.0	0.4705788	0.28189713	2.1558924	0.0295708	14.190341	5011.9956	0.07159994	7.7597594	0.8187484	8.877446	2.8694532	0.42419118	0.11042361	1.003376	-0.17218588	-2.0408631e-08	-0.016689837	-1.0299683e-08	-0.0017505769	27.04369	-2.1037254	0.096523024	-0.01779268	0.0	0.0	0.018679187	0.0052390452	-0.0020733266	0.02801585	0.0029034647	0.0009029036	1.6737936	0.0	2.0	0.0	0.0	0.82828224	0.0046496973	70000	69.81719088554382
7	15.716981	6.5728927	44.0	5.0	0.41629225	0.2563412	1.7972448	0.035290867	15.716981	5276.802	0.06596002	8.287306	1.2021699	9.9911585	2.7258732	0.36030477	0.10131447	0.7862267	-0.23230153	-1.5258789e-09	-0.016973667	1.2016296e-08	-0.0014252241	32.55408	-2.4483585	0.06847193	-0.014992975	0.0	0.0	0.020205604	-0.03101102	-0.005325943	0.028509097	0.0023964958	0.00069165975	1.6884637	0.0	3.0	0.0	0.0	0.80305195	0.0045877253	80000	80.27857828140259
8	16.83165	6.550653	47.0	5.0	0.3778299	0.24158053	1.5582727	0.016757308	16.83165	5501.249	0.061124988	9.158723	1.6327839	11.22678	1.8378105	0.3041816	0.088356376	0.7402741	-0.16495445	-2.1362304e-08	-0.016862974	-1.8596649e-09	-0.0009307738	32.166576	-1.7144947	0.054718837	-0.00951615	0.0	0.0	0.025471786	-0.06607864	-0.007258355	0.028959922	0.0015541881	0.0006924903	1.7017615	0.0	3.0	0.0	0.0	0.78512394	0.004518412	90000	90.48334574699402
9	18.106884	6.871846	50.0	5.0	0.34464046	0.24699813	1.3878746	0.014233582	18.106884	5691.8457	0.056918457	9.604103	1.9839278	12.10039	2.122885	0.25556985	0.075230844	0.644426	-0.16541278	-9.155274e-09	-0.017093116	1.4305115e-09	-0.0010678896	34.666214	-2.3435516	0.04743133	-0.006457988	0.0	0.0	0.023775203	-0.094993904	-0.008580136	0.02872981	0.0018638747	0.0007011715	1.694987	0.0	3.0	0.0	0.0	0.76286167	0.0047174618	100000	100.59185934066772
