Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	16.352459	10.871018	89.0	5.0	2.627251	12.969136	106.40078	0.025323102	16.352459	641.2207	0.16030517	-0.0011183321	0.1128897	0.45464224	-0.45249322	7.748628e-05	0.14821431	0.49550143	-0.5041919	7.0810316e-08	0.017644601	-4.4345857e-08	-0.06935196	205.56041	-22.758667	282.883	-9.318237	0.14187205	0.0	0.023470022	-0.024061592	0.13008752	0.055446494	-0.12604292	0.49682835	0.0	0.14187205	0.0	0.0	0.0	0.9189385	0.00365776	4000	2.791569948196411
1	13.412752	6.95533	49.0	5.0	0.54798734	1.9577199	25.56202	0.02338228	13.412752	804.7901	0.10059876	1.0557424	0.38816074	2.9647107	-1.1547785	0.92514837	0.37417147	3.044272	-1.6418532	4.8160555e-08	-0.0156071	4.0650367e-08	-0.004571769	92.3468	-35.25172	6.7217765	-0.35062122	1.0149729	0.0	0.035325367	0.0096180085	0.0035777402	0.057330005	-0.027154336	0.033509206	1.9164644	1.0149729	1.0	0.0	0.0	0.9133271	0.0043819607	8000	5.21604585647583
2	15.357693	8.226069	70.0	4.0	0.41567096	0.6212424	6.253295	0.029942147	15.357693	912.89087	0.07607424	4.047022	0.27687234	5.2856236	2.653731	0.9363367	0.1546213	1.5823596	0.39073563	5.209446e-08	-0.018868808	-3.6895276e-08	0.0044540963	81.78403	-28.807838	0.7808115	-0.23559773	0.7137088	0.0	0.02148708	0.0056299022	-0.0054909964	0.056992743	-0.015651444	0.006899398	1.9536119	0.7137088	2.0	0.0	1.0	0.90176046	0.0030242377	12000	7.748775005340576
3	15.992	8.052324	63.0	4.0	0.6136851	2.1203449	22.769974	0.030124841	15.992	1066.3181	0.066644885	7.8973927	0.8209932	10.678762	2.039845	0.6667955	0.12189624	1.1094748	-0.27034405	1.6450882e-08	-0.012269422	4.3809414e-09	-0.006370958	52.43788	-4.350685	6.409896	-0.5370698	1.0072374	0.0	0.03152845	0.008463536	0.0071088714	0.042981096	-0.019408522	0.032891158	1.9300803	1.0072374	1.0	0.0	0.0	0.8843908	0.004428564	16000	10.886129379272461
4	17.995495	9.741477	61.0	5.0	0.57693535	1.4974239	17.39985	0.027941722	17.995495	1194.4038	0.059720192	9.56506	0.22015727	9.940574	7.9981213	0.64905745	0.39520726	2.0512147	-1.3618419	-8.46386e-09	-0.017699186	5.0961972e-09	-0.004227012	66.57029	-3.542076	3.2709928	-0.5795729	0.60888433	0.0	0.03902923	0.009545035	0.0042752563	0.04525603	-0.015816327	0.040174115	2.022117	0.60888433	1.0	0.0	0.0	0.85213804	0.0045235585	20000	13.45283818244934
5	21.0582	10.938587	79.0	6.0	0.46556243	0.87793636	8.349514	0.014745593	21.0582	1282.6885	0.053445354	10.9865055	0.8688745	12.270048	6.677945	0.6699852	0.052432515	0.8467259	0.3381194	1.3351441e-08	-0.012720505	4.4703483e-10	0.0013286722	83.08853	-3.904747	0.761281	-0.061255813	0.93855107	0.0	0.018905973	0.009669178	-0.0016353518	0.030966345	-0.00987404	0.008084051	1.3983141	0.93855107	2.0	0.0	1.0	0.82708865	0.0028347862	24000	15.98641300201416
6	21.737705	8.3977	55.0	7.0	0.4216209	0.57510966	3.7399116	0.0155607965	21.737705	1360.395	0.048585538	12.4475	0.5586522	13.786228	9.135742	0.53048205	0.023949256	0.6048652	0.43676874	-1.3113022e-08	-0.014368634	-9.536743e-09	0.0029608794	55.563972	-2.2194328	0.30258656	-0.03371188	0.64690465	0.0	0.017066676	0.0073051057	-0.0036056747	0.032512046	-0.008632068	0.0048242677	1.5284851	0.64690465	2.0	0.0	1.0	0.811237	0.0028786985	28000	18.51031994819641
7	23.470589	9.71244	55.0	7.0	0.48668617	0.6326722	3.7435343	0.0137983095	23.470589	1443.2183	0.04510057	11.936026	0.7590777	12.716055	6.3065276	0.42298687	0.0178849	0.4654417	0.34201404	-5.4836273e-09	-0.010610741	6.3180923e-09	0.00050557527	66.703354	-4.79961	0.33407524	-0.0055155456	1.4240981	0.0	0.014400159	0.009939588	-0.0005672559	0.02723462	-0.008268092	0.00532639	1.2036479	1.4240981	2.0	0.0	1.0	0.7972548	0.002658189	32000	21.088714122772217
8	25.696774	10.157072	66.0	5.0	0.54965544	0.88988996	8.593565	0.015385926	25.696774	1528.5259	0.042459052	12.870853	1.3263813	15.718341	6.336285	0.41793725	0.048302498	0.5713332	0.19290027	-6.6757204e-09	-0.014448562	-8.642673e-10	-0.0019081773	72.23934	-6.5134354	0.7070927	-0.0092176795	0.83244073	0.0	0.024187226	0.009715533	0.0019323608	0.028915338	-0.007878007	0.013126378	1.5778282	0.83244073	1.0	0.0	0.0	0.78479016	0.004154106	36000	23.647806882858276
9	30.515385	12.385621	84.0	7.0	0.53766584	0.5368545	2.709674	0.037011255	30.515385	1598.7336	0.03996834	13.744234	2.000253	16.765589	3.445015	0.45132533	0.0120776445	0.49473852	0.3832062	-1.9311905e-08	-0.0068864706	-2.2053719e-09	-0.0012997666	98.817406	-16.071747	0.1795856	-0.0032493472	2.186445	0.0	0.008312853	0.009500904	0.0012343231	0.018294005	-0.0055198483	0.0030526263	0.9353897	2.186445	1.0	0.0	0.0	0.75105095	0.0046141865	40000	26.512216806411743
10	33.241665	13.940945	91.0	12.0	0.5858124	0.52950794	2.6594326	0.028537037	33.241665	1669.0967	0.037934016	15.681371	3.0265026	19.232893	0.07787571	0.41507635	0.013504581	0.46282744	0.3396628	-2.3841858e-08	-0.005236469	-4.1723253e-10	-0.0025461826	105.6804	-17.889145	0.1586524	-0.00204359	2.1159086	0.0	0.009056214	0.007993127	0.0025814709	0.014568436	-0.0042782943	0.003320585	1.0644248	2.1159086	1.0	0.0	0.0	0.7329091	0.004335469	44000	26.944870948791504
11	32.146343	8.373092	64.0	18.0	0.49848813	0.3795127	2.27223	0.021649703	32.146343	1731.2085	0.036066845	16.791668	4.3403563	20.96533	-0.04924175	0.41553494	0.04604823	0.5424392	0.27283803	-8.3446505e-10	-0.007306833	2.026558e-09	4.1119507e-05	50.04545	-11.40834	0.09629973	-0.0050454885	1.5946409	0.0	0.0051973253	0.00999898	-4.703091e-05	0.010821368	-0.003492583	0.0021689269	0.7209615	1.5946409	2.0	0.0	0.0	0.7174661	0.004456167	48000	29.70255470275879
