Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.425926	10.070312	82.0	5.0	2.4979331	12.894479	102.918945	0.036148135	15.425926	809.3347	0.16186695	0.0011702839	0.11412707	0.43635264	-0.41405174	0.0014052695	0.15203011	0.5183726	-0.5004153	-1.2435913e-07	-0.004894235	1.525879e-08	-0.11856928	180.23265	-22.10411	297.1036	-9.468964	0.29094535	0.0	0.04280848	0.0023448314	0.12951787	0.04604021	-0.08415307	2.191314	4.272766	0.29094535	1.0	0.0	0.0	0.9189385	0.004157904	5000	3.5775907039642334
1	15.710691	9.178075	62.0	4.0	0.7209775	1.7846783	15.561766	0.017825428	15.710691	1038.6167	0.10386167	1.08212	0.17994647	1.8671136	0.16936201	0.74288905	0.5927154	3.0968165	-2.4795828	-3.1280518e-08	0.002096485	-3.0517577e-09	-0.013454846	140.51869	-51.264053	4.725855	-0.39392042	2.2492409	0.0	0.034828246	0.0040077907	0.014065421	0.06740705	-0.03279645	0.03301555	2.9479036	2.2492409	1.0	0.0	0.0	0.90524364	0.0043308577	10000	6.787029504776001
2	15.98718	7.772805	41.0	5.0	0.43895945	0.7143399	7.8501487	0.009088224	15.98718	1175.6313	0.07837542	4.5539045	0.205085	5.5457606	2.7260976	0.9479099	0.2822528	2.355239	-0.6653527	6.5612795e-08	-0.020559184	2.1314621e-08	0.0037995928	69.93016	-23.721706	0.8086012	-0.22260314	0.7700047	0.0	0.0258859	0.008451389	-0.0038180938	0.046501044	-0.013930565	0.009413498	1.7501191	0.7700047	2.0	0.0	0.0	0.88140535	0.0045801383	15000	9.963176250457764
3	17.508772	9.079615	51.0	5.0	0.48394412	0.9298741	10.486902	0.04709909	17.508772	1313.5857	0.06567928	8.106063	0.30195713	9.32395	6.670073	0.67236036	0.21650118	1.9291116	-0.39454246	8.106232e-09	-0.014581323	-1.9550324e-09	0.0008187072	63.07573	-7.1562805	1.0358907	-0.11579734	1.1749713	0.0	0.028780306	0.009919896	-0.0009170193	0.04717617	-0.013896656	0.010497851	1.7033117	1.1749713	2.0	0.0	1.0	0.8606779	0.0029235533	20000	13.079009294509888
4	18.123636	9.021147	64.0	6.0	0.3576997	0.4808594	5.6445084	0.022479912	18.123636	1412.0846	0.056483384	10.216756	0.40338907	11.571789	7.904585	0.5512663	0.10045157	1.0449697	-0.06277523	3.2424927e-09	-0.021438126	-1.01089475e-08	0.004163382	58.176926	-1.3777199	0.28696546	-0.05845262	0.0	0.0	0.025046073	-0.006601073	-0.007851643	0.043694433	-0.008321714	0.0037135126	2.0903213	0.0	3.0	0.0	0.0	0.84026325	0.0045863753	25000	16.45128583908081
5	21.327587	9.342409	51.0	6.0	0.50181943	0.82707256	6.157567	0.026318772	21.327587	1532.6501	0.051088337	10.756812	0.7838955	12.637632	5.276952	0.41874146	0.07332426	0.7219189	0.08557353	-2.2888184e-08	-0.013285078	-1.3828277e-09	-3.4551715e-05	67.078156	-3.3391113	0.61254686	-0.0024713874	1.4077736	0.0	0.016857667	0.009998985	8.530884e-05	0.030753208	-0.009980118	0.0071679647	1.2984368	1.4077736	1.0	0.0	0.0	0.8272474	0.004477196	30000	19.815823554992676
6	24.661692	10.180216	62.0	7.0	0.5791784	0.87606615	6.298495	0.01665233	24.661692	1651.9716	0.047199186	12.231059	1.0727803	14.569772	4.558351	0.434585	0.076927714	0.75734514	0.0059287716	-1.1444092e-08	-0.008553841	3.4809113e-09	-0.0029131093	78.86261	-3.1965256	0.62729573	-0.010794878	1.5485646	0.0	0.016051114	0.009002465	0.0032105823	0.02933208	-0.011714792	0.01033331	1.3352785	1.5485646	1.0	0.0	0.0	0.79779196	0.0041275294	35000	23.02023673057556
7	26.542553	10.90741	69.0	8.0	0.40984696	0.47153836	3.245334	0.021351095	26.542553	1729.0619	0.043226548	13.468194	0.6242326	14.741143	8.482729	0.4679089	0.027386924	0.5881471	0.33526945	-2.7656554e-08	-0.013647308	-4.7445297e-09	0.0028450433	84.81535	-4.4835663	0.1915777	-0.023648769	0.5441921	0.0	0.014308226	0.0065823505	-0.0033965474	0.028187266	-0.0068446877	0.0033755759	1.4743562	0.5441921	2.0	0.0	1.0	0.7791835	0.0028563964	40000	26.032984018325806
8	29.690475	10.2614355	71.0	8.0	0.6418892	0.749911	6.5370817	0.017040826	29.690475	1836.9766	0.0408217	14.298248	1.9297096	17.546247	2.5736506	0.36629555	0.041342482	0.5211969	0.15314917	1.2588501e-08	-0.007325266	2.193451e-09	-0.004857716	84.87815	-6.30114	0.3989261	-0.015480936	1.3434322	0.0	0.013436931	0.007214362	0.004778947	0.015898354	-0.0044922405	0.008198601	1.3647436	1.3434322	1.0	0.0	0.0	0.7686998	0.0043010945	45000	27.24154496192932
9	31.0625	10.255296	67.0	11.0	0.52969635	0.45301083	2.2694116	0.015236141	31.0625	1921.8608	0.038437217	15.132872	1.9703023	17.893486	1.3547723	0.4296982	0.020571198	0.4897079	0.2956175	-2.322197e-08	-0.0041919174	-1.5735626e-09	-0.0010038293	82.48145	-10.39901	0.12832505	-0.0025173724	1.7782677	0.0	0.0038179643	0.009706469	0.00095601915	0.01164737	-0.0049374723	0.0031137273	0.62717	1.7782677	1.0	0.0	0.0	0.758808	0.0041083246	50000	30.389171361923218
