Episode,Return,Cost,Length,Violation
1,48.0,0.5228303110417273,48,0
2,59.0,0.4977881904701206,59,0
3,84.0,0.30638323289172614,84,0
4,39.0,0.7651283446923121,39,0
5,66.0,0.3537800478467317,66,0
6,52.0,0.651355378317292,52,0
7,48.0,0.7727259671165523,48,0
8,66.0,0.49785644773837123,66,0
9,68.0,0.4148720098063133,68,0
10,68.0,0.34751025468693936,68,0
11,58.0,0.44159779267091953,58,0
12,55.0,0.5203040746614261,55,0
13,96.0,0.2561632858901987,96,0
14,72.0,0.3632063485211564,72,0
15,48.0,0.6606175224230932,48,0
16,58.0,0.4566773047357776,58,0
17,73.0,0.4252964946591865,73,0
18,58.0,0.5308774579933576,58,0
19,49.0,0.5468941758991045,49,0
20,75.0,0.34834151672578406,75,0
21,52.0,0.6497869121291615,52,0
22,56.0,0.586181735948505,56,0
23,70.0,0.44926966250678835,70,0
24,56.0,0.5656113349013032,56,0
25,59.0,0.5548225000191157,59,0
26,102.0,0.278083498682154,102,0
27,53.0,0.527190094123335,53,0
28,73.0,0.42955956391814076,73,0
29,65.0,0.5573945106554926,65,0
30,46.0,0.7015731747165717,46,0
31,82.0,0.3611785621005653,82,0
32,60.0,0.43134947012584696,60,0
33,70.0,0.34639256182479555,70,0
34,61.0,0.458702331209655,61,0
35,54.0,0.5913575825752604,54,0
36,56.0,0.4093239614724299,56,0
37,48.0,0.6039249022085758,48,0
38,69.0,0.38801098837130715,69,0
39,59.0,0.47237460973673356,59,0
40,47.0,0.6271458591686123,47,0
41,49.0,0.568886500547409,49,0
42,51.0,0.6205535243305317,51,0
43,63.0,0.4285679916049225,63,0
44,46.0,0.6018860226826264,46,0
45,42.0,0.7577901232088288,42,0
46,66.0,0.47046714322067623,66,0
47,81.0,0.3562653716462646,81,0
48,62.0,0.5826185779107738,62,0
49,61.0,0.5343025748662914,61,0
50,53.0,0.6555534748139887,53,0
51,55.0,0.4957843058235203,55,0
52,53.0,0.6350477541071933,53,0
53,93.0,0.2971540389422074,93,0
54,63.0,0.5137013081014236,63,0
55,47.0,0.743823966897972,47,0
56,76.0,0.3847493234035844,76,0
57,47.0,0.6248577429085241,47,0
58,87.0,0.3058538755521249,87,0
59,49.0,0.6647888515169784,49,0
60,83.0,0.4236445438668902,83,0
