Episode,Return,Cost,Length,Violation
1,1000.0,51.77940801621739,1000,1
2,1000.0,27.680984906646945,1000,1
3,1000.0,52.01631384909969,1000,1
4,1000.0,30.492693365373523,1000,1
5,1000.0,54.203971560869,1000,1
6,1000.0,81.25411220493115,1000,0
7,1000.0,42.30295804912281,1000,0
8,1000.0,25.694263248697858,1000,0
9,1000.0,61.70640429155775,1000,0
10,1000.0,25.222623912984155,1000,0
11,1000.0,115.81338120788845,1000,0
12,1000.0,56.26755109280852,1000,0
13,1000.0,34.53738988602353,1000,0
14,1000.0,45.19770558928665,1000,0
15,1000.0,87.8025900448506,1000,0
16,1000.0,40.37853394460519,1000,0
17,1000.0,31.556770071365865,1000,0
18,1000.0,126.06550588226283,1000,0
19,1000.0,60.38064032077632,1000,0
20,665.0,45.003846557867774,665,0
21,1000.0,53.66874136673353,1000,0
22,1000.0,31.337466434105124,1000,0
23,1000.0,28.758576859643515,1000,0
24,1000.0,16.146247932969914,1000,0
25,1000.0,19.40413727238526,1000,0
26,1000.0,36.47733386415006,1000,0
27,1000.0,29.303003671473185,1000,0
28,1000.0,46.351155693553714,1000,0
29,1000.0,22.509179899963332,1000,0
30,1000.0,44.398166028087225,1000,0
31,621.0,60.10694712367887,621,0
32,1000.0,74.6450529134154,1000,0
33,1000.0,64.14280557055717,1000,0
34,1000.0,52.60731260149652,1000,0
35,1000.0,66.8170894782704,1000,0
36,1000.0,49.121181935670094,1000,0
37,1000.0,40.288238945784094,1000,0
38,1000.0,67.67612381024878,1000,0
39,1000.0,53.09961511889839,1000,0
40,1000.0,44.22366562106336,1000,0
41,1000.0,59.57793040864192,1000,0
42,1000.0,99.43399985428533,1000,0
43,1000.0,49.308509881992435,1000,0
44,1000.0,111.0194649078419,1000,0
45,740.0,55.41229310971886,740,0
46,1000.0,48.457809643566925,1000,0
47,1000.0,62.657388648459516,1000,0
48,1000.0,51.11685061470776,1000,0
49,1000.0,25.277345240185525,1000,0
50,1000.0,30.345067225560225,1000,0
51,1000.0,29.45036846290622,1000,0
52,1000.0,38.07876198521556,1000,0
53,1000.0,45.234098740947985,1000,0
54,1000.0,55.21491354964969,1000,0
55,1000.0,28.508734747269195,1000,0
56,260.0,62.20116298564588,260,0
57,1000.0,32.70636443939073,1000,0
58,1000.0,55.94546676959655,1000,0
59,1000.0,39.16772021729386,1000,0
60,447.0,40.776299231661035,447,0
