Episode,Return,Cost,Length,Violation
1,175.0,0.2382099385812897,175,0
2,109.0,0.42610132936246503,109,0
3,89.0,0.5155270326349154,89,0
4,78.0,0.47867404907555944,78,0
5,199.0,0.2367372801516163,199,0
6,100.0,0.44599112044206174,100,0
7,99.0,0.4958809882515043,99,0
8,83.0,0.5403393794694991,83,0
9,78.0,0.5961627370120234,78,0
10,119.0,0.38625389629955753,119,0
11,159.0,0.2945905275562697,159,0
12,101.0,0.4390773499802672,101,0
13,72.0,0.6108892681580911,72,0
14,68.0,0.7460339696721113,68,0
15,111.0,0.4402634737890039,111,0
16,133.0,0.3333943096764731,133,0
17,100.0,0.4578210627485383,100,0
18,149.0,0.31269043070122704,149,0
19,146.0,0.2850964477314395,146,0
20,101.0,0.3904090315686268,101,0
21,150.0,0.3211923022324531,150,0
22,144.0,0.24762014657396011,144,0
23,85.0,0.5560209982204912,85,0
24,107.0,0.4419311203348993,107,0
25,70.0,0.7250342217442781,70,0
26,172.0,0.2928852225941379,172,0
27,86.0,0.5326083633586443,86,0
28,170.0,0.2731033241629167,170,0
29,71.0,0.6905913729756344,71,0
30,79.0,0.6328285896722888,79,0
31,75.0,0.6527734597839887,75,0
32,94.0,0.5367189826960131,94,0
33,130.0,0.2921935283523753,130,0
34,92.0,0.5465425570189439,92,0
35,79.0,0.61923877360259,79,0
36,80.0,0.5183722514110674,80,0
37,201.0,0.21735288724529872,201,0
38,79.0,0.6079426557596284,79,0
39,94.0,0.4779457276754988,94,0
40,86.0,0.5160538715193905,86,0
41,234.0,0.17830355759279387,234,0
42,102.0,0.472240007572311,102,0
43,134.0,0.2808841468430064,134,0
44,66.0,0.7784180963329406,66,0
45,153.0,0.30869955776736685,153,0
46,94.0,0.43879586676772925,94,0
47,165.0,0.290513127500072,165,0
48,106.0,0.49344634229406276,106,0
49,144.0,0.33034494726199065,144,0
50,177.0,0.20372452866117957,177,0
51,83.0,0.5266820508207433,83,0
52,77.0,0.6185621520552066,77,0
53,169.0,0.23324108473248087,169,0
54,80.0,0.5796442492914683,80,0
55,97.0,0.4461381226064274,97,0
56,90.0,0.48795470201722635,90,0
57,89.0,0.534323994591142,89,0
58,104.0,0.4298694084223914,104,0
59,82.0,0.5342253698506217,82,0
60,80.0,0.5778167348503974,80,0
