Episode,Return,Cost,Length,Violation
1,1000.0,7.1935965290556885,1000,0
2,1000.0,10.372604709558814,1000,0
3,1000.0,7.198177374785665,1000,0
4,1000.0,18.065042372701107,1000,0
5,1000.0,9.071437666161993,1000,0
6,1000.0,8.925246096398652,1000,0
7,1000.0,9.03367941398795,1000,0
8,1000.0,12.614731372438076,1000,0
9,1000.0,6.190293825140346,1000,0
10,1000.0,12.880946955776375,1000,0
11,476.0,3.4204999823030606,476,0
12,1000.0,5.119585710803857,1000,0
13,1000.0,6.112864629076103,1000,0
14,1000.0,9.707207738996956,1000,0
15,1000.0,23.415656477811183,1000,0
16,1000.0,15.716370017227417,1000,0
17,1000.0,3.4797981461397276,1000,0
18,1000.0,11.378923784613402,1000,0
19,647.0,5.750024731271007,647,0
20,1000.0,7.533341359610346,1000,0
21,1000.0,24.345667107576745,1000,0
22,1000.0,6.786636790179447,1000,0
23,1000.0,12.456508203736592,1000,0
24,1000.0,16.279620124148437,1000,0
25,1000.0,13.614496618618281,1000,0
26,1000.0,11.12755278210773,1000,0
27,1000.0,12.082075574951963,1000,0
28,1000.0,11.661647194342624,1000,0
29,1000.0,9.594729575505179,1000,0
30,1000.0,7.452189642380216,1000,0
31,932.0,4.687014400118479,932,0
32,1000.0,8.913112511252981,1000,0
33,1000.0,5.903978564644576,1000,0
34,1000.0,4.9130197186334135,1000,0
35,1000.0,10.816508483643393,1000,0
36,1000.0,16.50419105634347,1000,0
37,1000.0,14.109336828543993,1000,0
38,1000.0,3.9918862925242298,1000,0
39,1000.0,8.26959223763713,1000,0
40,1000.0,6.050793378604767,1000,0
41,1000.0,13.85273224522289,1000,0
42,1000.0,7.246543239381092,1000,0
43,259.0,11.267792315595456,259,0
44,1000.0,5.988065957265811,1000,0
45,1000.0,8.039053322775572,1000,0
46,1000.0,8.681362247926662,1000,0
47,1000.0,12.170929097653232,1000,0
48,1000.0,8.378025741466512,1000,0
49,1000.0,5.140034441109448,1000,0
50,1000.0,7.717719725559568,1000,0
51,1000.0,9.531198564401983,1000,0
52,1000.0,7.237413057679332,1000,0
53,1000.0,10.230595214308599,1000,0
54,1000.0,9.253833594366009,1000,0
55,1000.0,6.675601236345571,1000,0
56,1000.0,5.6211790435667925,1000,0
57,1000.0,13.189286575911321,1000,0
58,1000.0,10.865347879738817,1000,0
59,1000.0,5.849997164365717,1000,0
60,1000.0,8.527300425395609,1000,0
