Episode,Return,Cost,Length,Violation
1,1000.0,52.715307056615686,1000,1
2,1000.0,21.33408152109728,1000,1
3,1000.0,53.82438035628614,1000,1
4,675.0,25.268772154832675,675,1
5,1000.0,27.07633363462556,1000,1
6,1000.0,32.68161915324103,1000,0
7,1000.0,72.94241026503157,1000,0
8,1000.0,15.045340387432454,1000,0
9,1000.0,38.34233334997944,1000,0
10,1000.0,62.071675887843924,1000,0
11,1000.0,76.14092954149274,1000,0
12,1000.0,40.12749581845678,1000,0
13,1000.0,41.105785795938935,1000,0
14,1000.0,31.178031717886885,1000,0
15,1000.0,58.38526122796035,1000,0
16,1000.0,60.525046816146705,1000,0
17,1000.0,59.77219324624091,1000,0
18,1000.0,48.93755393828237,1000,0
19,1000.0,50.4909999066138,1000,0
20,1000.0,40.184914203168404,1000,0
21,1000.0,34.874834994954114,1000,0
22,1000.0,31.41188166575843,1000,0
23,1000.0,51.635725907186924,1000,0
24,1000.0,24.504797454804642,1000,0
25,1000.0,27.255335404179046,1000,0
26,1000.0,109.81889821360352,1000,0
27,1000.0,36.45901280065279,1000,0
28,1000.0,35.59158555944005,1000,0
29,1000.0,22.494902291390087,1000,0
30,1000.0,53.153908459622244,1000,0
31,268.0,34.782507700694914,268,0
32,354.0,65.36634050983764,354,0
33,1000.0,53.93339696927791,1000,0
34,1000.0,56.18678825647682,1000,0
35,1000.0,35.66919143022155,1000,0
36,1000.0,52.24106816133783,1000,0
37,1000.0,34.552735890419164,1000,0
38,1000.0,43.78720855968574,1000,0
39,1000.0,32.552256169283424,1000,0
40,1000.0,35.41868667528317,1000,0
41,1000.0,36.60868603675231,1000,0
42,1000.0,57.418393586516935,1000,0
43,63.0,74.37933169556774,63,0
44,1000.0,50.17627737304547,1000,0
45,1000.0,31.38532504910195,1000,0
46,1000.0,98.93518066907137,1000,0
47,1000.0,57.75215783409752,1000,0
48,1000.0,41.72658443788573,1000,0
49,1000.0,62.37579897539046,1000,0
50,1000.0,27.586087078760986,1000,0
51,1000.0,38.19560546798037,1000,0
52,1000.0,36.425452680626535,1000,0
53,1000.0,27.301722028410023,1000,0
54,1000.0,23.498542914866555,1000,0
55,1000.0,51.92169676760854,1000,0
56,1000.0,62.58415093335234,1000,0
57,932.0,49.558650767375,932,0
58,1000.0,30.589300646591138,1000,0
59,1000.0,61.475093686304724,1000,0
60,1000.0,33.23142081224146,1000,0
