Episode,Return,Cost,Length,Violation
1,41.0,0.8454658072481007,41,0
2,59.0,0.551987536364367,59,0
3,98.0,0.31160911542039654,98,0
4,75.0,0.38932722031130035,75,0
5,53.0,0.5700534933704053,53,0
6,50.0,0.6736107060608999,50,0
7,64.0,0.49866479117670576,64,0
8,87.0,0.3350899502372894,87,0
9,61.0,0.44483503254229256,61,0
10,55.0,0.5988280023033129,55,0
11,53.0,0.5639860456372667,53,0
12,55.0,0.6568830324645852,55,0
13,131.0,0.29043627831480645,131,0
14,68.0,0.4384628646118527,68,0
15,43.0,0.740887558784904,43,0
16,50.0,0.5074481876638951,50,0
17,59.0,0.5152344751309823,59,0
18,55.0,0.5819010177603935,55,0
19,77.0,0.39884030712730834,77,0
20,103.0,0.30933903972659194,103,0
21,70.0,0.365959383073232,70,0
22,77.0,0.4713214436132369,77,0
23,47.0,0.7932909456562829,47,0
24,47.0,0.5867126890578186,47,0
25,45.0,0.671393000341039,45,0
26,67.0,0.43430784697504377,67,0
27,74.0,0.43896975779542813,74,0
28,77.0,0.38353399684185946,77,0
29,96.0,0.2920384567002211,96,0
30,68.0,0.40256282678333777,68,0
31,44.0,0.6162914109883444,44,0
32,111.0,0.22919877311125872,111,0
33,109.0,0.2809010593918759,109,0
34,50.0,0.6070758244405733,50,0
35,46.0,0.6576032984319228,46,0
36,66.0,0.4989364096735656,66,0
37,53.0,0.6430635539723586,53,0
38,72.0,0.5370936020049086,72,0
39,44.0,0.7598709766651475,44,0
40,59.0,0.447054446581401,59,0
41,52.0,0.6659293586564047,52,0
42,72.0,0.4976532007859985,72,0
43,71.0,0.4881481164905219,71,0
44,55.0,0.715999182809254,55,0
45,43.0,0.6236740954685961,43,0
46,56.0,0.5110963907076016,56,0
47,86.0,0.3211441404147098,86,0
48,67.0,0.4146288237801062,67,0
49,54.0,0.5717572550991804,54,0
50,66.0,0.5105212768590854,66,0
51,74.0,0.3667329775478578,74,0
52,99.0,0.32289942622758555,99,0
53,55.0,0.5482158921912107,55,0
54,57.0,0.5376079367765778,57,0
55,61.0,0.5463200501807228,61,0
56,47.0,0.5410844835275318,47,0
57,71.0,0.47214921285866157,71,0
58,47.0,0.6298037834853253,47,0
59,59.0,0.5497308913941228,59,0
60,69.0,0.4316283605591272,69,0
