Episode,Return,Cost,Length,Violation
1,1000.0,30.07715647143067,1000,1
2,1000.0,9.445836036303213,1000,1
3,1000.0,25.255734850658076,1000,1
4,1000.0,15.268494538031446,1000,1
5,1000.0,37.24100337502468,1000,0
6,1000.0,77.79460005760482,1000,0
7,1000.0,29.71232549647224,1000,0
8,1000.0,11.847119222853665,1000,0
9,1000.0,47.45672207023788,1000,0
10,1000.0,22.322790984847504,1000,0
11,1000.0,44.08735182136428,1000,0
12,1000.0,28.607769237518472,1000,0
13,1000.0,43.207211627358845,1000,0
14,1000.0,46.9790165842347,1000,0
15,1000.0,33.82130755366396,1000,0
16,1000.0,32.40090089193734,1000,0
17,1000.0,10.200479964532894,1000,0
18,1000.0,164.17477822483534,1000,0
19,1000.0,23.284232096935764,1000,0
20,666.0,48.18977212735371,666,0
21,1000.0,56.37388658066314,1000,0
22,1000.0,42.64587245783536,1000,0
23,1000.0,35.29137483495196,1000,0
24,1000.0,14.88556233414889,1000,0
25,1000.0,14.634085473262436,1000,0
26,1000.0,53.54966197185705,1000,0
27,1000.0,66.32119112787612,1000,0
28,1000.0,31.47941489769411,1000,0
29,1000.0,8.964649840197465,1000,0
30,1000.0,36.13716525079266,1000,0
31,621.0,52.16078421655672,621,0
32,1000.0,27.846450923018732,1000,0
33,1000.0,36.972822068751825,1000,0
34,1000.0,30.44823168795434,1000,0
35,1000.0,49.9654771716119,1000,0
36,1000.0,26.779566398749957,1000,0
37,597.0,64.5367850537159,597,0
38,1000.0,21.23938304689054,1000,0
39,1000.0,77.29877028569179,1000,0
40,858.0,56.58425408715127,858,0
41,1000.0,27.033362297350006,1000,0
42,1000.0,160.87578033915082,1000,0
43,1000.0,49.42312791717989,1000,0
44,1000.0,35.97462130293443,1000,0
45,1000.0,21.968884649834532,1000,0
46,1000.0,43.9095924328406,1000,0
47,1000.0,29.49881740615305,1000,0
48,1000.0,51.48415165065265,1000,0
49,1000.0,17.098626754505815,1000,0
50,1000.0,42.28890808277874,1000,0
51,1000.0,28.153103640856667,1000,0
52,1000.0,46.895709976107554,1000,0
53,1000.0,44.20731205843265,1000,0
54,1000.0,19.206701008800692,1000,0
55,1000.0,98.55681956586493,1000,0
56,1000.0,84.45833659119444,1000,0
57,1000.0,53.13572438368802,1000,0
58,1000.0,15.887446529441267,1000,0
59,1000.0,41.71696454856308,1000,0
60,1000.0,13.325169021870787,1000,0
