Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.21374	9.011026	50.0	5.0	1.6111603	9.4944315	115.672264	0.024953354	15.21374	422.2337	0.105558425	2.8158069e-05	0.1108649	0.4473361	-0.33744428	0.0035255335	0.15017585	0.5026732	-0.5268826	-1.4781952e-08	-0.016927887	6.556511e-08	0.04041259	154.48784	-20.660141	158.98903	-9.356567	0	0	5.0	0.9189385	0.017151779	4000	2.5283937454223633
1	18.595348	10.4818325	54.0	6.0	3.2274084	14.650214	131.59924	0.03003713	18.595348	1116.1266	0.13951582	1.1021383	0.5553529	3.268753	-1.3648257	0.71258956	0.8318108	4.0434785	-2.9355977	-4.553795e-08	-0.016180564	-1.7738343e-07	0.09778307	180.46487	-65.95743	318.86826	-16.686218	0	0	7.0	0.9172135	0.015751967	8000	4.7000298500061035
2	26.071896	15.838691	87.0	6.0	8.555013	24.170317	120.24999	0.03804161	26.071896	2425.0737	0.20208947	4.8935266	0.33394644	6.4988556	3.6477635	2.4099507	0.5802089	4.475616	0.13435471	-1.0609627e-08	-0.015019434	0.0	0.16667224	254.81061	-95.343735	655.87964	-74.500305	0	0	8.0	0.91494983	0.014075701	12000	6.949644088745117
3	35.38938	19.35483	133.0	9.0	21.565002	36.918266	117.42401	0.023623299	35.38938	4861.919	0.30386993	10.669612	0.8103804	13.2468195	4.947952	8.276483	1.3288075	11.624162	1.8933381	3.3974647e-08	-0.01367975	1.8787384e-07	0.24044268	265.5004	-61.684174	1139.7194	-151.36572	0	0	12.0	0.91248536	0.01331299	16000	8.928136348724365
4	45.363636	21.279087	112.0	11.0	36.28432	39.758064	128.78612	0.051698536	45.363636	8054.9585	0.40274793	15.1249275	1.1956722	17.467758	8.349422	15.324717	0.767561	16.934809	11.986495	4.053116e-09	-0.01409906	2.7275087e-07	0.15571469	270.0504	-46.772324	1115.4929	-129.74316	0	0	79.0	0.9090711	0.005195736	20000	11.74503231048584
5	61.338463	30.628933	207.0	12.0	45.83246	38.06024	110.43872	0.065896064	61.338463	11034.218	0.4597591	18.063532	2.4061637	20.308994	-0.002877377	20.297411	0.23380357	20.774393	18.782185	-1.0490417e-08	-0.013228196	2.7656554e-08	0.08578667	436.19775	-70.79303	862.5215	-48.983154	0	0	79.0	0.90342534	0.0053675836	24000	14.506075382232666
6	90.52273	42.65266	228.0	13.0	59.85978	30.391733	118.60029	0.21549332	90.52273	13668.31	0.4881539	20.697304	3.5853765	23.313662	-4.980058	22.873371	0.18911044	23.22504	21.705364	-1.07288365e-08	-0.009631419	2.8383732e-07	-0.011343853	716.7246	-121.68524	587.53595	-35.663086	0	0	79.0	0.9012793	0.005006738	28000	17.372121572494507
7	113.37143	67.123375	304.0	28.0	58.227505	46.849274	204.82455	0.11644088	113.37143	15707.314	0.49085358	25.561945	2.3423514	26.54331	-1.3699824	24.970509	0.12517163	25.211252	24.126375	0.0	-0.013394019	-4.1007997e-08	0.066410035	1023.6364	-119.582275	669.8595	-4.494812	0	0	79.0	0.9005065	0.006944898	32000	20.02428436279297
8	220.11111	156.82399	682.0	49.0	55.79383	31.32194	146.32594	6.515681	220.11111	16715.148	0.4643097	29.03797	1.8607838	29.538214	-3.8032267	25.79402	0.10084459	26.000755	25.345385	1.5497207e-07	-0.0067649144	-2.3031235e-07	-0.017447181	2077.8943	-255.27222	318.88458	-30.674774	0	0	79.0	0.9110214	0.0043003145	36000	22.737769603729248
9	485.625	238.52145	900.0	119.0	62.421608	20.880896	87.16051	31.729742	485.625	17219.727	0.43049318	33.02721	0.30113965	33.184006	30.366102	23.975965	0.35654777	24.545023	21.279186	-1.1253357e-07	-0.0040915804	-6.6757204e-09	0.0053580166	2867.362	-325.98755	288.96933	-87.14606	0	0	79.0	0.9060899	0.003297586	40000	25.677669525146484
10	702.8	282.42053	1000.0	317.0	46.517574	20.079817	81.01548	29.43487	702.8	17486.377	0.39741766	36.554016	0.16001104	36.65549	35.25212	19.508415	3.6963522	22.315857	-13.402988	9.298324e-08	-0.004183024	1.3637543e-07	-0.00039956952	2981.9778	-298.69336	230.45375	-93.65581	0	0	7.0	0.91045123	0.0134836305	44000	28.086376190185547
11	549.2857	296.257	1000.0	64.0	58.68429	22.776903	88.07395	27.055462	549.2857	17969.684	0.3743684	39.60093	0.05433138	39.647923	39.17756	14.502035	5.4451084	20.273243	-15.365195	1.0204315e-07	-0.0020328073	-5.3405763e-08	-0.03178092	2497.47	-205.41553	150.28882	-32.29856	0	0	79.0	0.9084126	0.0032046894	48000	30.6382474899292
