Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.155893	9.384197	70.0	5.0	1.3152888	7.434229	82.55821	0.03095622	15.155893	345.99454	0.08649863	-0.009062696	0.10938497	0.3662907	-0.358575	0.0035689736	0.15029734	0.50954324	-0.52606845	-6.67572e-08	-0.019137433	-2.8610229e-08	0.03569609	163.93947	-20.125443	107.06311	-3.9912643	0	0	5.0	0.9189385	0.018010285	4000	4.242704629898071
1	21.819672	13.438191	78.0	5.0	3.7089977	13.658783	99.67926	0.019895133	21.819672	1024.9812	0.12812266	1.0633957	0.49002448	3.7048554	-1.2133315	0.9838759	0.26189747	1.8044215	-0.16767234	-7.605553e-08	-0.017163789	1.5449524e-07	0.08467512	266.26895	-85.65398	240.51505	-26.835205	0	0	7.0	0.917225	0.016374039	8000	8.188173055648804
2	25.658064	14.445643	84.0	5.0	6.8343954	22.022543	119.030334	0.05598022	25.658064	2084.3733	0.17369777	4.973662	1.1030071	8.509477	-0.5617629	3.91279	1.5767701	9.427867	-3.6917439	-3.1113625e-08	-0.014825162	1.8787384e-07	0.15262613	224.85966	-83.81471	534.87274	-47.621246	0	0	9.0	0.9149706	0.014812813	12000	12.056541204452515
3	37.904762	22.019264	130.0	7.0	21.848791	34.60962	118.38636	0.03908175	37.904762	4378.785	0.27367407	10.155788	0.5129602	11.303751	7.2474585	8.521686	0.8809852	10.78299	4.5998006	-4.9591065e-08	-0.017063648	-1.6307831e-07	0.22585058	341.98917	-88.1487	943.328	-146.65399	0	0	79.0	0.91217977	0.0065812063	16000	16.386013984680176
4	49.25926	28.487717	147.0	9.0	38.015408	41.581688	129.19348	0.047816712	49.25926	7458.041	0.37290207	15.255007	0.4296534	15.852121	12.7651825	16.23961	0.52732766	17.463043	13.422967	2.9563903e-08	-0.017895343	4.77314e-07	0.24365869	410.11774	-71.390564	1064.4999	-121.56726	0	0	79.0	0.9013031	0.008080552	20000	20.619077682495117
5	68.48276	30.712372	145.0	14.0	50.413853	38.491478	131.15488	0.033472396	68.48276	10382.457	0.43260238	19.214666	0.33502376	19.880135	17.559612	21.471653	0.12640862	21.746914	20.908821	1.2159347e-08	-0.01298744	3.299713e-07	0.094044745	481.1304	-70.16345	804.8045	-61.26715	0	0	79.0	0.9050551	0.0071556387	24000	24.85931921005249
6	85.978264	38.882484	190.0	9.0	61.20577	35.844894	145.40082	0.2149795	85.978264	13214.012	0.47192898	22.543941	0.29900822	22.929567	20.777197	24.46524	0.16485526	24.804651	23.64917	2.6226044e-08	-0.006848758	-6.389618e-08	0.034601238	628.1454	-78.897644	679.47314	-42.81964	0	0	79.0	0.9148804	0.003332298	28000	29.169530153274536
7	107.111115	49.715736	250.0	38.0	65.44658	30.740065	162.02808	5.3361864	107.111115	15583.154	0.48697358	25.350822	0.6336152	25.99982	21.170269	26.721544	0.13428979	26.988367	26.064636	-1.3232231e-08	-0.0032332672	5.4359436e-08	0.027374908	842.04285	-121.12793	462.61856	-11.931824	0	0	79.0	0.90276486	0.002052071	32000	31.801071405410767
8	124.09375	61.74512	324.0	36.0	68.78967	27.805471	133.24348	18.52948	124.09375	17784.652	0.4940181	27.609137	3.3551111	28.980604	-3.181424	27.93234	0.07165619	28.10153	27.537735	-2.4557114e-08	-0.0051899445	1.3160705e-07	-0.07996449	912.85474	-101.30597	381.1275	-7.2836	0	0	79.0	0.9052742	0.0031745355	36000	36.03040790557861
9	161.70833	71.9279	305.0	66.0	60.72507	23.47969	115.67525	25.625395	161.70833	19257.312	0.48143283	29.548296	5.3682747	31.571316	-16.59564	28.888355	0.036760557	28.980907	28.666319	-5.427003e-08	-0.005279733	8.010864e-08	-0.031589743	1143.0162	-132.76123	275.6052	-7.913574	0	0	79.0	0.8916054	0.004137948	40000	40.28469967842102
