Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.449613	9.014598	49.0	5.0	0.75107145	1.6729091	10.764141	0.02733403	15.449613	193.86945	0.04846736	0.0031274736	0.115329385	0.824765	-0.700038	0.0014011723	0.1551698	0.72680914	-0.8073596	2.682209e-08	-0.018610632	-4.2676927e-08	0.0021739241	155.71277	-20.58342	4.320241	-1.2832038	0	0	5.0	0.9189385	0.016386366	4000	3.961371660232544
1	19.383495	10.972761	68.0	5.0	0.9481729	1.766993	8.986868	0.022974335	19.383495	389.40457	0.04867557	1.0302026	0.5992155	3.1560328	-1.6497742	0.6174706	0.5412224	2.6702914	-1.8944746	-1.680851e-08	-0.016157325	-1.3768673e-08	0.00053317565	197.68707	-69.48567	3.3756666	-0.43299484	0	0	7.0	0.917487	0.016524334	8000	7.544632434844971
2	23.778442	12.515572	66.0	5.0	1.4392128	2.581466	16.102928	0.034312032	23.778442	630.5007	0.05254172	4.7589846	1.0964586	8.609125	-0.58872515	1.0250742	0.174193	1.721392	0.22614405	3.051758e-08	-0.018000675	1.990795e-08	-0.0035427234	177.10106	-70.28379	5.8500233	-0.37811756	0	0	7.0	0.9158277	0.015248625	12000	11.195307493209839
3	28.347517	12.557378	68.0	9.0	2.0156076	3.2020488	18.362043	0.024618022	28.347517	914.7076	0.057169225	9.981199	0.741747	11.960041	3.71028	1.588497	0.41804183	2.874108	0.18171671	6.0796737e-09	-0.013698214	-5.066395e-10	0.013132558	129.51685	-27.474937	7.707872	-0.64713144	0	0	9.0	0.9143053	0.015042409	16000	14.975412845611572
4	35.57143	15.327796	81.0	9.0	3.4470546	4.0507607	22.596296	0.034491893	35.57143	1300.9175	0.06504587	13.364098	0.6923785	14.392139	6.44238	1.9639537	0.4120332	3.215852	0.35916513	-2.8967857e-08	-0.013400261	3.5762786e-09	-0.0030843753	161.07243	-23.816315	10.210366	-0.9976301	0	0	9.0	0.9125139	0.013578001	20000	19.16375732421875
5	40.948452	17.838549	98.0	13.0	4.4924483	4.838889	25.836016	0.030541489	40.948452	1738.1348	0.07242228	16.332218	0.68665814	17.20991	8.489885	2.8209312	0.5685753	4.6144667	0.90153307	-5.2928925e-08	-0.010269654	-8.225441e-09	0.013702816	191.88234	-27.998001	13.927082	-1.3010864	0	0	12.0	0.91068155	0.013064859	24000	23.474292993545532
6	45.96552	17.809624	106.0	13.0	4.899263	4.121365	21.548506	0.08694472	45.96552	2164.3706	0.07729895	18.477139	2.5715678	20.991959	1.4321183	3.619402	0.34244484	4.42542	1.2273417	-1.7702579e-08	-0.013623373	-2.8371812e-08	0.01251267	186.36018	-19.464783	9.374433	-0.3514986	0	0	12.0	0.9083901	0.013148922	28000	28.014665603637695
7	46.30588	21.616455	112.0	12.0	4.845091	4.347542	23.394587	0.02202484	46.30588	2577.5366	0.08054802	20.63314	3.1594245	22.863607	-4.059794	3.665764	0.40159184	4.902396	1.6139885	9.88245e-08	-0.012970445	-6.890297e-08	0.02847994	222.94907	-11.746948	9.811414	-0.4840269	0	0	12.0	0.9061348	0.0128673185	32000	32.62500238418579
8	48.641975	13.954342	89.0	17.0	5.092083	3.013127	19.86916	0.036392376	48.641975	2991.964	0.08311012	21.719501	4.386755	24.173859	-7.6344547	3.625888	0.48252183	4.9179125	1.570849	3.9935113e-08	-0.012501893	-2.4676323e-08	0.024404394	146.00447	-4.254608	5.0360785	-0.19915676	0	0	10.0	0.90391105	0.013998292	36000	37.77879023551941
9	52.63158	20.885553	122.0	24.0	6.0588775	3.2057414	14.957485	0.16844386	52.63158	3452.4387	0.08631097	22.644224	4.2295446	24.787838	-7.825476	3.5876267	0.39690498	4.7465158	1.5747092	-8.010864e-08	-0.008752367	1.0144711e-07	0.023784611	217.95059	-7.27919	5.433463	-0.81696033	0	0	12.0	0.9020015	0.012598186	40000	42.79526734352112
