Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	10.129441	5.1461873	38.0	4.0	0.43960702	1.4745482	28.332506	0.06078236	10.129441	173.28572	0.04332143	-0.0012882488	0.045090694	0.19135393	-0.37682664	-0.0013999646	0.109345995	0.57169783	-0.44293818	-1.1754036e-07	-0.020557936	2.0861625e-08	0.01393545	66.05992	-13.432079	4.8644114	-0.9413767	0	0	4.0	0.9189385	0.021797745	4000	7.095813035964966
1	12.207952	6.8214135	45.0	4.0	0.5717853	1.4532509	20.018944	0.0287519	12.207952	360.64432	0.04508054	1.1250278	0.24150789	2.4117703	-0.1705394	0.6134214	0.61280197	4.949849	-3.155189	1.206398e-07	-0.01803887	-3.7550927e-09	0.012721763	83.06636	-37.136524	2.707483	-0.05028963	0	0	5.0	0.9174939	0.019316033	8000	13.852967977523804
2	13.2823925	7.004269	44.0	5.0	0.6307134	2.606961	35.785793	0.01338235	13.2823925	550.49365	0.045874473	4.7082176	0.8853821	8.706294	-1.435502	0.6108544	0.8197011	5.832984	-4.9520288	-5.2928925e-08	-0.013365558	-1.1920929e-09	0.0070828614	52.00275	-14.426609	10.610682	-0.14038658	0	0	6.0	0.9159779	0.019119237	12000	20.581750869750977
3	18.223743	10.362832	70.0	6.0	1.4681157	6.7599907	89.96587	0.03461969	18.223743	872.3304	0.054520648	7.8444877	0.8855198	10.108465	3.826354	0.7838397	0.93495	5.3307853	-4.406995	8.5830685e-09	-0.013386496	-8.046627e-08	0.023944808	83.59401	-13.664589	69.62422	-6.4444504	0	0	8.0	0.914048	0.013839742	16000	27.650310039520264
4	24.695652	13.810629	90.0	7.0	2.0595603	5.4626374	43.902534	0.024596287	24.695652	1205.2549	0.060262743	11.144058	0.41309017	12.50285	7.0597773	2.2657576	0.7146029	5.3215866	-1.3556331	-6.175041e-08	-0.016954063	3.004074e-08	0.046247978	125.12237	-13.369682	28.526985	-0.7110481	0	0	16.0	0.9113822	0.012350498	20000	34.9409453868866
5	32.098362	18.017483	119.0	6.0	6.7802706	13.785071	79.26218	0.013341391	32.098362	2064.052	0.08600216	14.342552	0.74964786	16.298615	8.306906	2.5170248	0.24843882	3.5020924	1.2119693	1.6570091e-08	-0.023453843	1.7464161e-07	0.047816988	196.75854	-25.34082	161.2558	-28.063324	0	0	11.0	0.9075032	0.014632844	24000	42.47416949272156
6	38.423077	21.750195	108.0	9.0	10.310242	16.355495	82.128555	0.03170683	38.423077	3136.3293	0.11201176	17.648571	2.8174207	20.45533	2.4548209	7.824583	1.0564424	10.690533	2.5056443	1.5854836e-08	-0.019052519	1.1539459e-07	0.06826039	212.86209	-17.445969	170.48412	-7.3583984	0	0	11.0	0.9055327	0.014079457	28000	50.09024620056152
7	49.8625	25.848473	129.0	10.0	17.622227	21.18445	132.62352	0.09409252	49.8625	4546.1265	0.14206645	20.102999	3.857505	22.739885	-6.078591	9.820445	0.6591056	11.024986	6.5509295	-7.152557e-09	-0.02064822	2.040863e-07	0.011155312	269.844	-28.963654	220.68323	-17.914322	0	0	10.0	0.9027638	0.015240942	32000	58.015422105789185
8	61.50794	22.978853	129.0	13.0	23.73405	20.836494	84.048325	0.1503338	61.50794	6046.5327	0.16795924	23.339079	4.1491675	25.563711	-11.151225	13.830151	0.95144814	15.831765	8.053197	3.8146974e-09	-0.016270226	1.01089476e-07	0.059809517	287.83072	-27.667358	212.07019	-3.9570312	0	0	79.0	0.8999678	0.0063576517	36000	66.36082482337952
9	72.218185	33.27772	174.0	12.0	22.299185	20.167782	104.141365	0.29854703	72.218185	7273.974	0.18184936	26.967587	3.4362078	28.397066	-4.3550262	15.382117	0.69310266	16.300705	6.793762	-2.0205974e-08	-0.022046449	4.5776368e-08	0.074555054	381.27194	-25.788757	189.21785	-6.1096344	0	0	79.0	0.8867359	0.008194363	40000	74.61897444725037
