Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.599064	9.148793	52.0	5.0	0.0	0.0	0.0	0.0	15.599064	0.0	0.0	-0.002557963	0.112686835	0.4324183	-0.46494	0.00052735425	0.15216032	0.5455448	-0.682593	6.1035155e-09	-0.016646728	-1.2397766e-09	0.0008805895	160.61261	-21.470352	0.023153568	-0.023141865	0	0	5.0	0.9189385	0.017195495	10000	8.8825044631958
1	18.925997	11.46632	70.0	5.0	0.0	0.0	0.0	0.0	18.925997	0.0	0.0	1.1242856	0.12178494	1.5894473	0.43651736	0.00022232423	0.003701001	0.07902739	-0.05460726	3.3569336e-08	-0.018559353	-1.7881394e-11	-6.839404e-06	204.3811	-71.33836	1.3751051e-05	-5.0677e-06	0	0	6.0	0.9172035	0.015217572	20000	16.61593985557556
2	25.678663	15.684291	101.0	5.0	0.0	0.0	0.0	0.0	25.678663	0.0	0.0	5.0162845	1.1253967	8.489448	-0.95706433	-0.0001903295	0.0047797393	0.059363533	-0.07442985	-3.9100647e-09	-0.014065748	-2.3841857e-11	1.3770503e-05	246.58728	-90.27841	2.2884631e-05	-1.0673882e-05	0	0	8.0	0.91522646	0.015301145	30000	22.391743898391724
3	35.837543	20.576149	119.0	7.0	0.0	0.0	0.0	0.0	35.837543	0.0	0.0	10.596097	0.7486116	12.468817	7.0273643	0.00019088025	0.0044911965	0.040771846	-0.055789154	4.4250488e-08	-0.01146206	1.6391277e-11	2.4837931e-05	286.32904	-73.77779	2.0074182e-05	-1.0656816e-05	0	0	11.0	0.91281694	0.01315031	40000	30.213853359222412
4	47.21327	23.391718	133.0	9.0	0.0	0.0	0.0	0.0	47.21327	0.0	0.0	15.408431	0.6003837	16.670404	7.9095507	-0.00028807588	0.0036725732	0.031491574	-0.026093418	-3.33786e-08	-0.014417584	1.7881394e-11	-1.1695016e-05	307.7343	-51.0831	1.3579774e-05	-4.996925e-06	0	0	79.0	0.9095208	0.006256438	50000	38.630645513534546
5	64.16774	26.841187	164.0	10.0	0.0	0.0	0.0	0.0	64.16774	0.0	0.0	18.875805	0.8481388	19.952105	12.402939	6.92128e-05	0.0027727091	0.022356996	-0.022228759	-4.5776368e-08	-0.011882177	8.940697e-12	-2.9127552e-06	403.34763	-66.41403	7.7236e-06	-2.0260395e-06	0	0	79.0	0.90341	0.0052352827	60000	46.90159225463867
6	81.06504	36.377144	209.0	13.0	0.0	0.0	0.0	0.0	81.06504	0.0	0.0	21.371996	3.1817636	23.366394	-9.925748	-8.5098245e-06	0.0022013749	0.018538412	-0.021432638	-1.8310548e-08	-0.007246728	4.4703486e-12	-2.551419e-06	563.8538	-82.783264	4.847813e-06	-1.0733297e-06	0	0	79.0	0.89752394	0.0041592084	70000	53.042497873306274
7	112.314606	55.449863	357.0	39.0	0.0	0.0	0.0	0.0	112.314606	0.0	0.0	24.58487	3.4778488	26.180174	-5.3928876	9.3102804e-05	0.0016835018	0.012549762	-0.016812233	6.5612795e-08	-0.0064566974	-4.4703486e-12	3.1641525e-06	893.5898	-121.19507	2.8430181e-06	-6.4046344e-07	0	0	79.0	0.88954073	0.0038790565	80000	61.227020025253296
8	131.1842	70.14791	353.0	20.0	0.0	0.0	0.0	0.0	131.1842	0.0	0.0	27.874271	3.7895367	29.266829	-9.548917	-3.4873054e-05	0.0014437719	0.017918417	-0.014493797	-3.4332275e-09	-0.0054720277	-1.527369e-11	1.08537826e-07	1037.088	-116.18921	2.085512e-06	-2.8957004e-07	0	0	79.0	0.90172976	0.003363543	90000	69.37080502510071
9	147.82089	87.08889	439.0	37.0	0.0	0.0	0.0	0.0	147.82089	0.0	0.0	31.062357	3.1662097	32.03812	-11.360973	5.509967e-06	0.0012663354	0.020466294	-0.0138224475	-9.155274e-09	-0.0037197038	4.4703486e-12	1.0144092e-06	1168.7296	-111.151	1.6037766e-06	-2.331974e-07	0	0	79.0	0.9103916	0.0029072727	100000	77.50058817863464
10	249.65	154.47192	768.0	46.0	0.0	0.0	0.0	0.0	249.65	0.0	0.0	34.242638	1.6864378	34.574623	-18.210999	-6.0960456e-06	0.0013169344	0.008629195	-0.010616693	9.1552735e-08	-0.0037248728	-8.940697e-12	2.959028e-07	1824.2742	-194.57874	1.7343534e-06	-3.4540346e-07	0	0	79.0	0.91672564	0.001957858	110000	84.148273229599
11	319.96774	262.07663	1000.0	68.0	0.0	0.0	0.0	0.0	319.96774	0.0	0.0	37.447556	1.0930192	37.639668	-11.73361	5.2644158e-05	0.0010932656	0.008125067	-0.012914771	-5.493164e-08	-0.0031187164	2.2351743e-12	1.6306788e-07	2086.0945	-207.07446	1.2262013e-06	-1.5764851e-07	0	0	79.0	0.9046729	0.0020213712	120000	92.8840901851654
12	511.05264	308.57626	1000.0	102.0	0.0	0.0	0.0	0.0	511.05264	0.0	0.0	40.514736	0.06382268	40.563286	39.640476	-2.5752663e-06	0.00092664815	0.007185575	-0.009616469	-6.1035155e-09	-0.0037349777	3.9115547e-12	1.7196946e-07	2396.0361	-242.48682	9.069486e-07	-9.5181974e-08	0	0	79.0	0.8924028	0.0033390885	130000	101.21997332572937
13	920.9	237.3	1000.0	209.0	0.0	0.0	0.0	0.0	920.9	0.0	0.0	43.426933	0.0529184	43.47264	41.972584	-3.220142e-05	0.00076333544	0.0071409745	-0.0054621464	2.2735595e-07	-0.0032121032	5.029142e-12	4.531499e-07	2673.2664	-284.38965	5.865474e-07	-4.67723e-08	0	0	79.0	0.8933273	0.0027458672	140000	107.64539957046509
14	944.1	167.7	1000.0	441.0	0.0	0.0	0.0	0.0	944.1	0.0	0.0	46.3509	0.037030037	46.37917	44.20099	-7.648081e-06	0.00067875383	0.008690936	-0.005142233	1.8310547e-07	-0.0022467284	1.4901161e-12	4.393818e-07	2394.4348	-231.5476	4.7230105e-07	-2.6811563e-08	0	0	79.0	0.9003192	0.002502221	150000	115.83790802955627
15	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	48.863895	0.011455073	48.883007	48.79562	2.2421025e-06	0.0005744804	0.006051805	-0.005078771	2.3002625e-07	-0.0014262114	-1.1175871e-12	5.439503e-07	2225.9126	-203.43103	3.432931e-07	-1.8681334e-08	0	0	79.0	0.9003789	0.0034644958	160000	124.37374567985535
16	914.1	257.7	1000.0	141.0	0.0	0.0	0.0	0.0	914.1	0.0	0.0	51.12997	0.008142141	51.14527	51.08485	-3.2739794e-05	0.00062798295	0.009395555	-0.0061546857	4.0283203e-07	-0.001688568	2.6077031e-12	-4.2928122e-07	2006.1147	-172.04749	4.3562446e-07	-2.6084251e-08	0	0	79.0	0.89707875	0.0017948387	170000	133.05920910835266
17	788.9167	310.8849	1000.0	181.0	0.0	0.0	0.0	0.0	788.9167	0.0	0.0	53.166256	0.006046423	53.178463	53.124702	2.5882679e-05	0.0006521187	0.010415194	-0.00862212	-6.5612795e-08	-0.005521617	-5.5879357e-13	-2.6292167e-07	1728.178	-130.13391	4.3099053e-07	-3.100257e-08	0	0	79.0	0.90580165	0.0040070512	180000	139.3857228755951
18	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	54.92177	0.006230331	54.93178	54.880314	2.4895717e-06	0.0005330824	0.0059386333	-0.0054634246	4.7340393e-07	-0.00078284845	1.8626452e-12	-2.525749e-07	1729.8196	-143.89502	3.0730902e-07	-1.45122385e-08	0	0	79.0	0.894745	0.0029233142	190000	148.08016872406006
19	936.3	191.1	1000.0	363.0	0.0	0.0	0.0	0.0	936.3	0.0	0.0	56.726982	0.009171347	56.74235	56.670547	-1.484094e-05	0.000669933	0.010254652	-0.0045418376	-3.0517577e-09	-0.0018899261	2.2351743e-12	-3.7817026e-07	1559.877	-126.50012	4.4784713e-07	-7.2641825e-08	0	0	79.0	0.88906133	0.0036371949	200000	156.53576970100403
20	592.9375	310.48236	1000.0	150.0	0.0	0.0	0.0	0.0	592.9375	0.0	0.0	58.429676	0.010999312	58.44125	58.120552	-6.4205145e-05	0.00067931827	0.0066407267	-0.009037206	-2.2888184e-08	-0.0017418868	2.0489097e-12	8.3873215e-07	1245.5989	-71.82263	4.611988e-07	-7.058517e-08	0	0	79.0	0.886954	0.0035937233	210000	165.06370425224304
