Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.966292	7.729678	46.0	5.0	0.0	0.0	0.0	0.0	14.966292	0.0	0.0	-0.0042331964	0.10821765	0.383732	-0.42258754	0.0019970145	0.15021342	0.48490098	-0.5278432	7.236004e-08	-0.020290382	-1.2516975e-09	0.00039016193	130.0169	-19.512207	0.02257735	-0.022535002	0	0	5.0	0.9189385	0.018299479	4000	6.5637290477752686
1	19.211538	11.0798435	66.0	4.0	0.0	0.0	0.0	0.0	19.211538	0.0	0.0	1.1473204	0.3548151	2.7590523	-0.24838106	0.00020762003	0.002605017	0.011607764	-0.02625657	-8.1658364e-08	-0.015664984	-3.4458936e-11	-1.1102734e-05	196.47856	-71.46498	6.826951e-06	-3.4345894e-06	0	0	7.0	0.9171872	0.016456654	8000	11.638784646987915
2	25.369427	15.399266	92.0	5.0	0.0	0.0	0.0	0.0	25.369427	0.0	0.0	4.768238	1.758807	10.195909	-3.879283	-8.877759e-05	0.0025906423	0.025404025	-0.041829936	6.198883e-09	-0.01582924	4.6566128e-12	1.3040281e-05	244.96956	-92.69664	6.7201004e-06	-8.1239386e-07	0	0	8.0	0.9148985	0.0150766885	12000	16.999958038330078
3	36.477066	20.82412	134.0	8.0	0.0	0.0	0.0	0.0	36.477066	0.0	0.0	10.686776	0.49274388	11.806428	7.5728397	-0.00025058968	0.003812597	0.036385518	-0.03798358	4.6253206e-08	-0.018492948	-1.8626452e-12	-5.1392763e-06	299.89276	-73.615204	1.4599476e-05	-4.2370784e-06	0	0	79.0	0.91228354	0.007486875	16000	22.461678743362427
4	47.439026	26.060013	142.0	7.0	0.0	0.0	0.0	0.0	47.439026	0.0	0.0	15.325942	0.904663	16.884293	9.945242	0.00061256584	0.0038946406	0.03241235	-0.029437073	2.9087067e-08	-0.017442426	-7.450581e-12	8.531809e-06	378.2975	-66.57742	1.5621148e-05	-6.3618754e-06	0	0	79.0	0.9117603	0.0065484364	20000	28.5660719871521
5	64.96722	27.180012	169.0	18.0	0.0	0.0	0.0	0.0	64.96722	0.0	0.0	19.265186	0.6195454	20.259842	16.126526	0.00018423263	0.0032710268	0.025838453	-0.02526454	2.9087067e-08	-0.010470425	-1.1175871e-11	9.71963e-06	406.30902	-69.28946	1.074172e-05	-3.6866409e-06	0	0	79.0	0.9027288	0.005165327	24000	34.6911256313324
6	83.25	43.478683	244.0	13.0	0.0	0.0	0.0	0.0	83.25	0.0	0.0	20.959541	3.227002	23.573168	3.0476723	-5.817336e-05	0.00247867	0.016991587	-0.023111846	3.0994414e-08	-0.0093690045	-3.7252905e-12	1.6255318e-06	665.50354	-104.22394	6.149181e-06	-1.8321603e-06	0	0	79.0	0.9001793	0.00473653	28000	40.8308789730072
7	104.052635	48.016964	235.0	10.0	0.0	0.0	0.0	0.0	104.052635	0.0	0.0	25.682825	2.0417218	26.52373	-1.6003109	-0.00046375347	0.002202471	0.020319456	-0.013677923	-5.00679e-09	-0.005657344	-1.4901162e-11	8.635763e-07	759.41864	-84.861755	5.1236157e-06	-1.9024519e-06	0	0	79.0	0.9019634	0.0027268147	32000	47.18145966529846
8	116.35294	55.489735	269.0	49.0	0.0	0.0	0.0	0.0	116.35294	0.0	0.0	28.387556	1.9832276	29.141815	-4.564629	-5.8635043e-05	0.0017467466	0.014066499	-0.0122160865	-6.7949295e-09	-0.004686947	1.0244548e-11	-5.6635217e-06	823.22217	-78.33295	3.054235e-06	-8.0910877e-07	0	0	79.0	0.8987857	0.0035228143	36000	53.00107145309448
9	143.88889	76.28423	346.0	55.0	0.0	0.0	0.0	0.0	143.88889	0.0	0.0	31.104979	1.2476935	31.535673	16.112955	-6.124447e-05	0.0011322399	0.011979956	-0.0055368114	2.026558e-09	-0.0067881355	5.820766e-12	2.6454522e-06	1076.9707	-102.79932	1.2850992e-06	-2.925217e-07	0	0	79.0	0.88476014	0.0038703927	40000	58.74494433403015
