Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.5859375	9.387513	50.0	5.0	0.0	0.0	0.0	0.0	15.5859375	0.0	0.0	0.0012196132	0.11105736	0.4411924	-0.337274	0.0043066316	0.15025866	0.50125074	-0.48457336	-5.6743623e-08	-0.021527708	-2.0861626e-10	0.00020397463	163.35472	-20.999496	0.022617433	-0.02260693	0	0	5.0	0.9189385	0.01865696	4000	4.635042905807495
1	19.607843	10.900763	59.0	6.0	0.0	0.0	0.0	0.0	19.607843	0.0	0.0	1.053102	0.65718454	3.846676	-1.9530898	0.00015935312	0.0026397656	0.010059763	-0.020505097	5.9127807e-08	-0.015889315	3.5390257e-11	-1.060424e-05	196.80191	-69.722786	6.9937546e-06	-4.682734e-06	0	0	7.0	0.9172188	0.016603185	8000	7.784617185592651
2	25.664516	15.804155	79.0	5.0	0.0	0.0	0.0	0.0	25.664516	0.0	0.0	4.8273244	0.64967453	6.7986035	2.3937235	8.083299e-06	0.0030020382	0.02558539	-0.03191218	-1.9431114e-08	-0.016298192	7.450581e-12	-1.2764447e-06	247.22487	-94.251526	9.0179055e-06	-2.1360847e-06	0	0	9.0	0.9149964	0.014501901	12000	11.857015609741211
3	37.54717	20.089485	103.0	11.0	0.0	0.0	0.0	0.0	37.54717	0.0	0.0	10.574353	1.0784771	13.035521	5.0603075	7.6171695e-05	0.0038953226	0.031497087	-0.03822933	4.148483e-08	-0.013554242	-4.0046872e-11	1.2647643e-05	292.86713	-76.09688	1.5178439e-05	-4.147879e-06	0	0	14.0	0.91245985	0.012184844	16000	14.909617185592651
4	45.95402	19.085354	105.0	8.0	0.0	0.0	0.0	0.0	45.95402	0.0	0.0	15.197775	0.9429233	16.934105	10.935245	0.00034149652	0.003821202	0.030616058	-0.021558184	4.8816204e-08	-0.012417073	2.3283065e-11	4.192764e-06	245.8229	-40.47107	1.4718852e-05	-4.654098e-06	0	0	79.0	0.9091293	0.005094638	20000	18.269872665405273
5	63.98387	24.020483	144.0	17.0	0.0	0.0	0.0	0.0	63.98387	0.0	0.0	18.41528	0.8692155	19.667253	12.14687	-0.00027852017	0.0031192314	0.026862636	-0.025322763	3.3974647e-08	-0.0123367775	1.30385164e-11	6.542422e-06	380.20926	-64.197876	9.802844e-06	-2.8028076e-06	0	0	79.0	0.9058605	0.0054822504	24000	21.642889261245728
6	76.63461	31.441662	142.0	6.0	0.0	0.0	0.0	0.0	76.63461	0.0	0.0	21.599964	1.8650069	22.969902	6.760918	0.0001526679	0.0028396419	0.018270481	-0.021412235	-3.1113625e-08	-0.0033350184	1.2572855e-11	4.97832e-06	481.5515	-70.245514	8.093513e-06	-2.7505598e-06	0	0	79.0	0.9049627	0.0020720668	28000	24.915613174438477
7	88.77778	39.110035	191.0	29.0	0.0	0.0	0.0	0.0	88.77778	0.0	0.0	23.737335	3.390937	25.694923	-5.048842	-0.0002683251	0.0021844632	0.014839874	-0.014904895	-4.9948692e-08	-0.008573059	2.0954757e-12	5.523169e-06	580.68115	-75.053314	4.845906e-06	-1.4605687e-06	0	0	79.0	0.8865234	0.0048911343	32000	28.193847179412842
8	104.210526	40.984695	209.0	42.0	0.0	0.0	0.0	0.0	104.210526	0.0	0.0	26.444925	3.766551	28.32093	-2.1403086	2.3624398e-05	0.0017591539	0.010727125	-0.013944909	5.51939e-08	-0.00827538	-1.8626452e-12	-2.8658892e-06	624.4225	-74.95233	3.0943545e-06	-9.105613e-07	0	0	79.0	0.8916075	0.0043188105	36000	31.481093168258667
9	124.5	49.812145	259.0	56.0	0.0	0.0	0.0	0.0	124.5	0.0	0.0	29.470297	4.274959	30.800293	-10.150938	4.4932738e-05	0.0011989245	0.012180075	-0.01142358	5.1259995e-08	-0.0038020927	2.0489097e-11	-2.2902116e-06	766.44586	-77.724976	1.4401277e-06	-2.9206387e-07	0	0	79.0	0.88894796	0.0036550723	40000	34.814634561538696
10	144.88889	70.66684	334.0	53.0	0.0	0.0	0.0	0.0	144.88889	0.0	0.0	31.761703	4.3214183	33.245335	-4.0291805	-6.163237e-05	0.0011570146	0.008582926	-0.012537793	-2.157688e-08	-0.006237634	-1.1641532e-12	-3.5086252e-06	946.8512	-96.25098	1.7854624e-06	-3.4987215e-07	0	0	79.0	0.9152302	0.0043820343	44000	38.236846923828125
11	218.61111	118.37048	490.0	53.0	0.0	0.0	0.0	0.0	218.61111	0.0	0.0	34.64338	3.228257	35.802166	-5.87659	-1.6635928e-05	0.0010353635	0.006798966	-0.0075036585	-2.1457673e-08	-0.0064703496	7.916242e-12	7.509622e-07	1531.4712	-192.30505	1.0798927e-06	-1.7611848e-07	0	0	79.0	0.9243889	0.004219479	48000	41.61856007575989
12	234.05882	90.7203	426.0	92.0	0.0	0.0	0.0	0.0	234.05882	0.0	0.0	38.83984	0.042187523	38.866943	38.420677	0.00010182474	0.0008907755	0.0051683146	-0.008632357	3.4809112e-08	-0.00712463	-6.053597e-12	1.7447262e-06	1313.8864	-117.324585	8.0412343e-07	-1.0329876e-07	0	0	79.0	0.9493427	0.0041966657	52000	44.91153693199158
13	569.0	306.86432	1000.0	192.0	0.0	0.0	0.0	0.0	569.0	0.0	0.0	41.32499	0.11561682	41.367496	40.15008	-4.5408287e-05	0.0010056007	0.00678756	-0.0071800556	1.1885166e-07	-0.0031963482	4.6566128e-12	3.627489e-06	2409.2356	-291.69556	1.1771581e-06	-1.3028216e-07	0	0	7.0	0.97348845	0.014445797	56000	47.92980933189392
14	963.0	64.08588	1000.0	852.0	0.0	0.0	0.0	0.0	963.0	0.0	0.0	44.77781	0.054516938	44.814747	44.307777	-2.483056e-05	0.00078978617	0.008276666	-0.0060806056	-3.731251e-07	-0.0028800291	-1.0593794e-11	-6.570547e-07	2477.8716	-291.08618	6.972366e-07	-1.3535805e-07	0	0	79.0	0.9754767	0.0032862446	60000	51.141648292541504
