Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.855019	8.291471	50.0	4.0	1.2940624	9.690668	120.77352	0.022959737	14.855019	348.1444	0.0870361	-0.0036904442	0.10534437	0.42588204	-0.3573489	0.0018129166	0.15007567	0.49956527	-0.52614886	6.818772e-08	-0.020311562	-4.9114227e-08	0.026165206	138.66138	-19.858444	156.75635	-3.289688	0	0	5.0	0.9189385	0.018456848	4000	2.8420071601867676
1	19.885572	11.880074	63.0	4.0	3.0930839	13.219967	103.89356	0.016418833	19.885572	969.9537	0.12124421	1.0920242	0.22848381	2.1492956	0.13205412	0.88208205	0.33448377	2.5206738	-0.8205627	-2.169609e-08	-0.012810732	-3.0517577e-07	0.0757155	217.32913	-76.96947	248.91756	-18.844604	0	0	7.0	0.91721535	0.014290648	8000	5.191019773483276
2	27.267124	16.318026	90.0	5.0	7.171025	21.500261	107.067696	0.033684243	27.267124	2017.0588	0.16808824	5.1514487	0.5101144	7.1696434	2.0915742	3.866819	1.1357036	6.989195	-1.041733	1.1086464e-08	-0.0154429125	-9.918213e-08	0.18387856	264.7476	-98.29007	471.37683	-49.183655	0	0	9.0	0.9148759	0.014303849	12000	7.485605239868164
3	35.50893	18.893024	100.0	8.0	20.49448	34.63252	111.32954	0.0062767216	35.50893	4313.159	0.26957244	10.8626795	0.66975856	12.573626	7.723882	8.057544	1.6685188	12.67763	0.40316442	-2.0742416e-08	-0.0147471	8.964538e-08	0.23538633	248.39912	-59.775375	1032.3085	-180.27795	0	0	12.0	0.9119871	0.012925771	16000	9.782001256942749
4	50.405064	25.496347	136.0	11.0	35.680634	38.164642	113.031815	0.063074805	50.405064	7132.059	0.35660297	15.044054	1.0128713	16.787779	9.488473	16.322403	0.5552349	17.5255	13.601278	9.536743e-09	-0.015118595	5.7983397e-07	0.16849439	368.601	-69.91724	906.64813	-90.49182	0	0	79.0	0.9089172	0.005551852	20000	10.844017267227173
5	65.11475	27.120918	159.0	18.0	61.041954	36.36528	130.62395	0.15367311	65.11475	10856.322	0.45234677	18.502527	1.8803992	20.587729	7.7751794	20.9655	0.110640086	21.118685	20.405764	-1.6331672e-08	-0.008994987	-3.7956238e-07	0.060200345	411.69022	-72.187164	1054.3646	-131.44678	0	0	79.0	0.91094005	0.004731426	24000	13.457345247268677
6	77.960785	38.786476	220.0	12.0	68.09599	32.19406	142.85234	0.3810899	77.960785	14329.457	0.5117663	21.3525	2.961283	23.492594	-3.3837895	25.05378	0.14503445	25.352701	24.250841	-4.0769578e-08	-0.0078029786	-1.7738343e-07	0.006567647	560.3727	-80.557495	834.13464	-74.262146	0	0	79.0	0.91746545	0.0039339205	28000	16.0219407081604
7	98.925	43.843693	218.0	11.0	60.773243	30.529566	123.60418	0.37368762	98.925	16761.67	0.52380216	24.98044	2.9081256	26.192982	-3.6021466	27.710894	0.0654692	27.831587	27.364864	1.180172e-08	-0.0073176986	-6.6280364e-08	0.030637128	686.5733	-78.018616	406.76685	-8.497284	0	0	79.0	0.9034244	0.0027576026	32000	18.576461791992188
8	127.064514	51.528217	282.0	52.0	59.989002	24.653261	145.24849	21.30247	127.064514	18634.035	0.5176121	27.42264	3.214345	28.742271	-6.443761	28.67712	0.043387864	28.767948	28.45816	-1.001358e-08	-0.0069591897	5.4359436e-08	0.012054221	862.786	-105.484375	282.77637	-0.32806396	0	0	79.0	0.9056511	0.0036480858	36000	21.173992156982422
9	152.38461	66.43046	338.0	65.0	62.50799	20.793833	105.02596	14.420641	152.38461	20261.604	0.50654006	29.833765	4.125006	31.497547	-6.457249	28.552662	0.050154727	28.658016	28.27251	-3.6776065e-08	-0.0068690735	-1.001358e-07	-0.004766332	1027.8011	-116.52472	222.6875	-1.3668976	0	0	79.0	0.9185813	0.0046636644	40000	23.715975284576416
