Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	32.176228	20.133028	114.7264	10.01944	0.83618003	2.361297	24.101715	0.032056797	16.1417	206.69075	0.051672686	-0.00626548	0.11213095	0.41204974	-0.49527302	0.0024093743	0.1502656	0.49255067	-0.47994986	-1.7881394e-08	-0.015813537	-2.8789044e-08	0.014106316	728.2163	-44.588013	8.708287	-1.5118818	0	0	5.0	0.9189385	0.016469538	4000	4.447371006011963
1	38.254314	22.087202	120.084274	12.028476	5.649673	21.183512	111.1988	0.02819999	19.402912	1370.6528	0.1713316	0.977439	0.57549214	3.2959285	-1.6633087	0.6119877	0.7248441	3.7028506	-2.6127057	-9.214878e-08	-0.012160438	2.6226044e-07	0.15657575	820.99915	-163.77765	657.684	-54.93988	0	0	8.0	0.91719663	0.015499691	8000	7.006159067153931
2	50.095016	32.170334	175.87833	10.0201645	6.8893228	20.768438	101.7129	0.020719906	25.538462	2445.4385	0.20378654	4.863946	0.276603	5.587568	2.933312	4.3311205	0.2950475	5.583994	2.8345516	2.9325486e-08	-0.01721484	6.389618e-08	0.19544142	1213.3145	-302.8051	457.43893	-30.230743	0	0	9.0	0.9146632	0.015737059	12000	11.138350009918213
3	68.41685	36.974667	220.69823	18.056467	18.067436	33.417427	107.52289	0.019206867	35.256638	4487.228	0.28045174	11.376265	1.0788857	13.836966	6.1068525	8.285422	1.3068985	12.095116	1.945523	3.671646e-08	-0.019015154	-1.7547607e-07	0.25914907	1357.5052	-243.38257	930.4716	-110.60028	0	0	79.0	0.9118008	0.008156202	16000	15.583483695983887
4	85.582596	44.703823	266.96536	14.044023	37.223606	40.859837	132.29198	0.030514607	45.689655	7725.7397	0.38628697	16.534473	0.35634866	17.061188	14.646886	15.14123	0.45763388	16.516993	12.453921	-1.7404556e-08	-0.015706552	-4.0721892e-07	0.2361136	1562.601	-181.0741	1145.6882	-149.24933	0	0	79.0	0.9061147	0.0066031455	20000	20.041718006134033
5	123.555305	54.816666	280.9097	38.043026	48.96882	40.483433	125.27523	0.08694429	66.083336	10667.908	0.44449618	20.260624	0.15296923	20.458519	19.257685	20.976696	0.23153344	21.58333	19.114952	1.592636e-07	-0.011919547	-1.2874604e-07	0.110981256	2414.4985	-218.63892	883.6201	-54.063965	0	0	79.0	0.90008974	0.005606459	24000	24.598563194274902
6	150.30501	84.42669	441.83817	24.08295	55.698864	36.662106	143.25807	0.10268636	81.10204	13399.265	0.47854516	23.519577	0.2931004	23.96474	22.13484	23.829735	0.1541467	24.190031	22.878174	-2.771616e-08	-0.008078991	1.0967255e-08	0.054730456	3593.1611	-245.94434	685.354	-32.83722	0	0	79.0	0.90820885	0.00393304	28000	29.129558324813843
7	192.6687	82.10673	432.80246	68.23645	59.972805	26.455463	133.35185	1.2934492	105.0	15678.363	0.48994884	26.516552	0.6228247	27.004637	21.166225	25.863926	0.087770276	26.092533	25.402998	9.0241436e-08	-0.005486428	2.3221969e-07	-0.0025731167	4106.134	-252.19922	360.21213	-11.7656555	0	0	79.0	0.9015951	0.0034713335	32000	33.62183117866516
8	217.98973	76.70616	408.712	117.17889	62.811264	28.39794	134.04259	3.0756826	119.57576	17752.879	0.4931355	28.684359	1.9034804	29.637749	4.0946665	27.089277	0.10840072	27.320831	26.391523	1.7285346e-08	-0.0032547899	-3.0183793e-07	0.011994021	4222.236	-240.87476	359.02005	-6.9958496	0	0	79.0	0.92308056	0.0016151933	36000	36.470898389816284
9	241.03662	113.004486	586.79895	90.81864	61.99528	20.786753	135.16692	28.514969	132.13333	19614.424	0.4903606	31.224785	2.6423948	32.02884	3.415951	28.043474	0.057184238	28.17669	27.790266	3.671646e-08	-0.0029095043	7.05719e-08	0.0009501324	5165.203	-252.32031	255.79832	-0.39016724	0	0	79.0	0.91018045	0.0028830075	40000	40.965394020080566
10	257.58804	139.66885	683.70416	80.10504	62.46378	36.947746	157.85992	0.93705577	142.5	21363.541	0.48553503	33.389774	3.089826	34.386414	-9.197823	28.208376	0.0930026	28.408085	27.373695	9.870529e-08	-0.006195901	-1.7356872e-07	0.042493407	5704.262	-256.56934	422.33743	-0.791626	0	0	79.0	0.91681385	0.0037680287	44000	45.5571026802063
11	288.61902	104.25537	523.09076	148.83394	63.55309	25.840818	112.827286	24.847248	158.79167	22899.984	0.477083	36.45182	0.7366149	36.641525	21.076015	27.945381	0.23060411	28.289112	26.160704	-1.3232231e-08	-0.0038654294	4.148483e-08	0.00053750514	5658.0493	-242.7456	243.21324	-2.542801	0	0	79.0	0.9279777	0.0034824729	48000	50.06354093551636
12	456.7303	185.50316	859.2772	213.19397	47.39953	18.868954	94.33954	8.633328	247.8125	23669.375	0.4551803	38.340546	1.4898717	38.80917	17.641562	27.247976	0.45212597	27.756441	23.141788	-4.1365624e-08	-0.003080191	3.6478042e-07	0.014646715	8949.488	-409.39453	249.53209	-71.0213	0	0	79.0	0.940856	0.002217959	52000	54.46409058570862
13	375.8124	195.76833	891.44977	137.78766	64.86553	25.786043	122.2123	24.236868	207.1579	24924.354	0.44507775	41.24831	0.6872677	41.439976	33.968723	23.352505	2.951877	25.22788	-10.470218	-5.698204e-08	-0.0065190443	-5.1498414e-08	-0.027028807	7412.2686	-285.4746	282.23807	-10.361145	0	0	79.0	0.93736446	0.0059472118	56000	58.90839242935181
14	1244.3768	720.27936	1927.549	224.52165	37.49574	15.850727	62.57814	9.936299	661.8333	25149.445	0.41915742	43.501495	0.3102643	43.606686	39.97525	23.011654	1.676414	24.477114	2.7506335	-1.9669532e-07	-0.00351591	-4.7683716e-07	-0.001981061	16297.492	-758.124	327.54205	-174.66576	0	0	79.0	0.9738222	0.0037711791	60000	63.365275621414185
