Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.832714	8.680935	59.0	4.0	1.3162724	9.303148	126.38617	0.02642004	14.832714	354.3317	0.088582925	-0.0007317134	0.108185284	0.39627472	-0.35855138	0.0022935641	0.15092404	0.4957137	-0.48199323	1.3860497e-08	-0.038209014	-4.9352646e-08	-0.08519213	148.00581	-19.826767	145.4589	-8.052414	0.84999996	-0.018670619	8.0	0.9189385	0.015996872	4000	2.6905109882354736
1	15.992	8.324899	47.0	5.0	0.94467616	7.060567	111.32178	0.03029514	15.992	590.5107	0.07381383	1.0159988	0.46691653	3.0724926	-1.1601235	0.6382842	0.6173155	3.3036175	-2.2166991	-1.5777893e-08	-0.02904095	2.2888184e-08	-0.060274802	127.85063	-50.465553	83.33066	-2.8608322	0.83132935	-0.018213809	8.0	0.91626865	0.017831434	8000	5.091954469680786
2	19.767326	10.295646	70.0	5.0	0.43682817	0.83600205	8.508819	0.017010909	19.767326	678.8069	0.05656724	4.5665607	0.19952902	5.3701663	3.5158522	0.98073035	0.20865454	1.8147229	0.041627087	-5.526743e-09	-0.0021970936	-1.1444092e-08	0.002089121	125.852356	-47.203896	1.1172351	-0.31746954	0.81311554	-0.018154263	9.0	0.91371614	0.013750077	12000	7.45775842666626
3	20.83246	9.408318	72.0	7.0	0.360151	0.65175396	6.470986	0.0075977403	20.83246	747.77783	0.046736114	9.3788805	0.22509356	10.141686	8.049584	0.64861286	0.119894646	1.0717107	0.15048765	5.3630727e-09	-0.0065777036	-1.308322e-08	0.00408121	73.543106	-6.4169617	0.5683062	-0.10834241	0.7949613	-0.026434243	79.0	0.9112807	0.005768118	16000	10.159584283828735
4	22.579546	10.115494	87.0	8.0	0.47460118	0.62256354	3.5920172	0.020133842	22.579546	831.36035	0.04156802	11.361559	0.38701257	12.352092	9.049668	0.45172223	0.0873023	0.8291011	0.07642926	-2.8141531e-09	-0.006199391	9.6559525e-09	0.002398837	77.463104	-2.8040085	0.28337592	-0.004529178	0.76852703	-0.027851999	79.0	0.9103667	0.0053785266	20000	12.835187196731567
5	26.437086	10.986793	71.0	9.0	0.44593114	0.7184115	5.7014995	0.012551342	26.437086	898.7024	0.037445933	12.520137	0.619508	14.578061	8.39945	0.4059759	0.08636197	0.71376574	0.04179143	-1.6499751e-08	-0.0064597717	1.4603138e-09	0.0037120995	88.47201	-5.8335648	0.3903812	-0.008731991	0.74067503	-0.02975005	79.0	0.90784585	0.005523619	24000	15.611634492874146
6	30.0	11.508088	77.0	10.0	0.60264844	0.71413064	4.338871	0.033264436	30.0	978.8774	0.034959905	13.851708	1.9802058	17.411894	2.2853584	0.3743548	0.06081142	0.5835848	0.11450599	-9.869279e-09	-0.0046418915	1.4007091e-09	0.0024465502	98.56773	-7.8451767	0.37573323	-0.013967156	0.710925	-0.026653409	79.0	0.9014094	0.0041571152	28000	17.50063157081604
7	33.15	11.121788	83.0	10.0	0.8926005	0.7769386	4.061114	0.009473285	33.15	1086.144	0.033942003	15.653176	3.3277447	19.023739	-9.661388	0.4381213	0.044657912	0.6149081	0.2689449	-7.6900714e-10	-0.0029422885	6.556511e-09	0.002951848	102.45927	-4.235634	0.43242234	-0.04990828	0.6842716	-0.024834514	79.0	0.88943917	0.0037427687	32000	20.04916286468506
8	34.91228	11.209771	80.0	19.0	1.0442946	0.889929	4.275585	0.06835733	34.91228	1205.2551	0.03347931	16.799791	3.1921186	19.403696	-5.8628535	0.5985194	0.06790253	0.8199425	0.33267647	7.6434337e-10	-0.0016685228	3.1888485e-09	0.00067535316	106.487816	-2.63842	0.4672809	-0.02615112	0.65943706	-0.020058095	79.0	0.88262737	0.0021459532	36000	22.599959135055542
9	39.156864	13.693955	88.0	12.0	0.90086854	0.6813983	3.2551482	0.024722451	39.156864	1297.1993	0.032429982	17.342909	3.1299245	19.52676	-8.195796	0.73212385	0.10034285	1.0457436	0.35904947	5.7809317e-09	-0.003781029	0.0	0.004222123	131.33347	-6.1703186	0.26725978	-0.016106725	0.63937896	-0.025099158	79.0	0.8702914	0.0034289672	40000	25.087393522262573
