Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	8.148979	3.71432	32.0	4.0	0.3409413	0.15717553	1.3986937	0.024738794	8.148979	167.26051	0.04181513	0.0005181272	0.07393534	0.1615335	-0.15519346	0.0017340822	0.06519045	0.24597703	-0.2608288	3.627507e-08	-0.009730258	3.218651e-09	-0.0019500293	40.932068	-11.278896	0.09854381	-0.07289553	0.84999996	-0.020463526	4.0	0.9189385	0.021953328	4000	4.8130505084991455
1	9.25	4.4997425	34.0	4.0	0.35166705	0.23859192	2.520684	0.03270128	9.25	319.1905	0.039898813	1.2028005	0.164113	1.7962385	0.3880893	0.26712123	0.04753757	0.6261026	-0.08170081	5.0028492e-09	-0.00940378	-2.9057263e-09	0.00024073714	40.762905	-20.974407	0.07409715	-0.0020967647	0.82953644	-0.020442665	5.0	0.917485	0.020362992	8000	9.49959135055542
2	10.840109	5.84385	44.0	4.0	0.4777848	1.2887212	20.23689	0.043360792	10.840109	495.4931	0.04129109	4.508159	0.2090482	5.309413	2.6602588	0.27811682	0.021063354	0.35351512	0.18171705	1.9636246e-08	-0.008819955	-5.3048135e-09	0.0033610559	36.064304	-8.052406	2.991354	-0.36937833	0.8090938	-0.02023393	6.0	0.915769	0.020952815	12000	14.125534534454346
3	13.419463	7.103872	45.0	4.0	0.43983254	0.8094917	9.515594	0.021090297	13.419463	626.56635	0.039160397	7.0144424	0.46408308	8.617527	4.348217	0.51833993	0.45875338	3.413907	-3.5356493	3.0672875e-09	-0.011122466	-2.9802322e-10	0.0063094087	38.854603	-5.117977	1.3082932	-0.32975352	0.78885984	-0.019949913	6.0	0.9138993	0.017776536	16000	18.750600814819336
4	16.686192	9.499937	78.0	5.0	0.93395483	7.8448873	121.371956	0.010889517	16.686192	849.85596	0.0424928	8.573708	0.8056326	9.759529	4.3595085	0.47327238	0.11655663	0.8882491	-0.39746034	3.4329872e-09	-0.014250609	-6.6757204e-09	-0.015727341	64.50363	-6.45903	94.39626	-8.409126	0.76890993	-0.019215107	7.0	0.9121017	0.016244432	20000	23.131956100463867
5	20.683937	10.566768	79.0	6.0	0.732474	1.6372299	14.371217	0.024235643	20.683937	991.31555	0.041304816	10.719009	1.2883142	13.086175	5.1664515	0.6562866	2.228232	10.068547	-9.927553	3.950877e-09	-0.008285918	4.2915342e-09	-0.015598525	74.91337	-5.6936264	9.443711	-6.62712	0.7496948	-0.018381596	10.0	0.9108487	0.014525686	24000	25.024542570114136
6	22.98276	10.48506	62.0	6.0	0.5598074	0.87526786	5.842259	0.022460239	22.98276	1088.722	0.03888293	12.164961	1.7848355	14.713702	3.7837183	0.72617316	0.35019302	2.0886512	-0.96058846	2.3658244e-09	-0.0043168897	-5.4836273e-09	0.0047750054	68.42115	-5.2981644	0.9698478	-0.21331072	0.7313132	-0.018025339	11.0	0.90866464	0.013023155	28000	29.63792610168457
7	25.71613	10.551107	65.0	9.0	0.5060535	0.94731236	7.459815	0.011944071	25.71613	1167.2018	0.036475055	13.206271	2.366584	16.70918	1.3573714	0.587517	0.25483763	1.3909953	-0.46813083	1.6582266e-09	-0.007526556	2.9802323e-09	0.003137116	76.473785	-6.777916	0.73845196	-0.046621203	0.7132879	-0.030556917	79.0	0.9050522	0.0054356414	32000	34.67825245857239
8	28.755396	11.5689	63.0	10.0	0.7170555	1.0012858	7.2527122	0.018726306	28.755396	1266.8729	0.035190914	13.946867	2.4447265	17.554047	2.832387	0.457402	0.20285678	1.3284172	-0.3267677	-2.8886205e-09	-0.0071250177	-3.2782554e-09	0.006427754	80.539986	-16.102974	0.7798866	-0.03421712	0.682731	-0.030342162	79.0	0.8844882	0.0065635694	36000	39.76147437095642
9	34.042736	13.034729	80.0	13.0	0.91353565	0.9654781	6.22607	0.040588617	34.042736	1373.7964	0.034344908	15.06408	3.5789664	18.939854	1.1239488	0.59259665	0.19049731	1.316448	-0.35723394	7.688227e-09	-0.005376107	7.778406e-09	0.007549673	89.17181	-24.646759	0.6245844	-0.032764077	0.6523888	-0.028270602	79.0	0.87361205	0.0051923827	40000	44.502222537994385
10	39.465347	14.353779	93.0	14.0	1.4325526	1.3519496	8.229602	0.05532141	39.465347	1518.6744	0.03451533	16.925222	5.6330347	21.960793	-0.80297375	0.70601624	0.14920235	1.3230643	0.055815622	-5.2753872e-09	-0.004679732	-3.5762787e-10	0.014015333	86.30866	-18.912964	1.2176961	-0.11661744	0.6241182	-0.016294062	12.0	0.8691114	0.012646759	44000	49.16411900520325
11	46.75294	15.162574	88.0	17.0	3.0693843	2.2263098	10.071068	0.08215197	46.75294	1779.8837	0.03708091	17.96203	7.920032	25.187458	-0.7049448	1.0351074	0.17577656	1.6954902	0.17758459	-1.0353662e-08	-0.0048660873	-1.8954276e-08	-0.0067107677	82.90322	-22.229988	3.8103738	-1.1596618	0.60782415	-0.011638701	79.0	0.8667593	0.00593026	48000	54.01991105079651
12	46.57647	11.536517	95.0	28.0	2.3874762	1.3820692	7.837898	0.16687983	46.57647	1983.0325	0.038135238	21.33525	9.012948	28.927061	-0.2323889	2.0609276	0.18356343	2.5615065	1.3507711	-4.061809e-10	-0.0031937258	1.37090685e-08	0.0061414517	45.273182	-6.653225	1.3344864	-0.21349418	0.59618545	-0.017168283	79.0	0.85236084	0.0034338313	52000	56.72500276565552
13	51.141026	14.7888775	106.0	30.0	2.7809381	1.3584384	7.2637844	0.8020308	51.141026	2199.9673	0.03928513	20.733973	9.824882	29.727829	0.2696615	1.6347826	0.07897023	1.8647152	1.2528467	1.8346576e-08	-0.0043214746	1.9073487e-09	0.00082262687	59.783783	-9.709061	1.1921753	-0.036221385	0.57901716	-0.014059901	79.0	0.8375723	0.0048119077	56000	61.6956000328064
14	49.037037	10.814307	83.0	32.0	2.7243478	1.1931154	5.741508	0.42540708	49.037037	2420.9841	0.040349737	22.065447	10.59986	32.075092	1.115879	1.8249719	0.07319078	2.023116	1.3678013	-2.78703e-09	-0.003837006	2.9802322e-10	0.0074419854	29.998476	-3.8079338	0.9029372	-0.010127366	0.56495726	-0.015287757	79.0	0.8323376	0.0047494816	60000	66.69425177574158
15	55.26389	14.149002	97.0	31.0	3.0063264	1.3136779	7.0035033	0.86718637	55.26389	2637.5662	0.04121197	22.137405	10.857037	32.479877	1.3678021	1.8314549	0.1168312	2.1620736	1.1465541	6.442902e-09	-0.0061952537	-1.7881393e-09	0.0021654677	44.53253	-7.8195	1.0652739	-0.012513399	0.5496695	-0.011800349	79.0	0.8192462	0.0074490937	64000	71.64000272750854
16	59.328358	14.893039	107.0	39.0	2.9008245	1.0048494	6.1470747	1.0992008	59.328358	2831.9443	0.04164624	24.51	11.273768	34.732903	1.4117543	1.9451816	0.13059932	2.3496213	1.1743671	1.698951e-08	-0.0033653674	-4.172325e-09	0.004938043	46.605087	-7.543659	0.7261858	-0.012546003	0.53786916	-0.009068251	79.0	0.7894222	0.004640093	68000	76.64944648742676
17	63.444443	13.634432	107.0	40.0	3.1286807	0.8444216	5.3348823	1.6189036	63.444443	3029.0557	0.042070217	25.206495	11.948126	36.506252	1.4848695	1.8588394	0.081060894	2.0472996	1.4054139	-7.5118045e-09	-0.0035200336	-3.4570693e-09	0.0025979641	40.12672	-6.409382	0.5848074	-0.027400672	0.5288009	-0.0051776767	79.0	0.7781603	0.004442814	72000	81.61634254455566
18	65.2623	15.353646	117.0	38.0	3.1628368	1.0145684	5.2928247	1.168658	65.2623	3222.0464	0.042395346	26.575914	12.502205	38.314003	1.1705041	2.003106	0.06279709	2.1245735	1.574512	-6.0926e-09	-0.004361978	8.225441e-09	0.0030839248	40.980064	-5.465626	0.73683304	-0.014911294	0.5236232	-0.0054574013	79.0	0.7748966	0.0048208092	76000	83.91139578819275
19	71.545456	16.22996	124.0	47.0	3.1238778	0.96207196	6.5772743	1.1753585	71.545456	3394.007	0.04242509	27.891087	12.762062	39.72394	0.14773588	2.0127506	0.1143659	2.3530881	1.2718989	8.869632e-09	-0.0018443285	-4.3809414e-09	0.0070710746	48.41401	-8.349987	0.6468267	-0.013860285	0.5181658	0.0029838085	5.0	0.758797	0.013526625	80000	88.39708614349365
20	66.94915	14.34375	117.0	37.0	3.6609387	1.1660482	8.624441	1.5697953	66.94915	3612.0256	0.043000307	27.731224	13.843538	41.928978	0.25170475	1.9371463	0.06384791	2.0622065	1.5073634	-1.2466657e-08	-0.0029383556	-6.0796737e-09	0.0125140725	29.209919	-4.5058804	1.0339229	-0.16121596	0.52114964	0.0048905015	3.0	0.7579103	0.020645496	84000	93.02498650550842
21	77.37255	16.76827	121.0	52.0	3.910725	1.219179	7.563732	1.6022874	77.37255	3812.2795	0.04332136	29.287949	13.714191	42.638992	0.3599294	2.3561985	0.08990654	2.5473716	1.5626326	-2.1241076e-09	-0.0066982117	3.1292438e-09	0.0015866106	46.2409	-8.902359	0.9569885	-0.0038977265	0.52604014	-0.0014315844	79.0	0.7571098	0.0074992348	88000	98.06680727005005
22	76.53846	16.905235	128.0	50.0	4.324901	1.3077635	7.865554	2.1461146	76.53846	4037.2021	0.04388263	30.04686	14.350832	44.747906	0.41732413	2.3901966	0.112693496	2.6689267	1.7017274	-2.384098e-09	-0.008602779	4.887581e-09	-0.0009526602	34.0851	-4.4847355	1.2081889	-0.067490935	0.52460855	-0.00013279915	79.0	0.76686794	0.00866918	92000	103.11546015739441
23	84.78261	21.525429	154.0	48.0	3.9811876	1.1971495	7.8030276	1.9175547	84.78261	4221.1562	0.043970376	31.89477	14.346297	46.122513	0.52171636	2.6300082	0.08693382	2.775986	1.8654101	-3.2194698e-09	-0.009200238	7.688999e-09	-0.0017773979	53.169205	-9.798283	1.0553623	-0.13023305	0.52447575	0.0010620952	79.0	0.7709676	0.008718137	96000	108.09416151046753
24	99.075	23.800617	164.0	63.0	3.4990547	1.0721538	5.9965525	1.407374	99.075	4361.2974	0.043612972	35.162987	15.271827	48.643158	0.80524445	2.266228	0.09728492	2.455153	1.7088283	1.2451646e-08	-0.0029207848	1.5616417e-08	0.004055878	68.537636	-14.177212	0.86931765	-0.12408084	0.52553785	0.009879887	5.0	0.77507776	0.017803716	100000	112.63080501556396
