Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.808544	10.012795	81.0	4.0	0.5201809	1.7070045	17.918385	0.015986461	15.808544	328.82318	0.032882318	-0.0021648197	0.11500089	0.47798327	-0.47449479	0.0049788347	0.1523806	0.687007	-0.49377382	5.8437042e-08	-0.006243309	1.5258789e-09	0.004098947	180.57007	-22.035675	4.5875983	-0.69706583	0.84999996	-0.020617664	5.0	0.9189385	0.016683897	10000	5.681504011154175
1	19.041904	11.424541	74.0	4.0	0.7401125	2.3960109	21.902407	0.005747828	19.041904	717.3837	0.035869185	1.0941972	0.47521985	3.4275005	-1.7594153	0.6372075	0.3507494	2.5683763	-1.5602149	1.4075356e-08	-0.004354352	0.0	0.00431861	203.50717	-69.84723	6.9405875	-0.2935071	0.8293823	-0.020753562	8.0	0.9171981	0.013979477	20000	11.046109676361084
2	22.173334	11.617084	70.0	6.0	0.5585537	1.556163	15.095327	0.0048507764	22.173334	968.8804	0.032296013	4.8888645	0.4144586	6.3580756	1.8610495	1.0600297	0.1154545	1.334626	0.16121437	-5.468874e-10	-0.0067505823	9.155274e-09	0.0017316447	153.57799	-56.578262	2.6395242	-0.29750562	0.80862874	-0.03177291	79.0	0.9147646	0.0071064467	30000	15.0394766330719
3	26.814516	13.7399235	89.0	6.0	0.64410776	1.2662779	12.441122	0.0055480013	26.814516	1208.7896	0.03021974	9.634663	0.5122206	11.074051	6.7035184	0.6322522	0.3240559	2.099793	-0.9288604	-2.3761187e-08	-0.0067669787	4.577637e-09	0.0025359844	143.8502	-29.319191	1.5378165	-0.27062654	0.7768558	-0.03329575	79.0	0.90065664	0.0073214583	40000	20.898247241973877
4	31.711111	15.06396	111.0	5.0	0.770433	1.0745541	6.9276137	0.014735785	31.711111	1451.4854	0.029029706	13.2470045	0.6335859	14.845825	9.9146	0.64650875	0.19412331	1.4272765	-0.25204235	3.4053014e-09	-0.0051670233	-3.8146974e-09	0.0056426055	146.26985	-17.17035	0.77452105	-0.03004241	0.7435601	-0.03182441	79.0	0.89612794	0.0050799395	50000	26.519900798797607
5	35.935253	15.105485	121.0	8.0	0.8608878	0.9306458	6.5608516	0.015498246	35.935253	1690.8278	0.028180463	15.438156	2.083274	18.582268	-1.9489253	0.65923476	0.029859515	0.7473397	0.48009065	-2.7035458e-09	-0.0048444117	-3.0517577e-09	0.006384914	143.19987	-14.456512	0.54157686	-0.0011367202	0.71173567	-0.030676246	79.0	0.8939039	0.0052985554	60000	32.10118317604065
6	41.595833	15.350326	97.0	11.0	1.2405525	1.0100983	5.0396504	0.015666692	41.595833	1988.5829	0.028408326	16.82979	4.21484	20.359411	-12.593324	0.6853194	0.026212124	0.763198	0.4900509	3.9594465e-09	-0.0031003335	3.0517577e-09	0.0058144955	149.5685	-12.768021	0.6068586	-0.03936261	0.6810594	-0.02697599	79.0	0.90013194	0.0028665352	70000	37.69717717170715
7	46.296295	13.269821	113.0	23.0	1.7033083	1.0704907	6.4126263	0.018625837	46.296295	2356.4976	0.029456219	19.014101	4.6356297	21.908161	-14.734023	0.8803787	0.025812995	0.91984516	0.61695963	3.2983698e-09	-0.0011351609	-9.155274e-09	0.001460614	141.66975	-6.6196747	0.73443985	-0.08307421	0.65408343	-0.018813193	79.0	0.8916884	0.002374444	80000	41.34292674064636
8	47.727272	14.525255	105.0	15.0	1.6003172	1.06991	6.684135	0.0305188	47.727272	2691.002	0.029900022	20.943027	4.4926796	23.064056	-20.066248	1.172862	0.05921649	1.3421332	0.8918613	6.7444423e-09	-0.0016748463	-9.536744e-10	0.0027896082	157.54045	-2.5112457	0.6650388	-0.0143844485	0.63527024	-0.019413948	79.0	0.88408107	0.0028017217	90000	46.93256688117981
9	49.92965	13.359922	92.0	25.0	1.6471337	0.884241	4.6793685	0.16891648	49.92965	3019.2717	0.030192718	21.89854	4.188942	23.632801	-17.827599	1.0780454	0.045692362	1.1745247	0.7220609	-2.9336278e-09	-0.0028486722	-2.7418137e-09	0.0048385393	159.1603	-1.7560883	0.45599303	-0.0023747683	0.6158563	-0.02098459	79.0	0.87309366	0.004241381	100000	52.53596091270447
10	55.530727	19.47819	185.0	27.0	1.8735634	0.93674374	5.937356	0.3078709	55.530727	3355.8079	0.030507345	22.323927	4.29383	24.099937	-18.037977	1.1094762	0.07359038	1.3354234	0.67213655	-8.707568e-09	-0.0011941467	3.8146972e-10	0.0037699176	219.3948	-9.694977	0.5183448	-0.016270101	0.5948717	-0.01752752	79.0	0.894171	0.0024338407	110000	58.241013526916504
11	57.75	18.675978	134.0	31.0	2.0711918	0.9766814	4.7764196	0.3585221	57.75	3712.5537	0.030937947	23.848469	5.686803	25.846899	-21.409306	1.1823702	0.05900762	1.3837969	0.91183525	2.528158e-09	-0.0022473536	1.6212464e-09	0.0034154737	211.045	-4.5016174	0.5957552	-0.014398992	0.5773442	-0.015464008	79.0	0.90533346	0.003196698	120000	63.8394877910614
12	61.975155	16.926567	118.0	34.0	2.332979	1.0619617	6.5739093	0.654246	61.975155	4088.261	0.031448163	25.301168	5.2102065	27.03909	-21.815762	1.290675	0.07438418	1.5319593	0.83694416	-4.2438797e-10	-0.0015085995	-7.629395e-09	0.002486966	205.42955	-3.7672577	0.6465029	-0.026159465	0.5618802	-0.013049781	79.0	0.9192925	0.002131853	130000	69.46596050262451
13	64.425804	17.971285	145.0	38.0	2.4640214	1.0318959	8.159842	0.6626479	64.425804	4470.217	0.03193012	26.096539	5.9736567	28.073204	-22.314705	1.4197716	0.11281428	1.8624424	0.9731369	-1.6033251e-08	-0.00204568	-7.6293943e-10	-0.00093450013	217.26222	-4.2347717	0.6431921	-0.011294484	0.5488304	-0.007875562	79.0	0.92662656	0.0028171334	140000	73.09248304367065
