Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.21374	8.765396	64.0	5.0	1.0505972	4.486706	58.611305	0.02007376	15.21374	275.38293	0.068845734	-0.0034459087	0.11003243	0.4193892	-0.37311694	0.00061085843	0.15078889	0.4750315	-0.5328009	9.742943e-09	-0.007949241	1.3351441e-08	-0.0024542732	151.33778	-20.898026	40.763218	-3.1038818	0.84999996	-0.020627439	5.0	0.9189385	0.014426786	4000	4.146780729293823
1	17.825893	10.2107725	56.0	5.0	1.630469	7.907113	80.90535	0.029066134	17.825893	640.7596	0.08009495	1.1050795	0.21600536	1.7957753	0.018011983	0.6929227	0.6732243	3.7479746	-2.6212122	-6.5625635e-08	-0.02751327	-6.771088e-08	-0.063241616	170.53087	-63.383118	101.20878	-11.008652	0.8293725	-0.017382205	8.0	0.917205	0.018816788	8000	8.268146991729736
2	19.183575	10.0393	68.0	6.0	0.56626886	2.136094	26.490425	0.017200489	19.183575	758.28265	0.06319022	4.947003	0.36117312	6.1741924	2.740559	1.8091009	0.35429576	3.327062	-0.35071474	-2.8269262e-08	-0.0061106826	-1.2874604e-08	-0.0024837614	115.62348	-40.086777	7.716988	-1.447094	0.8119903	-0.015703678	79.0	0.9146577	0.006364357	12000	12.673490762710571
3	22.619318	10.35931	66.0	6.0	0.4492049	0.6731073	5.3489428	0.008222652	22.619318	837.4803	0.05234252	9.195521	0.566259	11.027161	5.9394493	0.98641616	0.24979527	2.0917897	-0.32114524	2.5821507e-09	-0.006812294	-1.6331672e-08	0.0032044637	87.71404	-12.62204	0.8842506	-0.3686676	0.79628664	-0.03359455	79.0	0.9006415	0.0065027727	16000	17.113421201705933
4	25.106918	11.937253	83.0	7.0	0.47603047	0.61037725	4.943215	0.026609255	25.106918	913.20856	0.04566043	11.857792	0.5140256	13.445405	9.222072	0.5782388	0.20081949	1.4270893	-0.3465289	-7.89508e-09	-0.006238136	-4.0233137e-09	0.0032640218	96.083984	-7.654175	0.40178776	-0.070286214	0.7626921	-0.031669557	79.0	0.8871912	0.0062414627	20000	21.44702410697937
5	27.349316	9.746509	79.0	8.0	0.5377391	0.58438134	3.1092482	0.016066417	27.349316	991.74475	0.041322697	13.762059	1.702278	16.827847	4.8300786	0.4379527	0.16929093	1.071031	-0.30264297	-3.9446184e-09	-0.004581712	-2.0861626e-10	0.0020231716	82.50729	-1.3900833	0.29412666	-0.022707105	0.73102254	-0.027419686	79.0	0.8884379	0.0045742947	24000	25.857199907302856
6	29.917294	10.795463	82.0	7.0	0.5358934	0.46318546	2.3838155	0.017391328	29.917294	1063.549	0.03798389	14.350154	1.6014131	17.24594	4.0256543	0.4629389	0.10164623	0.8960135	-0.0018859487	-4.7004307e-09	-0.00409655	-3.248453e-09	0.003833678	95.72421	-2.8714142	0.15496725	-0.007820159	0.70360285	-0.02791977	79.0	0.8810447	0.0043334793	28000	30.14760184288025
7	32.729507	9.172337	68.0	13.0	0.76893455	0.49923483	2.389161	0.0433949	32.729507	1157.3838	0.036168244	15.090035	2.2496603	18.02606	0.5023517	0.40828443	0.104061946	0.84197265	-0.12331198	-4.4905244e-09	-0.0025891298	-1.6093255e-09	0.00038656878	85.196396	-4.5117416	0.19619477	-0.024382114	0.6756831	-0.022052586	79.0	0.8922628	0.0034881327	32000	34.566725969314575
8	36.28182	12.082392	84.0	17.0	0.7960715	0.541559	2.3874037	0.03584169	36.28182	1244.9801	0.03458278	15.993099	3.224321	18.955616	-5.6324105	0.53336596	0.060446996	0.76795405	0.26541027	3.3038314e-09	-0.0026158402	-1.4901161e-09	-0.0011392683	116.73327	-6.639206	0.1741543	-0.00039632618	0.6536305	-0.017798841	79.0	0.88056004	0.0033978724	36000	38.941349029541016
9	37.865383	12.501582	93.0	18.0	0.7514286	0.40899032	2.0817358	0.067235045	37.865383	1323.4172	0.033085432	17.512625	3.9582431	20.199879	-10.086116	0.5420305	0.049192242	0.7558588	0.3376421	4.7961892e-09	-0.0018535752	7.1525574e-10	0.0022059353	123.15479	-3.5684052	0.10984493	-0.0017419159	0.63583165	-0.020942211	79.0	0.84893256	0.0031004676	40000	43.32360029220581
