Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.237804	8.711755	61.0	5.0	1.3731734	8.726698	112.85101	0.03245304	15.237804	450.4265	0.090085305	-0.0021936384	0.107688926	0.44584543	-0.47867423	0.00029946672	0.15049444	0.51004857	-0.5234004	-1.4926293e-08	-0.0140689835	2.0694733e-08	-0.02682983	150.54085	-20.795486	127.3038	-8.087791	0.84999996	-0.02068764	8.0	0.9189385	0.014447537	5000	1.2982251644134521
1	15.54717	8.203925	50.0	5.0	0.5174917	1.3120401	13.794889	0.024463855	15.54717	618.34503	0.061834503	1.0844163	0.264929	2.3150613	-0.23306166	0.651173	0.5373069	3.6266472	-2.507608	-1.2191186e-08	-0.0047381204	1.2207031e-08	0.0040505347	129.08153	-50.557625	2.9954894	-0.21758771	0.8293123	-0.01888448	8.0	0.91652423	0.014300989	10000	4.3795318603515625
2	19.057251	9.387368	61.0	6.0	0.52252376	1.4626276	16.475498	0.016624745	19.057251	755.3135	0.05035423	4.655353	0.26945087	6.521338	3.0052707	0.6542211	0.45929587	2.2856061	-1.6065686	-1.5236308e-08	-0.0054099998	-3.8146972e-10	-0.0012952633	105.985176	-39.900055	2.9004688	-0.27531576	0.81042784	-0.019816697	8.0	0.9147328	0.015269263	15000	7.481228351593018
3	21.717392	10.838465	67.0	6.0	0.46572238	0.6515445	4.9269667	0.013604229	21.717392	862.4363	0.043121815	9.144428	0.7038837	11.264556	5.2255588	0.5749112	0.30223328	1.9334437	-0.8176497	1.1839511e-08	-0.0038372446	5.102158e-09	0.0037758085	90.67086	-12.382233	0.5051276	-0.055743277	0.79061115	-0.020353615	11.0	0.91278696	0.013208341	20000	10.648411989212036
4	24.732674	10.210547	82.0	8.0	0.53376335	1.1216193	9.2388525	0.0066890954	24.732674	970.26855	0.03881074	11.888089	0.35292724	13.435433	9.225277	0.5011615	0.24467501	1.6761633	-0.83629054	1.8746913e-08	-0.007105809	2.5987625e-09	0.0013988	81.47648	-4.0670624	1.1359497	-0.010363936	0.77025753	-0.03344041	79.0	0.91011465	0.005755012	25000	14.143213510513306
5	30.242424	13.998767	121.0	9.0	0.71269983	0.96800655	6.9005446	0.021258727	30.242424	1087.9556	0.036265187	13.132869	1.3506451	15.895531	4.880529	0.48398778	0.23244567	1.3910252	-0.46722904	-1.4051045e-08	-0.0043948307	2.861023e-09	0.005337251	131.94237	-16.445267	0.73154265	-0.07433641	0.7368171	-0.031089842	79.0	0.90837085	0.0045855884	30000	17.60938024520874
6	33.43624	11.802811	87.0	13.0	1.217646	1.9671156	20.302687	0.024090838	33.43624	1269.6287	0.036275104	15.213833	3.5353148	19.082207	-9.098869	0.567662	0.15297006	1.298057	-0.019016791	1.473613e-09	-0.0066729975	-2.3841857e-09	-0.023570525	105.677284	-5.4045715	2.5919714	-0.1888833	0.7057273	-0.0036318302	79.0	0.91496676	0.010948764	35000	21.058379411697388
7	35.32624	11.475225	70.0	13.0	0.8233992	0.6715562	3.7980871	0.037416987	35.32624	1385.7366	0.034643415	17.16905	2.9423556	19.947163	-2.1987646	0.864585	0.22301774	1.6710273	-0.045512132	1.205509e-08	-0.003923904	9.393692e-09	0.0017214821	101.060585	-3.3963165	0.41265914	-0.12654933	0.70209545	-0.020268977	79.0	0.90390843	0.0049483343	40000	24.530985116958618
8	36.188404	9.561055	71.0	18.0	0.90975153	0.5642672	2.5416293	0.039559674	36.188404	1511.3123	0.033584718	17.576523	4.2120657	20.304989	-11.165541	0.6587835	0.09160822	1.0131167	0.30840915	-2.9789298e-09	-0.003816338	-2.1457672e-10	0.005315605	94.365105	-1.6377945	0.19892524	-0.0030964464	0.6818265	-0.02596885	79.0	0.9015959	0.0051639387	45000	28.032196521759033
9	41.425	13.429235	119.0	16.0	1.2547048	0.7657262	4.1064296	0.112658784	41.425	1661.9398	0.033238795	17.383928	4.2895827	19.8828	-12.925922	0.63447815	0.097186506	1.0383807	0.18281399	1.1858968e-08	-0.001683438	3.7670134e-09	0.0016779557	135.496	-7.418747	0.39637986	-0.05012235	0.6558576	-0.020732284	79.0	0.9190961	0.0024578865	50000	31.647981643676758
10	43.130436	11.929154	79.0	22.0	1.273422	0.7386975	5.339977	0.05275688	43.130436	1809.5051	0.032900095	19.479937	4.425892	21.537891	-17.294909	0.8383791	0.08546674	1.2087283	0.46566817	6.9917996e-09	-0.0024620288	2.3841857e-09	0.0055402205	124.460625	-1.2924652	0.3128279	-0.0034279227	0.63512534	-0.023073137	79.0	0.92836547	0.0037577355	55000	33.3405237197876
11	44.419643	12.24354	98.0	22.0	1.5756512	0.719833	3.8680594	0.18858781	44.419643	1986.1115	0.033101857	19.869059	4.8568983	22.112638	-15.045846	0.86937404	0.11996655	1.2416265	0.3357335	-4.832057e-09	-0.0023104139	-4.7802926e-09	0.00042725325	123.71465	-1.1705017	0.37130523	-0.04515201	0.6120522	-0.018626213	79.0	0.9452495	0.0032368514	60000	36.755345582962036
12	45.66055	13.659167	105.0	27.0	1.6485823	0.74519527	3.4789085	0.5153249	45.66055	2166.131	0.033325095	20.98024	4.7214694	22.798964	-16.36333	1.0689874	0.083320685	1.3308504	0.70104206	-8.700077e-09	-0.0009676007	-3.4332275e-09	0.0014666518	143.947	-0.60975647	0.3730125	-0.0020091534	0.593426	-0.016140938	79.0	0.93065405	0.0019285919	65000	40.547792196273804
13	45.898148	11.630053	107.0	24.0	1.7744331	0.76486707	4.0926614	0.4050378	45.898148	2357.8645	0.033683777	21.169737	4.85067	22.979118	-16.747076	1.0973078	0.06530562	1.3006967	0.7515026	-2.6216496e-09	-0.0016590437	-3.528595e-09	-0.0002143644	130.4725	-0.3874054	0.3867404	-0.011369914	0.57728505	-0.012912452	79.0	0.9209767	0.0024162633	70000	44.25741744041443
14	48.980198	13.027754	89.0	28.0	1.6858124	0.7534265	5.2100453	0.44629028	48.980198	2529.5437	0.03372725	21.55971	3.9676864	22.934553	-12.1667385	1.1952322	0.076723434	1.3953454	0.7937202	-5.3885314e-09	-0.0013825156	-2.4318696e-09	-0.002255737	148.60847	-1.3889923	0.37483302	-0.008597761	0.5643726	-0.009466827	79.0	0.9114666	0.0020968134	75000	47.760923624038696
15	48.40777	11.973626	104.0	31.0	1.5973108	0.7048542	4.1622295	0.40942678	48.40777	2694.09	0.033676125	22.091372	4.7246857	23.659195	-15.960719	1.1173751	0.04772638	1.2566806	0.81412584	-5.371781e-09	-0.0006191594	-4.053116e-09	-0.0002573309	139.62476	-0.57632446	0.3134221	-0.005427718	0.5549058	-0.010854125	79.0	0.8879035	0.0013934433	80000	51.62325596809387
16	51.412373	14.565001	94.0	32.0	1.5850117	0.629457	3.3794596	0.44411933	51.412373	2847.9607	0.03350542	21.6958	5.0046434	23.549648	-15.773454	1.0614883	0.06987874	1.31066	0.7098977	3.2363752e-09	-0.0016805344	-2.3841857e-09	-0.0017219913	156.54875	-4.8762054	0.27841613	-0.0033254027	0.54405165	-0.010141492	79.0	0.89037	0.004739701	85000	55.10456037521362
17	48.862743	10.427189	97.0	33.0	1.5409254	0.5774004	3.1618478	0.3562253	48.862743	3005.193	0.033391036	22.325619	6.568801	25.182291	-15.982446	1.0263053	0.03707286	1.1370379	0.80523455	2.556844e-09	-0.0022273075	-1.4066697e-09	0.00038132016	113.3667	-4.2466354	0.24376738	-0.000355348	0.53391016	-0.013039172	79.0	0.88019574	0.0028545747	90000	58.378159284591675
18	53.095745	11.974325	110.0	37.0	1.4789288	0.4796193	2.6975577	0.47615373	53.095745	3144.235	0.03309721	22.122978	6.1349454	25.097754	-12.061358	1.0285736	0.031582277	1.1070671	0.8134829	1.6139573e-08	-0.00183104	6.198883e-10	0.0007526637	131.50412	-5.753044	0.1743527	-0.004085824	0.520871	-0.013328135	79.0	0.8782135	0.0035638127	95000	62.10785222053528
19	53.934784	13.9672	118.0	30.0	1.4863399	0.50099474	3.1150177	0.53306085	53.934784	3281.1677	0.03281168	24.18665	5.6711135	26.62613	-9.289256	0.98554903	0.035631154	1.0752829	0.7883593	-6.6809362e-09	-0.0017675654	1.7642975e-09	-6.808233e-05	156.22945	-1.8102264	0.18061885	-0.0010869503	0.50754285	-0.011911929	79.0	0.8758139	0.0028682288	100000	63.60964512825012
