Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
0,15.1673,8.333048,49.0,5.0,1.06229,7.4963717,118.896194,0.024658125,15.1673,279.59543,0.06989886,-0.0017180429,0.10689861,0.3901076,-0.3713921,0.0024805728,0.15083732,0.49736398,-0.4879163,1.8094036e-08,-0.011728034,4.386902e-08,-0.029865209,141.44139,-20.360909,86.980606,-4.2182846,0.84999996,-0.02043122,14.0,0.9189385,0.013593716,4000,2.481410264968872,1
1,15.861111,8.860054,59.0,5.0,0.6006948,1.4743898,14.983188,0.027507648,15.861111,431.05933,0.053882416,1.1233845,0.105155475,1.8210751,0.39583632,0.64428085,0.5295148,2.5502548,-2.842789,2.1595815e-08,-0.006689903,-3.4570693e-09,-0.0066602626,136.80872,-51.871178,3.2689908,-0.23961139,0.82956874,-0.01871872,8.0,0.9150997,0.01626349,8000,4.575860500335693,0
2,19.480392,9.338651,62.0,5.0,0.51383406,1.13912,9.50361,0.018272655,19.480392,536.0568,0.0446714,4.752329,0.35634807,5.7059097,3.350961,0.7340907,0.38068727,2.8715868,-1.0833943,1.8403988e-08,-0.0032145216,-4.7683715e-09,-0.0015628887,109.38478,-40.12049,1.5306754,-0.11702716,0.81085,-0.019357324,10.0,0.9131712,0.0125072235,12000,6.713462829589844,0
3,20.827225,9.405162,65.0,7.0,0.41090307,0.62653893,3.9467797,0.012366291,20.827225,614.792,0.0384245,9.235467,0.27712452,10.352606,7.141111,0.55137074,0.23404106,1.8136803,-0.5708145,-8.615316e-09,-0.0045569036,9.417534e-09,0.004982583,72.47446,-7.918007,0.43086958,-0.07949397,0.7914927,-0.020115376,12.0,0.9111488,0.012697075,16000,8.893179893493652,0
4,24.658384,11.775385,70.0,8.0,0.5651657,1.1499146,10.644098,0.018637307,24.658384,706.25525,0.03531276,11.419765,0.6713422,12.713502,8.361863,0.3671877,0.17227115,1.1548177,-0.70678365,-1.8316433e-08,-0.0072901337,-9.536744e-10,-0.0013970518,98.3193,-7.7998276,1.2159114,-0.05439484,0.7713773,-0.0321818,79.0,0.90914357,0.007180155,20000,11.317523002624512,0
5,28.956522,12.492821,87.0,9.0,0.5245957,0.7275601,4.304515,0.008691098,28.956522,778.69476,0.032445613,13.533582,0.46714854,14.977496,9.869846,0.5334246,0.11296353,1.0061669,-0.13016747,-7.632254e-09,-0.0055241105,-4.4107438e-09,0.0012068447,109.66465,-7.4309006,0.44814926,-0.016485423,0.7391955,-0.031104565,79.0,0.902594,0.005117878,24000,13.694020748138428,0
6,30.204546,9.70843,78.0,10.0,0.55071247,0.53917295,3.041089,0.022204716,30.204546,851.91284,0.03042546,14.965872,1.2346454,17.145813,9.081978,0.44689512,0.07822264,0.7145055,0.1495925,8.297354e-09,-0.0046664774,3.516674e-09,0.004867582,83.09551,-8.774803,0.18988696,-0.0067204237,0.70809096,-0.03116095,79.0,0.90558594,0.0059090876,28000,16.084140062332153,0
7,32.008064,10.032605,75.0,15.0,0.75493467,0.7482037,4.7392664,0.02610811,32.008064,946.15454,0.02956733,15.330695,3.1960373,19.020302,-2.2903028,0.43295854,0.081379935,0.6790807,0.15250394,1.0594307e-08,-0.00429225,8.106232e-09,0.0059093446,88.94411,-3.4694672,0.37671402,-0.035748005,0.67693,-0.03087765,79.0,0.92616284,0.0051546115,32000,18.456908702850345,0
8,37.186916,12.309202,112.0,18.0,1.2092124,0.8146444,3.5522058,0.046035465,37.186916,1075.9491,0.029887475,15.978816,3.7825923,19.506256,-4.737034,0.5742946,0.11686937,1.0083544,0.0036108308,-1.5693795e-08,-0.0030940305,-7.510185e-09,0.0010691676,116.85242,-8.686317,0.49870214,-0.094928026,0.64605236,-0.02283132,79.0,0.9388592,0.0038230498,36000,20.847552061080933,0
9,39.396038,11.180853,80.0,18.0,1.2036278,0.7644742,4.597967,0.06921361,39.396038,1197.7762,0.029944407,17.96667,4.4689627,21.03045,-8.039258,0.8783164,0.07665159,1.1757966,0.54722023,-2.25843e-09,-0.002796883,-9.0897084e-10,0.00013878668,105.11791,-2.4446335,0.33955714,-0.007070631,0.62322104,-0.019287229,79.0,0.93400633,0.0035416486,40000,23.23535823822021,0
10,41.604168,12.72995,88.0,24.0,1.1670667,0.5983897,3.042521,0.13993803,41.604168,1309.8624,0.029769601,18.659142,5.124242,21.617907,-13.7679205,0.851428,0.12883498,1.2869465,0.3353803,2.3165407e-09,-0.0026332326,-9.536744e-10,0.0024414167,116.13812,-1.9701996,0.23706695,-0.020762056,0.6039338,-0.021717727,79.0,0.9248753,0.003897494,44000,25.705775260925293,0
