Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	11.361823	5.812612	45.0	4.0	0.3467084	0.35159278	3.928229	0.040106803	11.361823	121.7625	0.030440625	0.0004205764	0.013186906	0.09361534	-0.09680896	-0.0007090459	0.022747139	0.2103777	-0.17282285	6.6757204e-09	-0.012715146	1.66893e-08	-0.00035099636	81.11167	-16.89013	0.2562722	-0.08631666	0	0	5.0	0.9189385	0.01653996	4000	4.624618291854858
1	13.864583	8.188262	70.0	4.0	0.41940916	0.60816	4.4610896	0.01470786	13.864583	242.80087	0.03035011	1.2738789	0.22229001	2.4423997	-0.010405976	0.2830902	0.053324994	0.6484765	-0.020353027	-1.9550324e-08	-0.013287792	6.556511e-10	0.0039524115	111.5824	-47.609726	0.45186836	-0.021320254	0	0	7.0	0.91718715	0.016286248	8000	8.620907545089722
2	17.185345	9.712467	70.0	5.0	0.48028892	0.8907093	9.6126375	0.023707524	17.185345	354.2896	0.029524134	5.3596106	0.21341701	6.095291	4.416387	0.40512952	0.137552	1.1947863	-0.26740396	3.409386e-08	-0.01723671	3.1590461e-09	0.008889785	94.65888	-29.796112	0.9712468	-0.023480892	0	0	8.0	0.91500604	0.01599088	12000	13.12752628326416
3	19.320389	10.076132	55.0	6.0	0.6965393	2.539439	29.859638	0.0148052955	19.320389	498.096	0.031131001	9.641889	0.77302426	12.276409	6.062486	0.48872682	0.2352946	2.16824	-1.0366143	2.1338463e-08	-0.0145691335	-1.7881393e-09	0.011622125	74.045364	-4.47316	7.3528447	-0.18804646	0	0	10.0	0.9124926	0.013603902	16000	15.257540702819824
4	27.462069	13.89171	105.0	7.0	1.8202548	4.263605	25.853264	0.032336246	27.462069	762.09753	0.038104877	11.594894	1.0882626	13.975013	6.057633	0.83101547	0.6451054	4.3624187	-2.9460912	3.695488e-08	-0.013122317	-1.5497207e-08	0.04464859	133.85823	-19.013718	17.437012	-2.63871	0	0	16.0	0.90942687	0.012310127	20000	19.85947275161743
5	32.892563	16.793251	101.0	8.0	12.467657	28.83402	112.421936	0.036896314	32.892563	2270.7227	0.09461344	14.921049	0.9114133	17.180185	6.497135	2.006801	0.50888324	3.4810286	-0.5577128	4.863739e-08	-0.013921125	1.07765196e-07	0.18014096	154.41376	-20.73732	818.6379	-160.54352	0	0	15.0	0.9079191	0.012524342	24000	24.30263924598694
6	44.393257	19.43391	97.0	8.0	36.18212	39.881855	116.59375	0.04116861	44.393257	5491.0176	0.19610777	17.809671	3.015236	21.317505	-1.3532106	11.471931	2.9639926	17.110962	-2.9442933	-7.629395e-09	-0.016321404	-4.959106e-07	0.27484146	213.11469	-28.630402	1303.444	-318.18414	0	0	79.0	0.90586776	0.008106911	28000	29.009324550628662
7	65.86667	32.230663	162.0	12.0	47.665047	37.220875	119.1439	0.035265703	65.86667	8354.844	0.26108888	21.382858	3.0322456	23.760405	-0.83063114	21.099571	0.35341874	21.786228	18.373463	6.198883e-09	-0.013081887	8.292198e-07	0.16220284	430.042	-76.73175	755.2574	-59.835693	0	0	79.0	0.9077533	0.0057487725	32000	33.77909731864929
8	92.30232	38.06881	177.0	41.0	64.628525	27.610731	126.80565	4.974043	92.30232	11134.436	0.30928987	26.588305	2.1914592	27.651892	4.5942774	24.491463	0.18446073	24.920649	23.474003	1.859665e-08	-0.008450177	-7.152558e-08	0.021700505	557.959	-78.98236	543.415	-46.40735	0	0	79.0	0.8973372	0.0052676485	36000	38.76775908470154
9	104.26316	49.200283	219.0	40.0	64.12466	31.815409	130.08887	0.8015184	104.26316	13593.605	0.33984014	29.874918	3.1471088	31.225052	1.1583176	27.08486	0.19635291	27.500818	26.126408	-7.1287154e-08	-0.0065515474	2.002716e-07	0.003820346	640.78394	-74.9942	463.10425	-16.949371	0	0	79.0	0.923244	0.0037177252	40000	43.54840278625488
