Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.369231	8.785161	52.0	5.0	0.61300033	1.6051284	15.449494	0.0191102	15.369231	159.39801	0.0398495	-0.0032729788	0.106539465	0.43090153	-0.35944834	0.0047056363	0.14954333	0.49983165	-0.5266875	4.5657156e-08	-0.020401118	-5.4240226e-09	0.010243691	151.81012	-20.609253	3.774918	-0.5408213	0	0	5.0	0.9189385	0.017932918	4000	4.792179584503174
1	21.126984	14.203538	90.0	5.0	4.563631	16.840874	112.21699	0.034968115	21.126984	1022.2059	0.12777573	1.1136165	0.22910532	2.16381	-0.18109149	0.6737434	0.050265305	0.7917687	0.46444577	2.8848648e-08	-0.013213856	-1.6784668e-07	0.1219785	282.02228	-89.46921	365.5033	-35.314545	0	0	8.0	0.91719913	0.015125191	8000	8.45120120048523
2	26.078432	16.06178	89.0	5.0	8.297672	22.913815	106.41061	0.024867201	26.078432	2291.77	0.19098084	5.178044	1.1489552	9.166562	-1.4994421	4.399581	0.6851834	7.174279	0.90941966	-4.053116e-08	-0.016371911	1.9073487e-09	0.16621874	256.7841	-91.36487	536.4396	-40.12314	0	0	10.0	0.9146844	0.015219219	12000	12.152053594589233
3	37.537735	20.367924	104.0	9.0	23.082644	36.597168	114.66541	0.0359468	37.537735	4738.7764	0.2961735	10.489469	0.4611129	12.192571	7.82236	9.374744	1.8515812	13.548727	-0.24445167	-8.106232e-09	-0.01735649	2.8991698e-07	0.23618437	293.0708	-75.222946	1067.5883	-160.59015	0	0	79.0	0.9119173	0.0069583813	16000	16.527206897735596
4	49.074074	24.013256	117.0	9.0	35.119358	39.657158	143.01959	0.047233205	49.074074	7583.7314	0.37918657	15.160147	0.64100695	16.598957	11.752265	16.693432	0.24150063	17.149118	15.158354	3.552437e-08	-0.015979044	5.3167344e-07	0.21769388	333.24136	-60.407745	946.89374	-76.80914	0	0	79.0	0.8979296	0.0062643928	20000	19.33347773551941
5	73.46296	32.216118	183.0	20.0	55.863735	37.393772	157.07309	0.13307135	73.46296	10602.223	0.4417593	18.833595	0.5371913	19.73455	15.6834755	20.901222	0.115339875	21.111286	20.140997	1.9073487e-09	-0.010189535	-3.528595e-07	0.06666868	553.9129	-89.604034	834.3964	-70.354675	0	0	79.0	0.89384276	0.005199751	24000	22.010838747024536
6	88.111115	48.497066	261.0	13.0	62.409103	32.576187	112.065956	0.124789044	88.111115	13413.51	0.4790539	22.594406	0.10614815	22.809362	21.917183	24.15688	0.074725434	24.320244	23.748299	1.859665e-08	-0.008717853	-3.242493e-08	0.022733603	759.2661	-92.0462	616.1259	-43.03412	0	0	79.0	0.90004367	0.004574259	28000	24.56959366798401
7	104.5	48.492405	265.0	37.0	72.547356	31.60338	170.93082	3.2425857	104.5	16170.549	0.50532967	25.761835	0.1888451	26.010672	24.518505	26.459633	0.10082546	26.648933	26.014732	-4.5657156e-08	-0.004580776	2.6512146e-07	0.031153167	764.9765	-75.97333	562.5891	-39.335144	0	0	79.0	0.9198989	0.00317705	32000	27.115399599075317
8	131.86667	75.57281	404.0	49.0	79.913704	29.994024	144.61763	25.031008	131.86667	18571.807	0.5158835	28.404772	0.11095392	28.56559	27.479298	28.580246	0.049273115	28.679213	28.280933	-1.9550324e-08	-0.004037049	-1.14440915e-07	0.0076335305	1090.0665	-109.403625	476.70795	-13.48053	0	0	79.0	0.92061603	0.0024592595	36000	29.672499179840088
9	191.15	95.64061	378.0	56.0	71.859726	29.196613	140.28922	26.663399	191.15	20087.615	0.50219035	31.246096	0.041151423	31.320759	31.026272	29.84898	0.02377738	29.900301	29.722265	1.7881394e-08	-0.0043439413	2.3126603e-07	-0.0022336831	1525.9523	-169.23157	351.64304	-5.417267	0	0	79.0	0.9187899	0.0036956673	40000	32.1821391582489
