algorithm,timesteps,mean_return,std_return
PPO,0.0,10.4,3.7202150475476548
PPO,5000.0,21.686495882166614,11.654408277368763
PPO,10000.0,17.143043884220354,4.805076028710704
PPO,15000.0,22.551836007130124,8.076058846749847
PPO,20000.0,21.6,15.23942256123899
PPO,25000.0,48.800738565970995,17.86215878630647
PPO,30000.0,65.33383306270888,23.012400617242037
PPO,35000.0,98.54627487107234,40.8902293230323
PPO,40000.0,52.4,16.280049139974977
PPO,45000.0,199.19702224158254,108.51058235201083
PPO,50000.0,247.5988599741982,210.40831589509926
PPO,55000.0,362.07112993904775,244.28243020130492
PPO,60000.0,293.8,243.81747271268316
PPO,65000.0,631.185085314504,295.53202714874385
PPO,70000.0,825.7948051948053,348.41038961038964
PPO,75000.0,720.3777662842622,336.2691481879325
PPO,80000.0,634.4,447.77387150212326
PPO,85000.0,770.0175591548,198.08303498524583
PPO,90000.0,1000.0,0.0
PPO,95000.0,990.4545454545454,19.090909090909097
PPO,100000.0,862.0,276.0
PPO,105000.0,1000.0,0.0
PPO,110000.0,950.9522000000001,98.09560000000002
PPO,115000.0,952.6075235109718,94.78495297805642
PPO,120000.0,729.2,331.7790831261066
PPO,125000.0,1000.0,0.0
PPO,130000.0,920.7086116975748,99.87473311042118
PPO,135000.0,1000.0,0.0
PPO,140000.0,681.8,327.5145187621459
PPO,145000.0,1000.0,0.0
PPO,150000.0,896.4928,131.24253218892113
PPO,155000.0,976.6376,46.724799999999966
PPO,160000.0,898.2,203.6
PPO,165000.0,950.5202000000002,98.9596
PPO,170000.0,1000.0,0.0
PPO,175000.0,945.355595026643,109.28880994671403
PPO,180000.0,1000.0,0.0
PPO,185000.0,963.6638262172285,46.966233790005255
PPO,190000.0,988.108073196986,23.783853606027968
PPO,195000.0,1000.0,0.0
PPO,200000.0,849.6,300.8
PPO,205000.0,1000.0,0.0
PPO,210000.0,950.0799999999999,99.84000000000002
PPO,215000.0,1000.0,0.0
PPO,220000.0,1000.0,0.0
PPO,225000.0,961.4242,77.15160000000002
PPO,230000.0,1000.0,0.0
PPO,235000.0,1000.0,0.0
PPO,240000.0,1000.0,0.0
PPO-Lagrangian,0.0,10.2,3.7094473981982814
PPO-Lagrangian,5000.0,14.714709851551955,6.976152297402599
PPO-Lagrangian,10000.0,16.420598072004722,7.3282792160543915
PPO-Lagrangian,15000.0,18.38579206637283,4.4157610794838105
PPO-Lagrangian,20000.0,22.4,11.586198686368192
PPO-Lagrangian,25000.0,23.056726906726908,1.9591152066807709
PPO-Lagrangian,30000.0,32.25880720823799,14.78766711138668
PPO-Lagrangian,35000.0,39.473003721424774,6.631932982115288
PPO-Lagrangian,40000.0,20.6,15.831613941730641
PPO-Lagrangian,45000.0,36.77132803790413,5.296541566679075
PPO-Lagrangian,50000.0,45.315596684017734,11.81875497004188
PPO-Lagrangian,55000.0,55.61469167599851,15.858285331691121
PPO-Lagrangian,60000.0,35.6,16.156732342896568
PPO-Lagrangian,65000.0,60.205879895298494,12.105145169774243
PPO-Lagrangian,70000.0,56.7499386262342,7.385776087321892
PPO-Lagrangian,75000.0,52.13791774327367,8.225191654933168
PPO-Lagrangian,80000.0,38.4,11.235657524150511
PPO-Lagrangian,85000.0,63.41750964828519,16.619697203186377
PPO-Lagrangian,90000.0,62.64843569856409,16.67437142111593
PPO-Lagrangian,95000.0,69.86106848258747,16.209700321112074
PPO-Lagrangian,100000.0,27.8,5.912698199637793
PPO-Lagrangian,105000.0,65.99219815272447,26.874453947710844
PPO-Lagrangian,110000.0,71.60703389047927,16.648943787211163
PPO-Lagrangian,115000.0,77.61700031650727,36.841437964090396
PPO-Lagrangian,120000.0,51.6,19.407215153133127
PPO-Lagrangian,125000.0,91.69863992550374,34.407879772347194
PPO-Lagrangian,130000.0,105.79072066584169,48.13695114518816
PPO-Lagrangian,135000.0,107.08465455233181,70.79378547813921
PPO-Lagrangian,140000.0,60.6,74.12583894972117
PPO-Lagrangian,145000.0,124.53792306039115,64.20206238512176
PPO-Lagrangian,150000.0,139.0824787148061,79.65857457259763
PPO-Lagrangian,155000.0,177.25202310017033,105.41508206197597
PPO-Lagrangian,160000.0,103.4,101.71253610052204
PPO-Lagrangian,165000.0,213.4743051613243,156.45894750238645
PPO-Lagrangian,170000.0,226.48725627074273,176.20118031701224
PPO-Lagrangian,175000.0,153.37740387382402,93.25110560668406
PPO-Lagrangian,180000.0,261.6,370.535612323566
PPO-Lagrangian,185000.0,408.32961627232186,342.34658249271786
PPO-Lagrangian,190000.0,418.017574990363,353.0246852949829
PPO-Lagrangian,195000.0,523.2091232371126,393.0481049148627
PPO-Lagrangian,200000.0,464.6,441.6693786080262
PPO-Lagrangian,205000.0,685.646105693993,385.48924342599986
PPO-Lagrangian,210000.0,647.2987920555009,361.51370043964954
PPO-Lagrangian,215000.0,693.4083333333333,376.76134724488094
PPO-Lagrangian,220000.0,658.0,420.1028445511884
PPO-Lagrangian,225000.0,735.4189501485639,326.0697568958989
PPO-Lagrangian,230000.0,793.0078768653773,272.8022588446187
PPO-Lagrangian,235000.0,837.8071161290321,222.99058152533885
PPO-Lagrangian,240000.0,745.2,312.6412640711395
CPO,0.0,10.2,3.7094473981982814
CPO,5000.0,12.595164835164836,2.1129768629311143
CPO,10000.0,16.17062937062937,6.3802114116686734
CPO,15000.0,13.852380952380951,4.4595028347204595
CPO,20000.0,11.4,5.986651818838307
CPO,25000.0,20.405910931174088,9.529158855920528
CPO,30000.0,24.908569975505458,7.51713996942048
CPO,35000.0,22.619735449735447,5.085632034467327
CPO,40000.0,14.6,6.343500610861483
CPO,45000.0,29.74573975044563,12.383001231352612
CPO,50000.0,28.908347283302597,12.003065906429427
CPO,55000.0,26.936234408927938,15.35151988413993
CPO,60000.0,16.8,7.909487973314076
CPO,65000.0,34.52639473274116,10.816618911821926
CPO,70000.0,39.077382384389196,10.058070508223365
CPO,75000.0,49.35341308388777,27.808486608151263
CPO,80000.0,25.0,17.527121840165314
CPO,85000.0,37.23208151692362,13.730585595133153
CPO,90000.0,42.016319219995694,11.341950059788521
CPO,95000.0,51.147799519532256,16.505303901160726
CPO,100000.0,21.4,8.546344247688598
CPO,105000.0,37.45916959605304,8.670127017481546
CPO,110000.0,44.47983210483211,13.375299023684631
CPO,115000.0,45.179573023972274,14.646843341294689
CPO,120000.0,27.8,11.77115117564973
CPO,125000.0,46.56865864139108,16.26951435013211
CPO,130000.0,44.592918551425115,11.004406140150747
CPO,135000.0,42.63502808666743,10.510535730372391
CPO,140000.0,24.6,17.62498226949463
CPO,145000.0,55.021482112213995,13.8238449769035
CPO,150000.0,42.77857223020273,9.518695442811728
