Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.87251	9.987227	52.0	5.0	1.3597023	7.9088383	93.14845	0.029118454	15.87251	341.46982	0.085367456	-0.003936012	0.10932179	0.3987711	-0.43898588	0.002319448	0.15011978	0.5034088	-0.48786157	1.0561943e-07	0.011025024	-8.392334e-08	-0.023718303	177.45462	-21.933563	114.3704	-3.7630844	0.36852866	0.0	0.040755976	-0.029842598	0.054162975	0.053065117	-0.030105272	0.07363044	0.0	0.36852866	0.0	0.0	0.0	0.9189385	0.003738394	4000	2.814666271209717
1	14.024561	8.005443	54.0	5.0	0.5924579	2.2014527	30.528658	0.01893141	14.024561	510.57587	0.06382199	1.0293558	0.2678775	2.5427203	-1.022413	0.91820526	0.18816826	1.7197609	-0.4713813	-1.8239021e-08	-0.0010116145	6.198883e-09	-0.0065722726	112.92152	-42.359627	8.721551	-1.1168003	1.9265265	0.0	0.013440352	0.0075953095	0.0065925694	0.05098645	-0.02604999	0.018073834	1.3302479	1.9265265	1.0	0.0	0.0	0.910024	0.004115456	8000	5.584064722061157
2	14.518249	7.544614	51.0	5.0	0.45077738	1.6408602	25.970917	0.03066839	14.518249	634.1726	0.052847717	4.2719316	0.15509835	4.8365602	3.4580963	0.87558514	0.39955246	2.729153	-1.21236	-2.5987624e-08	-0.01590205	2.6822091e-09	0.0027182528	65.222435	-21.762833	4.740168	-0.53382635	0.6200631	0.0	0.02816996	0.00910659	-0.0033903965	0.043275274	-0.013940879	0.012866208	1.7587949	0.6200631	2.0	0.0	1.0	0.88581264	0.003046839	12000	8.027363538742065
3	15.853174	9.146421	55.0	4.0	0.4919881	1.3839904	17.854744	0.025148729	15.853174	758.16046	0.04738503	7.7907968	0.20410979	8.221919	6.420518	0.5739747	0.13267902	1.1162786	-0.022537874	-1.7523766e-08	-0.009274265	4.6491624e-09	0.00038194226	66.37555	-6.1849213	2.4902968	-0.00528121	0.6171396	0.0	0.031373978	0.009985655	-0.0005053819	0.03930597	-0.011883984	0.017804997	1.7725419	0.6171396	2.0	0.0	3.0	0.873688	0.0012082689	16000	10.51023244857788
4	16.393442	7.9933963	47.0	6.0	0.41694665	0.69980866	7.6633162	0.025833916	16.393442	859.89545	0.04299477	9.853894	0.45198065	10.401154	7.317339	0.5638721	0.1346128	1.1536454	-0.048380345	9.298325e-09	-0.017651465	1.7672777e-08	0.003768807	46.459053	-1.0702553	0.6321751	-0.07870644	0.0	0.0	0.0223874	0.004864918	-0.0050662546	0.031295784	-0.006672872	0.00499835	1.7690614	0.0	2.0	0.0	0.0	0.8592975	0.004644208	20000	13.013018369674683
5	17.60793	9.114085	68.0	6.0	0.34762514	0.44738644	3.981864	0.02494095	17.60793	938.8134	0.039117225	9.901146	0.3936856	10.350302	7.0955973	0.4297646	0.021276219	0.5154645	0.34225085	-1.0609627e-08	-0.018281903	1.7285346e-09	0.0027036753	61.073257	-2.3478127	0.23944308	-0.01685524	0.0	0.0	0.020988293	-0.027428335	-0.008653764	0.032615915	-0.004823366	0.002000827	1.8059877	0.0	3.0	0.0	0.0	0.84199274	0.0045103813	24000	15.52841591835022
6	21.808743	10.959516	63.0	6.0	1.1402045	7.767402	103.74216	0.008169253	21.808743	1147.4862	0.04098165	10.604028	0.85627025	12.8647785	6.0309844	0.3323589	0.037343126	0.4867977	0.2053647	-7.390976e-09	-0.016577132	1.4305115e-09	-0.028917212	80.884514	-6.9222794	74.79025	-6.813835	0.1361343	0.0	0.03646017	0.00881068	0.029355409	0.03855097	-0.038921993	0.72456586	2.0342512	0.1361343	1.0	0.0	0.0	0.8236323	0.0041156714	28000	18.00313448905945
7	25.634615	12.429332	72.0	6.0	0.8877922	1.4119499	10.972798	0.01812345	25.634615	1285.9855	0.040187046	12.795258	1.6090801	15.588598	4.0731874	1.439401	1.9275417	8.266479	-6.223027	2.9325486e-08	0.016628265	8.106232e-09	-0.013419345	95.97922	-6.5628586	6.2248907	-4.309827	0.7197124	0.0	0.012909787	-0.0018539419	0.015127679	0.041756973	-0.023598948	0.019305535	0.0	0.7197124	0.0	0.0	0.0	0.8075298	0.0042599104	32000	20.420343160629272
8	22.404495	11.045075	60.0	6.0	0.5895111	1.1877965	8.970471	0.009884359	22.404495	1390.9496	0.03863749	14.414869	1.490263	17.713158	5.4626675	0.7932949	0.34937626	2.9574168	-1.0545386	6.437302e-09	-0.0076167258	-4.1723253e-10	-0.0038596631	77.460815	-6.593193	1.6500324	-0.14654136	1.9278376	0.0	0.019396193	0.008251099	0.0039952295	0.03380964	-0.011469464	0.009126796	1.5332125	1.9278376	1.0	0.0	0.0	0.8057938	0.0043881387	36000	22.83514928817749
9	22.59887	9.118343	53.0	6.0	0.3258323	0.46620578	4.6171107	0.016690318	22.59887	1448.622	0.036215547	13.000057	1.7952074	15.98536	4.4104447	0.62123483	0.1935055	1.4917613	-0.17384753	-9.536743e-09	-0.018710628	9.536744e-10	0.0040541734	56.117783	-4.7455635	0.36193424	-0.13672015	0.0	0.0	0.016202906	-0.009518284	-0.0077069206	0.034171302	-0.0073946007	0.0030431275	1.8485482	0.0	3.0	0.0	0.0	0.77869934	0.004788925	40000	25.189237117767334
10	26.41722	11.537647	77.0	8.0	0.74732953	1.1892146	8.914546	0.013549429	26.41722	1561.6442	0.035491914	12.244737	2.4802954	16.49935	1.8576381	0.25862002	0.19566621	1.1275624	-0.674477	-9.536743e-09	0.0030611095	-5.185604e-09	-0.009606731	80.33288	-12.3953705	1.334911	-0.24826348	4.272393	0.0	0.025724668	0.001876968	0.009362436	0.037858445	-0.011442682	0.010790948	3.7020855	4.272393	1.0	0.0	0.0	0.7551437	0.004690132	44000	27.61150360107422
11	25.106918	9.053018	54.0	7.0	0.39767697	0.51461715	3.6318922	0.01514605	25.106918	1625.1377	0.033857036	14.419837	3.0233538	18.11532	1.5731518	0.68092537	0.20127968	1.234699	0.10200015	1.4305114e-08	-0.014601428	-1.7821788e-08	0.0033309965	50.120846	-7.6198616	0.34509313	-0.15040347	0.312312	0.0	0.011896504	0.0041084806	-0.0040754913	0.033562765	-0.007815528	0.0028192438	1.7016454	0.312312	2.0	0.0	1.0	0.7451017	0.0029584907	48000	29.865606784820557
12	29.257353	12.23363	74.0	9.0	0.55476815	0.6507505	3.6719959	0.020139014	29.257353	1700.6267	0.03270436	13.343641	3.8021245	17.58228	-1.1251357	0.3355428	0.12636635	0.7076595	-0.13239415	-2.3841857e-09	-0.008905146	1.013279e-09	-0.0018668908	73.724174	-13.746372	0.2988202	-0.015288711	1.8533074	0.0	0.014830433	0.009308011	0.0018719446	0.024568042	-0.007022143	0.0050639217	1.262259	1.8533074	1.0	0.0	0.0	0.72790605	0.0040610987	52000	32.182469606399536
13	29.518518	10.264539	63.0	9.0	0.4413335	0.5157309	3.4093153	0.017255561	29.518518	1760.2767	0.03143351	15.341642	4.745656	19.55505	-1.167992	0.41582972	0.07491345	0.628032	0.07266515	-1.525879e-08	-0.0127075715	2.8014182e-09	0.0016425637	46.31773	-7.0431824	0.1950236	-0.013349548	1.4683819	0.0	0.014038444	0.00866317	-0.0019874473	0.030005546	-0.006868639	0.0029547126	1.2729784	1.4683819	2.0	0.0	1.0	0.6920455	0.0028778673	56000	34.573707580566406
14	31.283464	10.016442	68.0	15.0	0.44350576	0.4138722	2.389817	0.017453894	31.283464	1816.7455	0.03027909	14.91664	5.666405	20.173584	-0.41177416	0.35774598	0.11717007	0.7239069	-0.019679477	2.6941299e-08	-0.011723852	-2.9802323e-09	0.0015248862	40.645798	-5.6906433	0.11901474	-0.006780505	2.0731502	0.0	0.009028656	0.00817974	-0.0018058817	0.02660493	-0.005611591	0.0017916173	1.0506107	2.0731502	2.0	0.0	1.0	0.67529625	0.0026108155	60000	37.01444172859192
15	33.436974	9.853241	67.0	17.0	0.59653306	0.55251896	2.712196	0.03668667	33.436974	1887.8418	0.029497528	15.4138365	6.436614	21.187172	-0.5685536	0.31784672	0.06665902	0.54733574	0.0715426	-2.360344e-08	-0.0040636566	6.7800285e-09	-0.0029409854	35.669056	-4.6660213	0.2052481	-0.016801178	3.0359585	0.0	0.012892969	0.0077023692	0.0028870155	0.027494935	-0.0072780447	0.0036275892	1.2937915	3.0359585	1.0	0.0	0.0	0.6582067	0.004235952	64000	39.41770052909851
16	35.63393	11.602029	99.0	18.0	0.47874522	0.3342741	1.636825	0.025908561	35.63393	1941.4735	0.028551081	16.68964	7.0739026	22.839592	0.21853453	0.4501498	0.060701247	0.65831894	0.23129188	7.092953e-09	-0.0067485375	6.854534e-10	0.0005392705	46.427017	-4.9503784	0.08114369	-0.013688989	2.973597	0.0	0.0020088917	0.009774741	-0.00059647585	0.017629392	-0.0049670567	0.0015794405	0.45334166	2.973597	2.0	0.0	0.0	0.6306108	0.002829834	68000	41.820136308670044
17	36.28182	9.705792	75.0	17.0	0.49650517	0.28271383	1.2974781	0.019139469	36.28182	1996.121	0.027723903	17.159071	7.7097034	24.11066	0.4928926	0.33596203	0.046219487	0.52443904	0.18274418	-7.987023e-09	-0.008312004	2.9802322e-10	5.9435366e-05	28.528097	-2.8243713	0.04861456	-0.00019440427	3.3185704	0.0	0.0063473796	0.009991617	-9.6324526e-05	0.019052552	-0.0037500944	0.0011068884	0.7970386	3.3185704	2.0	0.0	0.0	0.6401567	0.0035671906	72000	44.34679675102234
18	37.980953	12.083818	92.0	21.0	0.49415123	0.22823633	1.1915821	0.054259896	37.980953	2048.0386	0.026947876	17.349508	8.137328	24.77626	1.0294917	0.33189672	0.04419024	0.49333742	0.16364345	-5.1259996e-09	-0.008484337	-7.0035455e-10	7.84605e-05	39.866207	-3.9028625	0.03473356	-0.000692863	3.3857353	0.0	0.0062076077	0.009968386	-0.00015399206	0.015648868	-0.0026611686	0.0007500925	0.7891321	3.3857353	2.0	0.0	0.0	0.6149726	0.0036657236	76000	46.87762665748596
19	41.125	11.329579	81.0	23.0	0.4873047	0.23224577	1.2938511	0.07500853	41.125	2094.8857	0.026186071	18.68066	8.748905	26.352436	1.2490371	0.34035778	0.028118119	0.4442778	0.21380414	8.46386e-09	-0.0047616605	-9.834766e-10	0.00027636535	38.733734	-3.6938057	0.032121193	-0.000749737	3.5862243	0.0	0.0020975992	0.009776908	-0.0003087006	0.008665029	-0.001674917	0.00042716056	0.46319142	3.5862243	2.0	0.0	1.0	0.59508055	0.0020648134	80000	49.33844208717346
20	40.948452	9.442579	74.0	24.0	0.49266434	0.22171845	1.4680016	0.12296507	40.948452	2142.7532	0.025508966	19.092684	9.286745	27.661951	1.4062418	0.32544196	0.035162162	0.43667024	0.19394062	-5.00679e-09	-0.0069424375	-7.4505807e-10	0.00016890852	23.65641	-1.91115	0.030214174	-0.00011844374	3.3025053	0.0	0.005707946	0.009930632	-0.00017914384	0.0116909435	-0.0016637254	0.00046264136	0.75814366	3.3025053	2.0	0.0	1.0	0.5763865	0.0021009804	84000	51.92381048202515
21	42.010525	10.291023	80.0	25.0	0.5202537	0.22580548	1.2067106	0.10995696	42.010525	2192.1946	0.024911301	18.843813	9.395932	27.956102	1.4313246	0.3355919	0.033593778	0.43893814	0.21848097	9.6559525e-09	-0.0038651854	4.61936e-10	-0.000562931	24.921215	-2.0444279	0.0334851	-0.00017562136	3.8201568	0.0	0.0036030766	0.009590814	0.00048211057	0.0097889695	-0.0018745083	0.0005680314	0.6129274	3.8201568	1.0	0.0	0.0	0.5652306	0.0035613633	88000	54.22974395751953
