algorithm,training_seed,mean_return,std_return,violation_episodes,total_episodes,violation_rate,mean_length
PPO,42,642.7166666666667,299.5750930716519,44,60,0.7333333333333333,642.7166666666667
PPO,43,1000.0,0.0,0,59,0.0,1000.0
PPO,44,1000.0,0.0,0,59,0.0,1000.0
PPO,45,1000.0,0.0,0,59,0.0,1000.0
PPO,46,988.75,68.87903043258763,2,59,0.03389830508474576,988.75
PPO-Lagrangian,42,1000.0,0.0,0,59,0.0,1000.0
PPO-Lagrangian,43,1000.0,0.0,0,59,0.0,1000.0
PPO-Lagrangian,44,1000.0,0.0,0,59,0.0,1000.0
PPO-Lagrangian,45,627.15,299.9992124989664,29,60,0.48333333333333334,627.15
PPO-Lagrangian,46,827.85,182.1619082940595,16,60,0.26666666666666666,827.85
CPO,42,62.4,15.53404862444645,0,59,0.0,62.4
CPO,43,60.5,13.419513155600443,0,59,0.0,60.5
CPO,44,48.6,13.740693820425033,0,59,0.0,48.6
CPO,45,53.733333333333334,9.02194854538395,0,59,0.0,53.733333333333334
CPO,46,61.13333333333333,16.57756180973413,0,59,0.0,61.13333333333333
PPO+CBF,42,570.8833333333333,345.01333750386453,43,60,0.7166666666666667,570.8833333333333
PPO+CBF,43,837.8,277.2517387982746,1,59,0.01694915254237288,837.8
